date,CHFUSD
2012-12-30,13
2013-01-06,11
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,23
2013-02-17,11
2013-02-24,33
2013-03-03,11
2013-03-10,22
2013-03-17,0
2013-03-24,11
2013-03-31,11
2013-04-07,0
2013-04-14,0
2013-04-21,22
2013-04-28,0
2013-05-05,11
2013-05-12,0
2013-05-19,33
2013-05-26,22
2013-06-02,0
2013-06-09,0
2013-06-16,11
2013-06-23,0
2013-06-30,11
2013-07-07,11
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,11
2013-08-18,0
2013-08-25,0
2013-09-01,21
2013-09-08,0
2013-09-15,21
2013-09-22,0
2013-09-29,21
2013-10-06,10
2013-10-13,10
2013-10-20,10
2013-10-27,0
2013-11-03,0
2013-11-10,0
2013-11-17,0
2013-11-24,20
2013-12-01,0
2013-12-08,10
2013-12-15,0
2013-12-22,0
2013-12-29,11
2014-01-05,10
2014-01-12,10
2014-01-19,0
2014-01-26,0
2014-02-02,10
2014-02-09,0
2014-02-16,0
2014-02-23,9
2014-03-02,19
2014-03-09,19
2014-03-16,9
2014-03-23,9
2014-03-30,19
2014-04-06,0
2014-04-13,0
2014-04-20,10
2014-04-27,19
2014-05-04,0
2014-05-11,0
2014-05-18,10
2014-05-25,21
2014-06-01,42
2014-06-08,32
2014-06-15,0
2014-06-22,11
2014-06-29,0
2014-07-06,11
2014-07-13,0
2014-07-20,0
2014-07-27,0
2014-08-03,11
2014-08-10,11
2014-08-17,11
2014-08-24,0
2014-08-31,0
2014-09-07,10
2014-09-14,0
2014-09-21,20
2014-09-28,20
2014-10-05,0
2014-10-12,10
2014-10-19,20
2014-10-26,10
2014-11-02,0
2014-11-09,19
2014-11-16,0
2014-11-23,0
2014-11-30,19
2014-12-07,19
2014-12-14,0
2014-12-21,11
2014-12-28,0
2015-01-04,9
2015-01-11,55
2015-01-18,100
2015-01-25,9
2015-02-01,37
2015-02-08,27
2015-02-15,9
2015-02-22,9
2015-03-01,45
2015-03-08,0
2015-03-15,18
2015-03-22,10
2015-03-29,0
2015-04-05,27
2015-04-12,9
2015-04-19,0
2015-04-26,27
2015-05-03,18
2015-05-10,18
2015-05-17,9
2015-05-24,18
2015-05-31,18
2015-06-07,9
2015-06-14,18
2015-06-21,9
2015-06-28,9
2015-07-05,9
2015-07-12,18
2015-07-19,9
2015-07-26,9
2015-08-02,0
2015-08-09,0
2015-08-16,18
2015-08-23,18
2015-08-30,0
2015-09-06,9
2015-09-13,17
2015-09-20,0
2015-09-27,17
2015-10-04,17
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,16
2015-11-08,17
2015-11-15,0
2015-11-22,17
2015-11-29,16
2015-12-06,25
2015-12-13,9
2015-12-20,28
2015-12-27,0
2016-01-03,18
2016-01-10,9
2016-01-17,9
2016-01-24,17
2016-01-31,0
2016-02-07,9
2016-02-14,0
2016-02-21,17
2016-02-28,0
2016-03-06,9
2016-03-13,17
2016-03-20,18
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,9
2016-05-01,27
2016-05-08,0
2016-05-15,17
2016-05-22,9
2016-05-29,0
2016-06-05,26
2016-06-12,9
2016-06-19,27
2016-06-26,9
2016-07-03,38
2016-07-10,19
2016-07-17,9
2016-07-24,28
2016-07-31,10
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,9
2016-09-04,9
2016-09-11,9
2016-09-18,9
2016-09-25,0
2016-10-02,0
2016-10-09,26
2016-10-16,0
2016-10-23,18
2016-10-30,0
2016-11-06,34
2016-11-13,0
2016-11-20,9
2016-11-27,8
2016-12-04,8
2016-12-11,17
2016-12-18,9
2016-12-25,9
2017-01-01,9
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,8
2017-02-05,8
2017-02-12,8
2017-02-19,0
2017-02-26,16
2017-03-05,8
2017-03-12,8
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,17
2017-04-16,0
2017-04-23,8
2017-04-30,0
2017-05-07,24
2017-05-14,17
2017-05-21,9
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,8
2017-06-25,9
2017-07-02,27
2017-07-09,17
2017-07-16,9
2017-07-23,9
2017-07-30,25
2017-08-06,17
2017-08-13,0
2017-08-20,34
2017-08-27,25
2017-09-03,0
2017-09-10,8
2017-09-17,8
2017-09-24,16
2017-10-01,16
2017-10-08,8
2017-10-15,8
2017-10-22,16
2017-10-29,8
2017-11-05,8
2017-11-12,0
2017-11-19,8
2017-11-26,0
2017-12-03,16
2017-12-10,8
2017-12-17,0
