date,CHFEUR,CHFJPY,CHFSEK,CHFAUD,USDCHF,USDGBP,USDCAD,USDEUR,USDJPY,USDSEK,USDAUD,GBPCHF,GBPUSD,GBPCAD,GBPEUR,GBPJPY,GBPSEK,GBPAUD,CADCHF,CADUSD,CADGBP,CADEUR,CADJPY,CADSEK,CADAUD,EURCHF,EURUSD,EURGBP,EURCAD,EURJPY,EURSEK,EURAUD,JPYCHF,JPYUSD,JPYGBP,JPYCAD,JPYEUR,JPYSEK,JPYAUD,SEKCHF,SEKUSD
2012-12-30,0,43,57,0,4,3,19,7,38,15,46,11,6,40,6,11,0,11,0,8,81,0,0,0,0,2,25,2,16,41,55,64,0,0,0,100,0,0,0,0,0
2013-01-06,0,19,0,0,11,0,12,27,43,0,21,10,6,37,8,10,0,14,0,10,37,20,0,0,0,4,32,11,44,75,20,58,0,63,0,0,0,0,0,0,43
2013-01-13,6,38,0,59,12,3,17,26,39,0,0,38,5,0,0,15,0,0,0,7,0,0,0,0,0,18,35,9,14,62,39,11,0,41,0,0,0,0,60,0,42
2013-01-20,0,19,0,0,8,3,14,7,45,0,21,0,8,36,12,10,0,9,0,7,0,0,18,0,0,10,24,22,29,37,19,56,0,20,0,0,0,0,0,0,0
2013-01-27,6,0,50,0,8,3,25,26,42,14,60,9,7,12,10,25,0,18,0,0,0,0,36,0,0,6,36,11,21,79,19,56,0,40,0,0,51,0,0,0,0
2013-02-03,6,19,0,0,14,8,14,19,55,14,20,0,5,23,5,5,0,0,0,7,0,0,0,0,44,13,29,16,28,66,86,0,0,20,0,0,0,0,0,0,0
2013-02-10,7,19,0,0,9,9,12,13,56,28,0,0,5,12,4,30,0,19,0,13,0,0,19,0,0,7,27,6,0,74,20,34,0,42,0,90,0,0,0,0,0
2013-02-17,0,0,100,0,12,6,25,19,39,14,20,9,8,29,7,15,0,23,33,16,0,0,36,0,0,5,30,13,14,24,19,0,0,20,0,0,0,0,0,0,0
2013-02-24,13,18,50,0,9,11,20,13,44,0,30,28,10,17,7,15,31,27,65,13,35,20,36,0,0,7,31,9,28,72,38,0,0,0,61,0,0,0,0,0,41
2013-03-03,6,19,50,0,9,6,20,13,42,27,60,0,8,23,7,34,31,18,0,20,0,0,36,0,0,4,26,16,0,48,38,22,0,20,0,0,0,0,0,0,0
2013-03-10,0,18,0,0,13,8,28,25,45,13,0,18,9,11,10,19,62,27,32,13,35,0,0,0,0,4,40,12,0,53,19,11,0,20,0,0,0,0,0,0,41
2013-03-17,12,18,0,0,4,8,17,25,47,13,29,36,9,11,8,34,31,22,0,16,0,0,36,0,0,5,34,11,21,35,28,11,0,20,0,0,0,0,0,0,0
2013-03-24,0,0,0,0,7,3,3,27,23,14,20,0,5,12,9,5,0,14,0,10,0,0,37,0,0,5,44,9,15,43,39,23,0,0,0,0,0,0,0,0,0
2013-03-31,0,0,0,0,9,6,17,13,63,27,20,0,8,12,6,29,0,9,0,13,0,20,0,0,44,6,31,11,28,54,19,33,100,20,0,0,0,0,0,0,41
2013-04-07,0,27,0,0,6,5,28,38,97,0,39,0,6,11,5,24,0,22,0,13,0,0,53,0,0,4,27,4,14,100,19,11,0,59,60,0,0,0,0,0,0
2013-04-14,0,0,50,0,9,3,14,32,63,13,50,28,6,23,5,15,31,9,0,7,0,20,0,0,44,6,25,9,14,42,28,22,0,20,0,87,51,0,0,0,0
2013-04-21,19,19,0,0,4,11,8,13,52,14,20,19,5,12,6,19,31,32,0,10,0,0,0,0,0,7,24,13,21,24,19,22,0,20,61,0,0,0,0,0,0
