date,CHFEUR,CHFJPY,CHFSEK,CHFAUD,USDCHF,USDGBP,USDCAD,USDEUR,USDJPY,USDSEK,USDAUD
2014-10-19,0,0,45,0,9,2,10,23,26,12,35
2014-10-26,6,33,0,0,7,2,25,29,46,0,18
2014-11-02,0,0,0,0,9,2,22,17,55,0,26
2014-11-09,0,24,0,0,12,10,32,17,48,0,26
2014-11-16,6,33,0,0,9,5,40,29,72,24,18
2014-11-23,6,0,43,0,12,5,5,33,48,0,17
2014-11-30,5,32,0,0,19,5,17,11,65,12,51
2014-12-07,0,24,44,0,11,5,22,39,60,35,26
2014-12-14,0,16,0,0,17,2,33,29,76,24,71
2014-12-21,0,0,50,0,5,3,27,26,51,26,29
2014-12-28,0,0,47,0,9,3,27,43,49,0,28
2015-01-04,0,16,42,0,13,12,21,43,46,11,51
2015-01-11,100,100,83,48,100,21,23,75,50,34,33
2015-01-18,42,46,41,47,49,7,49,80,36,33,41
2015-01-25,31,0,41,0,31,7,53,68,30,22,24
2015-02-01,42,31,0,0,22,2,65,32,36,11,74
2015-02-08,26,0,41,47,14,14,32,21,40,100,33
2015-02-15,11,16,42,0,14,2,43,38,41,0,50
2015-02-22,10,0,0,47,11,9,39,52,31,0,32
2015-03-01,5,15,82,0,10,9,37,26,21,22,32
2015-03-08,10,15,0,47,17,20,44,68,44,77,48
2015-03-15,20,15,0,0,18,11,25,78,20,33,65
2015-03-22,0,16,0,0,14,5,45,67,27,12,35
2015-03-29,11,0,42,0,12,12,47,33,22,11,17
2015-04-05,5,31,0,0,8,11,44,11,32,11,49
2015-04-12,16,15,41,0,10,11,48,31,29,44,65
2015-04-19,5,15,41,0,8,7,39,37,24,44,41
2015-04-26,5,0,0,0,16,14,26,16,24,34,57
2015-05-03,10,0,41,0,19,5,30,32,21,66,41
2015-05-10,5,30,41,0,18,9,23,11,26,11,25
2015-05-17,16,15,0,0,12,2,28,41,32,11,56
2015-05-24,10,15,0,0,13,2,39,37,39,11,24
2015-05-31,10,0,0,0,18,9,32,48,48,22,33
2015-06-07,10,0,0,0,8,7,25,26,48,44,49
2015-06-14,21,15,0,0,9,7,19,37,35,67,33
2015-06-21,0,0,0,0,8,14,14,32,29,45,33
2015-06-28,16,0,41,0,14,5,26,80,26,34,25
2015-07-05,10,15,0,0,5,5,46,100,41,11,49
2015-07-12,16,0,0,0,14,2,40,32,29,34,16
2015-07-19,0,15,0,0,15,9,42,22,28,11,67
2015-07-26,0,15,41,0,14,5,41,42,21,33,16
2015-08-02,0,31,0,0,14,9,54,26,24,45,99
2015-08-09,16,31,0,0,19,11,53,27,25,45,66
2015-08-16,0,15,0,0,21,11,57,21,33,22,40
2015-08-23,10,0,0,0,18,16,47,51,63,54,55
2015-08-30,5,0,40,0,18,9,31,20,35,11,47
2015-09-06,0,30,40,0,14,9,32,40,30,22,71
2015-09-13,15,0,39,0,10,11,32,35,33,10,46
2015-09-20,10,0,39,0,10,11,42,20,27,11,23
2015-09-27,5,0,0,0,17,6,26,29,27,10,61
2015-10-04,10,14,0,0,8,2,34,34,27,52,15
2015-10-11,5,14,0,0,9,4,24,30,24,31,15
2015-10-18,10,0,0,43,14,10,53,24,33,10,22
