model,description,metric,metric_code,value,rating,link
SSE-AD-5326068,M3 - 2003 BMW M3 E46 Auto,milage,milage,88000,1.42,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-5326068/?Cr=34
SSE-AD-5326068,M3 - 2003 BMW M3 E46 Auto,age,age,15,1.42,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-5326068/?Cr=34
OAG-AD-15772509,M3 - 2008 BMW M3 E92 Manual,price,price,57990,1.32,https://www.carsales.com.au/dealer/details/BMW-M3-2008/OAG-AD-15772509/?Cr=9
OAG-AD-15772509,M3 - 2008 BMW M3 E92 Manual,milage,milage,55590,1.32,https://www.carsales.com.au/dealer/details/BMW-M3-2008/OAG-AD-15772509/?Cr=9
OAG-AD-15772509,M3 - 2008 BMW M3 E92 Manual,age,age,10,1.32,https://www.carsales.com.au/dealer/details/BMW-M3-2008/OAG-AD-15772509/?Cr=9
SSE-AD-5317802,M3 - 2003 BMW M3 E46 Auto,price,price,29600,1.29,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-5317802/?Cr=29
SSE-AD-5317802,M3 - 2003 BMW M3 E46 Auto,milage,milage,97000,1.29,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-5317802/?Cr=29
SSE-AD-5317802,M3 - 2003 BMW M3 E46 Auto,age,age,15,1.29,https://www.carsales.com.au/private/details/BMW-M3-2003/SSE-AD-5317802/?Cr=29
SSE-AD-5247616,M3 - 2009 BMW M3 E92 Auto,price,price,71500,1.27,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-5247616/?Cr=70
SSE-AD-5247616,M3 - 2009 BMW M3 E92 Auto,milage,milage,30000,1.27,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-5247616/?Cr=70
SSE-AD-5247616,M3 - 2009 BMW M3 E92 Auto,age,age,9,1.27,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-5247616/?Cr=70
SSE-AD-5274536,M3 - 2010 BMW M3 E90 Auto,price,price,54500,1.21,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5274536/?Cr=4
SSE-AD-5274536,M3 - 2010 BMW M3 E90 Auto,milage,milage,77328,1.21,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5274536/?Cr=4
SSE-AD-5274536,M3 - 2010 BMW M3 E90 Auto,age,age,8,1.21,https://www.carsales.com.au/private/details/BMW-M3-2010/SSE-AD-5274536/?Cr=4
SSE-AD-5292718,M3 - 2008 BMW M3 E92 Manual,price,price,48950,1.15,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5292718/?Cr=11
SSE-AD-5292718,M3 - 2008 BMW M3 E92 Manual,milage,milage,81625,1.15,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5292718/?Cr=11
SSE-AD-5292718,M3 - 2008 BMW M3 E92 Manual,age,age,10,1.15,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5292718/?Cr=11
SSE-AD-4939551,M3 - 2014 BMW M3 F80 Auto,price,price,87000,1.14,https://www.carsales.com.au/private/details/BMW-M3-2014/SSE-AD-4939551/?Cr=23
SSE-AD-4939551,M3 - 2014 BMW M3 F80 Auto,milage,milage,23512,1.14,https://www.carsales.com.au/private/details/BMW-M3-2014/SSE-AD-4939551/?Cr=23
SSE-AD-4939551,M3 - 2014 BMW M3 F80 Auto,age,age,4,1.14,https://www.carsales.com.au/private/details/BMW-M3-2014/SSE-AD-4939551/?Cr=23
SSE-AD-5180504,M3 - 2002 BMW M3 E46 Auto,price,price,40000,1.02,https://www.carsales.com.au/private/details/BMW-M3-2002/SSE-AD-5180504/?Cr=13
SSE-AD-5180504,M3 - 2002 BMW M3 E46 Auto,milage,milage,74000,1.02,https://www.carsales.com.au/private/details/BMW-M3-2002/SSE-AD-5180504/?Cr=13
SSE-AD-5180504,M3 - 2002 BMW M3 E46 Auto,age,age,16,1.02,https://www.carsales.com.au/private/details/BMW-M3-2002/SSE-AD-5180504/?Cr=13
SSE-AD-5182976,M3 - 2005 BMW M3 E46 Auto,price,price,45000,0.99,https://www.carsales.com.au/private/details/BMW-M3-2005/SSE-AD-5182976/?Cr=46
SSE-AD-5182976,M3 - 2005 BMW M3 E46 Auto,milage,milage,79000,0.99,https://www.carsales.com.au/private/details/BMW-M3-2005/SSE-AD-5182976/?Cr=46
SSE-AD-5182976,M3 - 2005 BMW M3 E46 Auto,age,age,13,0.99,https://www.carsales.com.au/private/details/BMW-M3-2005/SSE-AD-5182976/?Cr=46
OAG-AD-15784272,M3 - 2009 BMW M3 E90 Auto,price,price,39990,0.91,https://www.carsales.com.au/dealer/details/BMW-M3-2009/OAG-AD-15784272/?Cr=55
OAG-AD-15784272,M3 - 2009 BMW M3 E90 Auto,milage,milage,114517,0.91,https://www.carsales.com.au/dealer/details/BMW-M3-2009/OAG-AD-15784272/?Cr=55
OAG-AD-15784272,M3 - 2009 BMW M3 E90 Auto,age,age,9,0.91,https://www.carsales.com.au/dealer/details/BMW-M3-2009/OAG-AD-15784272/?Cr=55
SSE-AD-5279707,M3 - 2008 BMW M3 E92 Manual,price,price,43990,0.84,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5279707/?Cr=36
SSE-AD-5279707,M3 - 2008 BMW M3 E92 Manual,milage,milage,101500,0.84,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5279707/?Cr=36
SSE-AD-5279707,M3 - 2008 BMW M3 E92 Manual,age,age,10,0.84,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5279707/?Cr=36
OAG-AD-15683937,M3 - 2013 BMW M3 E92 Auto,price,price,79900,0.76,https://www.carsales.com.au/dealer/details/BMW-M3-2013/OAG-AD-15683937/?Cr=67
OAG-AD-15683937,M3 - 2013 BMW M3 E92 Auto,milage,milage,44978,0.76,https://www.carsales.com.au/dealer/details/BMW-M3-2013/OAG-AD-15683937/?Cr=67
OAG-AD-15683937,M3 - 2013 BMW M3 E92 Auto,age,age,5,0.76,https://www.carsales.com.au/dealer/details/BMW-M3-2013/OAG-AD-15683937/?Cr=67
SSE-AD-5306016,M3 - 2009 BMW M3 E92 Auto,price,price,49990,0.71,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-5306016/?Cr=26
SSE-AD-5306016,M3 - 2009 BMW M3 E92 Auto,milage,milage,96000,0.71,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-5306016/?Cr=26
SSE-AD-5306016,M3 - 2009 BMW M3 E92 Auto,age,age,9,0.71,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-5306016/?Cr=26
OAG-AD-15469643,M3 - 2013 BMW M3 Pure E92 Auto,price,price,82888,0.68,https://www.carsales.com.au/dealer/details/BMW-M3-2013/OAG-AD-15469643/?Cr=68
OAG-AD-15469643,M3 - 2013 BMW M3 Pure E92 Auto,milage,milage,40016,0.68,https://www.carsales.com.au/dealer/details/BMW-M3-2013/OAG-AD-15469643/?Cr=68
OAG-AD-15469643,M3 - 2013 BMW M3 Pure E92 Auto,age,age,5,0.68,https://www.carsales.com.au/dealer/details/BMW-M3-2013/OAG-AD-15469643/?Cr=68
SSE-AD-4443648,M3 - 2012 BMW M3 E92 Auto,price,price,78500,0.54,https://www.carsales.com.au/private/details/BMW-M3-2012/SSE-AD-4443648/?Cr=33
SSE-AD-4443648,M3 - 2012 BMW M3 E92 Auto,milage,milage,48700,0.54,https://www.carsales.com.au/private/details/BMW-M3-2012/SSE-AD-4443648/?Cr=33
SSE-AD-4443648,M3 - 2012 BMW M3 E92 Auto,age,age,6,0.54,https://www.carsales.com.au/private/details/BMW-M3-2012/SSE-AD-4443648/?Cr=33
SSE-AD-5111244,M3 - 2008 BMW M3 E92 Manual,price,price,49900,0.48,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5111244/?Cr=3
SSE-AD-5111244,M3 - 2008 BMW M3 E92 Manual,milage,milage,97000,0.48,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5111244/?Cr=3
SSE-AD-5111244,M3 - 2008 BMW M3 E92 Manual,age,age,10,0.48,https://www.carsales.com.au/private/details/BMW-M3-2008/SSE-AD-5111244/?Cr=3
SSE-AD-4921748,M3 - 2009 BMW M3 E93 Auto,price,price,52500,0.40,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-4921748/?Cr=10
SSE-AD-4921748,M3 - 2009 BMW M3 E93 Auto,milage,milage,98250,0.40,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-4921748/?Cr=10
SSE-AD-4921748,M3 - 2009 BMW M3 E93 Auto,age,age,9,0.40,https://www.carsales.com.au/private/details/BMW-M3-2009/SSE-AD-4921748/?Cr=10
SSE-AD-5181096,M3 - 2005 BMW M3 E46 Auto,price,price,31500,0.36,https://www.carsales.com.au/private/details/BMW-M3-2005/SSE-AD-5181096/?Cr=38
SSE-AD-5181096,M3 - 2005 BMW M3 E46 Auto,milage,milage,127878,0.36,https://www.carsales.com.au/private/details/BMW-M3-2005/SSE-AD-5181096/?Cr=38
SSE-AD-5181096,M3 - 2005 BMW M3 E46 Auto,age,age,13,0.36,https://www.carsales.com.au/private/details/BMW-M3-2005/SSE-AD-5181096/?Cr=38
SSE-AD-5308420,M3 - 2013 BMW M3 Pure E92 Auto,price,price,72000,0.34,https://www.carsales.com.au/private/details/BMW-M3-2013/SSE-AD-5308420/?Cr=24
SSE-AD-5308420,M3 - 2013 BMW M3 Pure E92 Auto,milage,milage,75000,0.34,https://www.carsales.com.au/private/details/BMW-M3-2013/SSE-AD-5308420/?Cr=24
