This file was downloaded on February 22 2018 5:44:46 AM UTC-08:00
Keywords,sofa bed
Date Range,2015-02-20 - 2018-02-20
Buyer Country: ,AU
Category: ,Sofas & Couches
Product Condition: ,New
Listing Format: ,StoresFixedPrice,FixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-06-26,24,162.10 USD,3890.32 USD
2015-06-27,15,251.54 USD,3773.11 USD
2015-06-28,17,167.99 USD,2855.88 USD
2015-06-29,13,159.67 USD,2075.74 USD
2015-06-30,25,169.19 USD,4229.80 USD
2015-07-01,28,255.39 USD,7150.92 USD
2015-07-02,19,198.11 USD,3764.08 USD
2015-07-03,12,161.76 USD,1941.09 USD
2015-07-04,17,159.03 USD,2703.52 USD
2015-07-05,15,149.94 USD,2249.05 USD
2015-07-06,34,143.13 USD,4866.35 USD
2015-07-07,16,228.93 USD,3662.89 USD
2015-07-08,19,140.74 USD,2674.01 USD
2015-07-09,11,217.71 USD,2394.85 USD
2015-07-10,30,142.32 USD,4269.50 USD
2015-07-11,14,160.78 USD,2250.91 USD
2015-07-12,32,146.23 USD,4679.39 USD
2015-07-13,34,193.47 USD,6577.81 USD
2015-07-14,27,197.05 USD,5320.46 USD
2015-07-15,22,171.71 USD,3777.61 USD
2015-07-16,24,142.07 USD,3409.72 USD
2015-07-17,17,140.82 USD,2393.98 USD
2015-07-18,27,251.91 USD,6801.46 USD
2015-07-19,25,187.27 USD,4681.75 USD
2015-07-20,27,174.67 USD,4715.96 USD
2015-07-21,25,187.75 USD,4693.86 USD
2015-07-22,20,187.54 USD,3750.78 USD
2015-07-23,27,160.02 USD,4320.45 USD
2015-07-24,18,173.21 USD,3117.70 USD
2015-07-25,21,154.65 USD,3247.60 USD
2015-07-26,24,208.91 USD,5013.92 USD
2015-07-27,31,163.19 USD,5059.04 USD
2015-07-28,21,147.27 USD,3092.74 USD
2015-07-29,21,190.97 USD,4010.32 USD
2015-07-30,12,155.88 USD,1870.51 USD
2015-07-31,24,161.33 USD,3871.97 USD
2015-08-01,11,247.64 USD,2724.04 USD
2015-08-02,12,130.34 USD,1564.11 USD
2015-08-03,19,257.13 USD,4885.44 USD
2015-08-04,18,154.34 USD,2778.06 USD
2015-08-05,12,114.85 USD,1378.15 USD
2015-08-06,10,105.16 USD,1051.59 USD
2015-08-07,25,156.66 USD,3916.51 USD
2015-08-08,15,177.38 USD,2660.70 USD
2015-08-09,22,190.33 USD,4187.18 USD
2015-08-10,20,175.72 USD,3514.48 USD
2015-08-11,23,166.06 USD,3819.30 USD
2015-08-12,36,149.77 USD,5391.84 USD
2015-08-13,12,161.65 USD,1939.77 USD
2015-08-14,17,161.25 USD,2741.31 USD
2015-08-15,18,158.85 USD,2859.34 USD
2015-08-16,19,159.68 USD,3033.84 USD
2015-08-17,17,215.60 USD,3665.17 USD
2015-08-18,27,174.85 USD,4720.87 USD
2015-08-19,16,156.49 USD,2503.85 USD
2015-08-20,18,156.26 USD,2812.76 USD
2015-08-21,14,180.83 USD,2531.67 USD
2015-08-22,14,150.97 USD,2113.56 USD
2015-08-23,13,130.77 USD,1700.05 USD
2015-08-24,18,149.94 USD,2698.94 USD
2015-08-25,16,116.94 USD,1870.98 USD
2015-08-26,27,154.26 USD,4165.01 USD
2015-08-27,16,173.22 USD,2771.48 USD
2015-08-28,6,184.67 USD,1108.01 USD
2015-08-29,19,195.87 USD,3721.50 USD
2015-08-30,18,128.97 USD,2321.40 USD
2015-08-31,11,108.79 USD,1196.69 USD
2015-09-01,19,117.04 USD,2223.82 USD
2015-09-02,23,227.33 USD,5228.58 USD
2015-09-03,19,127.01 USD,2413.15 USD
2015-09-04,12,140.64 USD,1687.68 USD
2015-09-05,14,168.54 USD,2359.52 USD
2015-09-06,22,132.66 USD,2918.53 USD
2015-09-07,20,165.54 USD,3310.70 USD
2015-09-08,14,197.00 USD,2758.05 USD
2015-09-09,12,148.76 USD,1785.14 USD
2015-09-10,14,207.08 USD,2899.18 USD
2015-09-11,20,161.10 USD,3221.91 USD
2015-09-12,9,241.99 USD,2177.90 USD
2015-09-13,10,184.40 USD,1844.04 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,13,214.22 USD,2784.86 USD
2015-10-10,9,112.90 USD,1016.09 USD
2015-10-11,14,153.01 USD,2142.19 USD
2015-10-12,18,186.31 USD,3353.50 USD
2015-10-13,17,167.00 USD,2838.98 USD
2015-10-14,14,196.44 USD,2750.09 USD
2015-10-15,16,169.91 USD,2718.61 USD
2015-10-16,7,176.20 USD,1233.42 USD
2015-10-17,11,155.82 USD,1714.01 USD
2015-10-18,13,175.56 USD,2282.23 USD
2015-10-19,18,140.66 USD,2531.89 USD
2015-10-20,21,293.13 USD,6155.67 USD
2015-10-21,20,209.49 USD,4189.79 USD
2015-10-22,10,127.26 USD,1272.63 USD
2015-10-23,14,180.07 USD,2520.95 USD
2015-10-24,24,215.97 USD,5183.33 USD
2015-10-25,26,273.12 USD,7101.23 USD
2015-10-26,28,167.93 USD,4701.92 USD
2015-10-27,17,175.89 USD,2990.21 USD
2015-10-28,19,155.52 USD,2954.89 USD
2015-10-29,11,204.58 USD,2250.43 USD
2015-10-30,14,167.29 USD,2342.00 USD
2015-10-31,13,207.39 USD,2696.05 USD
2015-11-01,21,124.46 USD,2613.69 USD
2015-11-02,18,181.99 USD,3275.79 USD
2015-11-03,14,189.14 USD,2647.92 USD
2015-11-04,12,152.57 USD,1830.84 USD
2015-11-05,17,172.63 USD,2934.64 USD
2015-11-06,15,144.76 USD,2171.47 USD
2015-11-07,19,197.88 USD,3759.79 USD
2015-11-08,21,125.43 USD,2634.11 USD
2015-11-09,12,155.80 USD,1869.58 USD
2015-11-10,19,176.33 USD,3350.29 USD
2015-11-11,16,129.33 USD,2069.28 USD
2015-11-12,30,140.68 USD,4220.31 USD
2015-11-13,18,238.52 USD,4293.32 USD
2015-11-14,16,160.91 USD,2574.59 USD
2015-11-15,21,153.39 USD,3221.25 USD
2015-11-16,30,150.24 USD,4507.05 USD
2015-11-17,22,178.47 USD,3926.27 USD
2015-11-18,16,187.20 USD,2995.18 USD
2015-11-19,17,253.61 USD,4311.37 USD
2015-11-20,22,123.69 USD,2721.24 USD
2015-11-21,35,165.30 USD,5785.67 USD
2015-11-22,33,129.36 USD,4268.81 USD
2015-11-23,25,162.33 USD,4058.23 USD
