This file was downloaded on February 25 2018 11:19:50 PM UTC-08:00
Keywords,table
Date Range,2015-02-24 - 2018-02-24
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-06-30,172,124.31 USD,21380.97 USD
2015-07-01,133,120.86 USD,16074.11 USD
2015-07-02,145,104.74 USD,15186.93 USD
2015-07-03,140,216.57 USD,30320.24 USD
2015-07-04,131,112.73 USD,14767.71 USD
2015-07-05,188,130.22 USD,24482.18 USD
2015-07-06,175,146.81 USD,25691.11 USD
2015-07-07,168,138.78 USD,23314.35 USD
2015-07-08,180,109.97 USD,19795.41 USD
2015-07-09,159,130.73 USD,20786.25 USD
2015-07-10,129,121.10 USD,15621.37 USD
2015-07-11,142,119.42 USD,16957.30 USD
2015-07-12,213,132.58 USD,28238.85 USD
2015-07-13,168,115.34 USD,19377.85 USD
2015-07-14,152,113.31 USD,17222.68 USD
2015-07-15,159,129.61 USD,20608.51 USD
2015-07-16,138,143.85 USD,19851.87 USD
2015-07-17,140,116.32 USD,16285.23 USD
2015-07-18,169,135.69 USD,22931.24 USD
2015-07-19,170,110.80 USD,18836.52 USD
2015-07-20,182,127.73 USD,23246.05 USD
2015-07-21,178,110.29 USD,19632.21 USD
2015-07-22,182,125.86 USD,22906.25 USD
2015-07-23,142,118.69 USD,16853.54 USD
2015-07-24,132,113.76 USD,15015.90 USD
2015-07-25,183,108.19 USD,19798.05 USD
2015-07-26,286,109.11 USD,31204.31 USD
2015-07-27,147,111.55 USD,16397.98 USD
2015-07-28,178,155.80 USD,27732.49 USD
2015-07-29,161,115.06 USD,18524.73 USD
2015-07-30,145,135.24 USD,19609.88 USD
2015-07-31,145,128.98 USD,18702.05 USD
2015-08-01,144,111.67 USD,16080.17 USD
2015-08-02,212,127.29 USD,26984.86 USD
2015-08-03,181,121.88 USD,22059.57 USD
2015-08-04,197,119.31 USD,23503.89 USD
2015-08-05,152,133.91 USD,20354.85 USD
2015-08-06,152,131.43 USD,19977.31 USD
2015-08-07,122,109.74 USD,13388.00 USD
2015-08-08,158,118.86 USD,18780.39 USD
2015-08-09,188,131.17 USD,24660.82 USD
2015-08-10,176,113.89 USD,20045.05 USD
2015-08-11,183,125.43 USD,22952.97 USD
2015-08-12,167,117.46 USD,19616.06 USD
2015-08-13,167,119.53 USD,19961.68 USD
2015-08-14,108,134.60 USD,14536.92 USD
2015-08-15,157,102.62 USD,16111.22 USD
2015-08-16,192,123.24 USD,23661.97 USD
2015-08-17,176,130.75 USD,23011.20 USD
2015-08-18,165,137.03 USD,22610.67 USD
2015-08-19,161,118.75 USD,19119.06 USD
2015-08-20,134,115.80 USD,15516.62 USD
2015-08-21,118,183.69 USD,21675.05 USD
2015-08-22,140,143.49 USD,20087.93 USD
2015-08-23,207,126.16 USD,26114.12 USD
2015-08-24,137,126.21 USD,17291.20 USD
2015-08-25,172,139.37 USD,23971.19 USD
2015-08-26,133,123.68 USD,16449.34 USD
2015-08-27,151,115.95 USD,17508.25 USD
2015-08-28,129,128.50 USD,16576.52 USD
2015-08-29,153,111.00 USD,16982.99 USD
2015-08-30,123,151.12 USD,18588.23 USD
2015-08-31,154,130.40 USD,20081.13 USD
2015-09-01,150,137.21 USD,20580.78 USD
2015-09-02,152,98.25 USD,14933.86 USD
2015-09-03,157,138.46 USD,21738.37 USD
2015-09-04,216,84.37 USD,18223.11 USD
2015-09-05,151,104.78 USD,15821.33 USD
2015-09-06,141,113.76 USD,16040.35 USD
2015-09-07,193,95.64 USD,18459.19 USD
2015-09-08,146,108.37 USD,15822.01 USD
2015-09-09,146,148.16 USD,21631.00 USD
2015-09-10,132,100.64 USD,13285.07 USD
2015-09-11,113,128.93 USD,14568.75 USD
2015-09-12,161,111.71 USD,17984.95 USD
2015-09-13,168,121.61 USD,20430.52 USD
2015-09-14,0,0.00 USD,0.00 USD
