,date,bed,bed_sales,bed_weighting,chairs,chairs_sales,chairs_weighting,wardrobe,wardrobe_sales,wardrobe_weighting,furniture,furniture_sales,furniture_weighting,hand tool,hand tool_sales,hand tool_weighting,light bulb,light bulb_sales,light bulb_weighting,kettle,kettle_sales,kettle_weighting,fan,fan_sales,fan_weighting,fridge,fridge_sales,fridge_weighting
0,2015-04-18,25.23,50.46,2.0,94.56,3593.25,37.9996827411,51.66,1498.11,28.9994192799,263.75,5802.55,22.0001895735,26.46,132.3,5.0,7.01,21.03,3.0,27.41,54.81,1.99963516965,210.15,1260.92,6.00009517012,70.48,70.48,1.0
1,2015-04-19,14.49,14.49,1.0,101.49,2029.8,20.0,54.61,1310.56,23.9985350668,413.31,4133.11,10.0000241949,24.64,172.45,6.99878246753,7.17,881.78,122.981868898,56.03,3025.8,54.0032125647,36.25,3770.42,104.011586207,36.87,442.47,12.0008136697
2,2015-04-20,12.82,25.64,2.0,135.94,4893.66,35.9986758864,30.7,337.65,10.9983713355,327.64,2948.75,8.9999694787,26.13,235.16,8.99961729812,6.5,773.55,119.007692308,51.34,2361.49,45.9970783015,52.16,5477.09,105.005559816,105.71,739.99,7.00018919686
3,2015-04-21,11.43,11.43,1.0,142.67,3709.52,26.0007009182,66.57,599.11,8.99969956437,294.0,2645.98,8.99993197279,26.69,266.85,9.99812663919,7.34,1027.01,139.919618529,50.02,1100.53,22.0017992803,41.44,3107.7,74.9927606178,371.17,2598.21,7.00005388367
4,2015-04-24,34.95,34.95,1.0,87.52,4025.87,45.999428702,71.98,1583.54,21.999722145,262.15,5505.17,21.0000762922,40.58,81.16,2.0,7.96,899.94,113.057788945,54.99,1154.84,21.0009092562,60.36,4888.93,80.9961895295,282.74,4806.55,16.9998938955
5,2015-04-26,16.4,32.79,1.9993902439,107.81,4528.18,42.0014840924,49.84,1046.56,20.9983948636,266.87,4003.06,15.0000374714,30.6,183.59,5.99967320261,6.61,1058.11,160.077155825,42.05,1639.95,39.0,58.22,4075.65,70.004294057,116.79,1401.44,11.9996575049
6,2015-04-28,20.08,60.25,3.00049800797,119.5,2270.45,18.99958159,39.19,783.83,20.0007655014,216.92,1735.37,8.00004609994,36.33,181.65,5.0,6.24,604.88,96.9358974359,57.04,1311.84,22.9985974755,60.95,3961.48,64.9955701395,131.74,1580.82,11.9995445575
7,2015-04-30,14.46,14.46,1.0,113.76,2957.77,26.0000879044,60.07,1501.85,25.0016647245,477.23,3340.6,6.99997904574,29.23,233.82,7.99931577147,7.12,783.05,109.978932584,45.09,946.84,20.9988911067,49.93,2496.44,49.9987983176,314.29,3457.18,10.9999681823
8,2015-05-02,13.04,13.04,1.0,98.49,5121.4,51.9991877348,93.56,1122.73,12.0001068833,305.71,4891.41,16.0001635537,34.3,308.7,9.0,8.01,697.04,87.0212234707,50.68,1165.73,23.0017758485,52.96,3442.17,64.9956570997,30.92,278.25,8.9990297542
9,2015-05-08,17.09,17.09,1.0,138.11,3176.55,23.0001448121,83.1,1163.4,14.0,248.45,2732.98,11.0001207486,32.12,289.04,8.99875466999,7.98,821.69,102.968671679,55.99,1231.87,22.0016074299,54.06,5460.26,101.003699593,23.9,215.06,8.99832635983
10,2015-05-10,13.15,13.15,1.0,114.2,2969.26,26.000525394,59.91,1617.5,26.9988315807,267.67,4818.1,18.0001494377,27.84,306.25,11.0003591954,6.81,790.4,116.064610866,52.02,1456.66,28.0019223376,58.51,4914.54,83.9948726713,58.28,641.12,11.0006863418
11,2015-05-14,15.39,15.39,1.0,104.79,3877.28,37.0004771448,54.89,1317.25,23.997995992,389.39,7008.98,17.9998972752,34.15,239.04,6.99970717423,6.7,709.95,105.962686567,51.35,872.9,16.9990262902,48.85,3761.34,76.9977482088,80.17,1042.2,12.9998752651
