This file was downloaded on February 26 2018 4:12:17 AM UTC-08:00
Keywords,footwear
Date Range,2015-02-24 - 2018-02-24
Site: ,ebay.com.au
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Clothing, Shoes, Accessories

Date,Items Sold,Average Selling Price,Total Sales
2015-04-30,12,19.13 USD,229.59 USD
2015-05-01,4,13.20 USD,52.79 USD
2015-05-02,11,26.08 USD,286.87 USD
2015-05-03,13,25.88 USD,336.47 USD
2015-05-04,10,16.86 USD,168.59 USD
2015-05-05,10,26.64 USD,266.36 USD
2015-05-06,10,32.41 USD,324.11 USD
2015-05-07,12,32.14 USD,385.65 USD
2015-05-08,7,23.04 USD,161.25 USD
2015-05-09,12,17.49 USD,209.86 USD
2015-05-10,10,26.86 USD,268.56 USD
2015-05-11,8,20.05 USD,160.43 USD
2015-05-12,19,17.12 USD,325.35 USD
2015-05-13,10,15.64 USD,156.35 USD
2015-05-14,12,36.75 USD,440.95 USD
2015-05-15,9,36.89 USD,331.97 USD
2015-05-16,16,22.67 USD,362.68 USD
2015-05-17,16,35.48 USD,567.71 USD
2015-05-18,20,27.19 USD,543.89 USD
2015-05-19,11,27.35 USD,300.80 USD
2015-05-20,16,24.49 USD,391.85 USD
2015-05-21,8,24.58 USD,196.67 USD
2015-05-22,13,22.27 USD,289.54 USD
2015-05-23,8,31.23 USD,249.86 USD
2015-05-24,12,20.37 USD,244.46 USD
2015-05-25,20,18.28 USD,365.64 USD
2015-05-26,13,37.93 USD,493.10 USD
2015-05-27,3,28.35 USD,85.05 USD
2015-05-28,15,18.70 USD,280.43 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,5,49.24 USD,246.22 USD
2015-05-31,11,14.58 USD,160.39 USD
2015-06-01,6,26.19 USD,157.12 USD
2015-06-02,6,21.63 USD,129.75 USD
2015-06-03,9,38.31 USD,344.78 USD
2015-06-04,14,37.06 USD,518.84 USD
2015-06-05,6,18.71 USD,112.25 USD
2015-06-06,11,30.86 USD,339.45 USD
2015-06-07,4,24.77 USD,99.07 USD
2015-06-08,3,16.70 USD,50.09 USD
2015-06-09,8,31.03 USD,248.27 USD
2015-06-10,11,24.05 USD,264.55 USD
2015-06-11,12,18.66 USD,223.86 USD
2015-06-12,8,19.32 USD,154.55 USD
2015-06-13,8,28.90 USD,231.23 USD
2015-06-14,16,29.22 USD,467.54 USD
2015-06-15,12,25.05 USD,300.61 USD
2015-06-16,15,21.72 USD,325.83 USD
