This file was downloaded on February 26 2018 4:12:17 AM UTC-08:00
Keywords,footwear
Date Range,2015-02-24 - 2018-02-24
Site: ,ebay.com.au
Listing Format: ,FixedPrice,StoresFixedPrice
Buyer Country: ,AU
Seller Country: ,AU
Category: ,Clothing, Shoes, Accessories

Date,Items Sold,Average Selling Price,Total Sales
2016-08-31,27,68.75 USD,1856.34 USD
2016-09-01,57,48.32 USD,2754.27 USD
2016-09-02,51,50.58 USD,2579.76 USD
2016-09-03,64,44.79 USD,2866.63 USD
2016-09-04,74,66.87 USD,4948.11 USD
2016-09-05,102,54.91 USD,5601.11 USD
2016-09-06,95,61.91 USD,5881.08 USD
2016-09-07,169,49.70 USD,8399.19 USD
2016-09-08,109,52.37 USD,5708.12 USD
2016-09-09,67,59.89 USD,4012.44 USD
2016-09-10,73,49.94 USD,3645.54 USD
2016-09-11,58,63.40 USD,3677.17 USD
2016-09-12,69,72.47 USD,5000.22 USD
2016-09-13,56,59.50 USD,3332.05 USD
2016-09-14,39,59.65 USD,2326.21 USD
2016-09-15,63,59.92 USD,3774.78 USD
2016-09-16,42,74.90 USD,3145.83 USD
2016-09-17,66,59.84 USD,3949.46 USD
2016-09-18,77,56.82 USD,4374.99 USD
2016-09-19,57,62.65 USD,3571.03 USD
2016-09-20,70,71.53 USD,5007.38 USD
2016-09-21,41,66.35 USD,2720.45 USD
2016-09-22,22,54.99 USD,1209.72 USD
2016-09-23,22,62.57 USD,1376.62 USD
2016-09-24,20,81.22 USD,1624.39 USD
2016-09-25,22,60.96 USD,1341.14 USD
2016-09-26,22,49.10 USD,1080.26 USD
2016-09-27,4,27.58 USD,110.32 USD
2016-09-28,10,29.51 USD,295.12 USD
2016-09-29,7,38.79 USD,271.52 USD
2016-09-30,10,37.24 USD,372.44 USD
2016-10-01,10,32.39 USD,323.86 USD
2016-10-02,4,26.48 USD,105.93 USD
2016-10-03,6,17.35 USD,104.08 USD
2016-10-04,7,32.58 USD,228.08 USD
2016-10-05,9,38.55 USD,346.98 USD
2016-10-06,6,10.82 USD,64.89 USD
2016-10-07,6,35.44 USD,212.62 USD
2016-10-08,6,35.50 USD,212.97 USD
2016-10-09,17,27.28 USD,463.77 USD
2016-10-10,16,27.79 USD,444.61 USD
2016-10-11,12,22.47 USD,269.59 USD
2016-10-12,16,38.39 USD,614.19 USD
2016-10-13,6,36.40 USD,218.40 USD
2016-10-14,8,21.60 USD,172.82 USD
2016-10-15,10,26.10 USD,261.01 USD
2016-10-16,9,44.73 USD,402.61 USD
2016-10-17,12,21.15 USD,253.77 USD
2016-10-18,20,18.12 USD,362.40 USD
2016-10-19,19,23.33 USD,443.28 USD
2016-10-20,15,38.81 USD,582.20 USD
2016-10-21,33,39.92 USD,1317.52 USD
2016-10-22,34,40.98 USD,1393.37 USD
2016-10-23,25,38.51 USD,962.67 USD
2016-10-24,38,38.35 USD,1457.25 USD
2016-10-25,24,47.93 USD,1150.42 USD
2016-10-26,23,60.01 USD,1380.27 USD
2016-10-27,26,43.66 USD,1135.17 USD
2016-10-28,33,42.26 USD,1394.58 USD
2016-10-29,25,29.63 USD,740.86 USD
2016-10-30,25,59.16 USD,1479.07 USD
2016-10-31,55,42.35 USD,2329.42 USD
2016-11-01,52,55.10 USD,2865.08 USD
2016-11-02,33,60.71 USD,2003.34 USD
2016-11-03,34,48.20 USD,1638.75 USD
2016-11-04,22,49.06 USD,1079.29 USD
2016-11-05,54,46.91 USD,2533.29 USD
2016-11-06,46,62.29 USD,2865.47 USD
2016-11-07,34,37.33 USD,1269.24 USD
2016-11-08,19,32.31 USD,613.96 USD
2016-11-09,37,55.73 USD,2062.00 USD
2016-11-10,29,29.93 USD,867.83 USD
2016-11-11,38,57.73 USD,2193.67 USD
2016-11-12,25,35.63 USD,890.65 USD
2016-11-13,26,51.78 USD,1346.24 USD
2016-11-14,20,16.40 USD,328.04 USD
2016-11-15,21,12.69 USD,266.48 USD
2016-11-16,26,39.54 USD,1028.02 USD
2016-11-17,47,39.96 USD,1878.11 USD
2016-11-18,18,54.95 USD,989.18 USD
2016-11-19,27,43.05 USD,1162.30 USD
2016-11-20,31,35.60 USD,1103.68 USD
2016-11-21,19,37.93 USD,720.72 USD
2016-11-22,29,47.16 USD,1367.64 USD
2016-11-23,27,47.21 USD,1274.72 USD
2016-11-24,41,51.67 USD,2118.44 USD
2016-11-25,27,48.83 USD,1318.45 USD
2016-11-26,34,42.05 USD,1429.80 USD
2016-11-27,29,40.53 USD,1175.32 USD
2016-11-28,49,38.34 USD,1878.61 USD
2016-11-29,28,35.92 USD,1005.76 USD
2016-11-30,22,59.25 USD,1303.50 USD
2016-12-01,21,40.46 USD,849.63 USD
2016-12-02,21,43.85 USD,920.77 USD
2016-12-03,26,35.12 USD,913.19 USD
2016-12-04,42,44.95 USD,1888.05 USD
2016-12-05,31,44.29 USD,1372.84 USD
2016-12-06,30,46.74 USD,1402.19 USD
2016-12-07,28,31.65 USD,886.22 USD
2016-12-08,46,52.34 USD,2407.50 USD
2016-12-09,30,64.92 USD,1947.62 USD
2016-12-10,33,35.80 USD,1181.54 USD
2016-12-11,41,35.27 USD,1446.23 USD
2016-12-12,32,42.18 USD,1349.69 USD
2016-12-13,43,41.35 USD,1777.98 USD
2016-12-14,39,46.40 USD,1809.47 USD
2016-12-15,32,51.90 USD,1660.92 USD
2016-12-16,15,56.36 USD,845.42 USD
2016-12-17,31,41.25 USD,1278.73 USD
2016-12-18,27,49.12 USD,1326.26 USD
2016-12-19,8,58.12 USD,464.94 USD
2016-12-20,15,12.28 USD,184.19 USD
2016-12-21,16,41.79 USD,668.64 USD
2016-12-22,15,62.57 USD,938.50 USD
2016-12-23,5,31.92 USD,159.59 USD
2016-12-24,12,43.91 USD,526.91 USD
2016-12-25,18,44.96 USD,809.24 USD
2016-12-26,22,52.40 USD,1152.75 USD
2016-12-27,20,60.76 USD,1215.17 USD
2016-12-28,16,27.86 USD,445.83 USD
2016-12-29,13,37.08 USD,482.04 USD
2016-12-30,14,44.33 USD,620.68 USD
2016-12-31,12,27.10 USD,325.25 USD
2017-01-01,14,59.25 USD,829.54 USD
2017-01-02,10,49.62 USD,496.21 USD
2017-01-03,17,35.63 USD,605.79 USD
2017-01-04,19,30.97 USD,588.35 USD
2017-01-05,20,38.67 USD,773.44 USD
2017-01-06,22,44.61 USD,981.31 USD
2017-01-07,13,40.63 USD,528.21 USD
2017-01-08,14,19.24 USD,269.31 USD
2017-01-09,17,21.82 USD,370.98 USD
2017-01-10,19,15.90 USD,302.19 USD
2017-01-11,16,28.14 USD,450.21 USD
2017-01-12,14,22.89 USD,320.47 USD
2017-01-13,12,22.33 USD,267.93 USD
2017-01-14,18,17.68 USD,318.23 USD
2017-01-15,5,40.22 USD,201.11 USD
2017-01-16,7,20.33 USD,142.30 USD
2017-01-17,17,26.16 USD,444.67 USD
2017-01-18,17,16.90 USD,287.38 USD
2017-01-19,14,20.76 USD,290.61 USD
2017-01-20,7,27.95 USD,195.63 USD
2017-01-21,10,38.25 USD,382.46 USD
2017-01-22,13,30.03 USD,390.40 USD
2017-01-23,6,20.37 USD,122.23 USD
2017-01-24,4,35.81 USD,143.22 USD
2017-01-25,15,26.48 USD,397.24 USD
2017-01-26,10,30.35 USD,303.45 USD
2017-01-27,12,15.67 USD,188.02 USD
2017-01-28,13,27.00 USD,351.05 USD
2017-01-29,23,31.09 USD,715.12 USD
2017-01-30,11,28.47 USD,313.16 USD
2017-01-31,10,20.41 USD,204.06 USD
2017-02-01,9,40.25 USD,362.28 USD
2017-02-02,16,33.93 USD,542.90 USD
2017-02-03,15,23.09 USD,346.30 USD
2017-02-04,23,17.84 USD,410.24 USD
2017-02-05,17,27.57 USD,468.64 USD
2017-02-06,8,56.24 USD,449.95 USD
2017-02-07,7,20.73 USD,145.09 USD
2017-02-08,18,20.72 USD,373.03 USD
2017-02-09,12,32.01 USD,384.13 USD
2017-02-10,16,13.32 USD,213.11 USD
2017-02-11,10,28.95 USD,289.45 USD
2017-02-12,18,30.37 USD,546.60 USD
2017-02-13,13,18.38 USD,238.97 USD
2017-02-14,19,24.52 USD,465.83 USD
2017-02-15,9,24.37 USD,219.32 USD
2017-02-16,12,44.25 USD,530.97 USD
2017-02-17,7,17.43 USD,122.04 USD
2017-02-18,20,32.37 USD,647.46 USD
2017-02-19,18,45.15 USD,812.66 USD
2017-02-20,16,23.19 USD,371.02 USD
2017-02-21,11,18.46 USD,203.02 USD
2017-02-22,11,23.34 USD,256.69 USD
2017-02-23,15,25.27 USD,379.01 USD
2017-02-24,16,28.94 USD,463.11 USD
2017-02-25,8,27.41 USD,219.29 USD
2017-02-26,13,39.03 USD,507.40 USD
2017-02-27,13,32.38 USD,420.88 USD
2017-02-28,16,29.92 USD,478.71 USD
2017-03-01,16,31.83 USD,509.27 USD
2017-03-02,16,32.93 USD,526.89 USD
2017-03-03,7,26.36 USD,184.50 USD
2017-03-04,10,20.56 USD,205.58 USD
2017-03-05,14,39.97 USD,559.62 USD
2017-03-06,14,25.03 USD,350.45 USD
2017-03-07,21,23.22 USD,487.60 USD
2017-03-08,10,28.21 USD,282.14 USD
2017-03-09,13,17.50 USD,227.49 USD
2017-03-10,12,43.06 USD,516.73 USD
2017-03-11,18,12.94 USD,232.83 USD
2017-03-12,21,33.72 USD,708.18 USD
2017-03-13,8,26.34 USD,210.71 USD
2017-03-14,9,46.24 USD,416.17 USD
2017-03-15,9,16.37 USD,147.29 USD
2017-03-16,6,28.65 USD,171.92 USD
2017-03-17,10,25.90 USD,258.97 USD
2017-03-18,22,39.51 USD,869.18 USD
2017-03-19,0,0.00 USD,0.00 USD
2017-03-20,25,40.63 USD,1015.63 USD
2017-03-21,6,32.44 USD,194.63 USD
2017-03-22,26,50.66 USD,1317.08 USD
2017-03-23,21,40.50 USD,850.56 USD
2017-03-24,14,45.79 USD,641.09 USD
2017-03-25,9,42.90 USD,386.10 USD
2017-03-26,12,46.68 USD,560.21 USD
2017-03-27,10,44.89 USD,448.93 USD
2017-03-28,7,58.44 USD,409.05 USD
2017-03-29,8,38.70 USD,309.58 USD
2017-03-30,12,54.29 USD,651.50 USD
2017-03-31,8,57.66 USD,461.29 USD
2017-04-01,11,33.12 USD,364.29 USD
2017-04-02,12,41.40 USD,496.82 USD
2017-04-03,11,38.46 USD,423.01 USD
2017-04-04,20,40.37 USD,807.30 USD
2017-04-05,19,36.98 USD,702.61 USD
2017-04-06,12,40.93 USD,491.12 USD
2017-04-07,7,30.40 USD,212.80 USD
2017-04-08,16,30.73 USD,491.71 USD
2017-04-09,8,24.72 USD,197.78 USD
2017-04-10,9,27.96 USD,251.65 USD
2017-04-11,9,39.15 USD,352.31 USD
2017-04-12,14,16.22 USD,227.05 USD
2017-04-13,7,29.40 USD,205.83 USD
2017-04-14,9,16.25 USD,146.23 USD
2017-04-15,11,15.24 USD,167.62 USD
2017-04-16,6,42.20 USD,253.17 USD
2017-04-17,6,37.51 USD,225.05 USD
2017-04-18,18,17.64 USD,317.58 USD
2017-04-19,13,23.48 USD,305.18 USD
2017-04-20,7,61.55 USD,430.88 USD
2017-04-21,15,43.49 USD,652.33 USD
2017-04-22,3,19.54 USD,58.62 USD
2017-04-23,9,22.69 USD,204.23 USD
2017-04-24,7,27.63 USD,193.39 USD
2017-04-25,6,35.16 USD,210.93 USD
2017-04-26,16,43.20 USD,691.20 USD
2017-04-27,8,34.15 USD,273.18 USD
2017-04-28,6,21.10 USD,126.60 USD
2017-04-29,9,44.91 USD,404.17 USD
2017-04-30,17,26.24 USD,446.08 USD
2017-05-01,8,48.17 USD,385.38 USD
2017-05-02,16,11.19 USD,179.08 USD
2017-05-03,10,28.66 USD,286.61 USD
2017-05-04,6,10.30 USD,61.80 USD
2017-05-05,10,28.39 USD,283.87 USD
2017-05-06,9,42.04 USD,378.32 USD
2017-05-07,10,17.10 USD,170.99 USD
2017-05-08,6,31.58 USD,189.48 USD
2017-05-09,6,48.60 USD,291.59 USD
2017-05-10,5,8.00 USD,40.00 USD
2017-05-11,2,62.64 USD,125.27 USD
2017-05-12,6,30.36 USD,182.14 USD
2017-05-13,6,55.95 USD,335.68 USD
2017-05-14,8,26.56 USD,212.48 USD
2017-05-15,9,51.37 USD,462.30 USD
2017-05-16,10,7.95 USD,79.50 USD
2017-05-17,9,48.09 USD,432.85 USD
2017-05-18,11,27.85 USD,306.39 USD
2017-05-19,7,30.64 USD,214.50 USD
2017-05-20,7,38.99 USD,272.90 USD
2017-05-21,10,27.57 USD,275.69 USD
2017-05-22,9,65.70 USD,591.32 USD
2017-05-23,14,42.08 USD,589.12 USD
2017-05-24,15,28.51 USD,427.65 USD
2017-05-25,10,32.98 USD,329.78 USD
2017-05-26,6,67.17 USD,403.02 USD
2017-05-27,11,51.17 USD,562.92 USD
2017-05-28,6,30.51 USD,183.03 USD
2017-05-29,16,36.65 USD,586.34 USD
2017-05-30,14,39.49 USD,552.87 USD
2017-05-31,7,18.30 USD,128.08 USD
2017-06-01,11,20.36 USD,223.91 USD
2017-06-02,11,18.37 USD,202.11 USD
2017-06-03,12,33.02 USD,396.22 USD
2017-06-04,6,35.19 USD,211.15 USD
2017-06-05,5,69.37 USD,346.83 USD
2017-06-06,10,36.50 USD,364.96 USD
2017-06-07,13,43.64 USD,567.26 USD
2017-06-08,9,24.24 USD,218.18 USD
2017-06-09,10,43.50 USD,435.01 USD
2017-06-10,11,36.28 USD,399.03 USD
2017-06-11,8,40.80 USD,326.38 USD
2017-06-12,7,35.29 USD,247.06 USD
2017-06-13,7,8.39 USD,58.75 USD
2017-06-14,13,46.86 USD,609.23 USD
2017-06-15,10,27.87 USD,278.65 USD
2017-06-16,9,44.48 USD,400.28 USD
2017-06-17,8,25.80 USD,206.40 USD
2017-06-18,10,28.53 USD,285.33 USD
2017-06-19,14,25.33 USD,354.58 USD
2017-06-20,14,23.79 USD,333.00 USD
2017-06-21,11,43.66 USD,480.27 USD
2017-06-22,16,21.92 USD,350.79 USD
2017-06-23,5,71.77 USD,358.86 USD
2017-06-24,7,24.80 USD,173.57 USD
2017-06-25,13,58.28 USD,757.62 USD
2017-06-26,7,41.40 USD,289.79 USD
2017-06-27,12,25.60 USD,307.25 USD
2017-06-28,10,64.71 USD,647.07 USD
2017-06-29,12,24.37 USD,292.49 USD
2017-06-30,11,39.63 USD,435.92 USD
2017-07-01,5,33.82 USD,169.08 USD
2017-07-02,11,53.67 USD,590.39 USD
2017-07-03,12,60.44 USD,725.33 USD
2017-07-04,6,29.15 USD,174.89 USD
2017-07-05,18,45.90 USD,826.14 USD
2017-07-06,10,26.06 USD,260.64 USD
2017-07-07,9,45.10 USD,405.89 USD
2017-07-08,7,47.56 USD,332.90 USD
2017-07-09,17,50.70 USD,861.85 USD
2017-07-10,8,28.22 USD,225.77 USD
2017-07-11,18,35.46 USD,638.21 USD
2017-07-12,14,57.68 USD,807.45 USD
2017-07-13,16,42.68 USD,682.95 USD
2017-07-14,13,43.82 USD,569.62 USD
2017-07-15,28,42.35 USD,1185.84 USD
2017-07-16,11,51.02 USD,561.17 USD
2017-07-17,9,48.92 USD,440.30 USD
2017-07-18,15,52.31 USD,784.61 USD
2017-07-19,11,60.15 USD,661.61 USD
2017-07-20,9,45.41 USD,408.66 USD
2017-07-21,13,71.72 USD,932.36 USD
2017-07-22,16,44.73 USD,715.65 USD
2017-07-23,9,53.85 USD,484.61 USD
2017-07-24,10,38.88 USD,388.80 USD
2017-07-25,12,57.06 USD,684.73 USD
2017-07-26,23,30.41 USD,699.38 USD
2017-07-27,11,49.06 USD,539.71 USD
2017-07-28,12,57.14 USD,685.67 USD
2017-07-29,9,39.27 USD,353.40 USD
2017-07-30,18,59.67 USD,1074.05 USD
2017-07-31,19,36.90 USD,701.18 USD
2017-08-01,25,53.94 USD,1348.56 USD
2017-08-02,17,45.92 USD,780.61 USD
2017-08-03,20,52.60 USD,1051.92 USD
2017-08-04,18,46.19 USD,831.40 USD
2017-08-05,2,78.10 USD,156.20 USD
2017-08-06,16,39.95 USD,639.23 USD
2017-08-07,17,32.38 USD,550.39 USD
2017-08-08,16,40.01 USD,640.10 USD
2017-08-09,21,53.22 USD,1117.58 USD
2017-08-10,36,38.68 USD,1392.52 USD
2017-08-11,15,43.97 USD,659.60 USD
2017-08-12,19,36.48 USD,693.08 USD
2017-08-13,22,54.49 USD,1198.85 USD
2017-08-14,15,46.79 USD,701.84 USD
2017-08-15,13,43.38 USD,563.99 USD
2017-08-16,21,35.34 USD,742.11 USD
2017-08-17,14,50.38 USD,705.32 USD
2017-08-18,14,59.72 USD,836.12 USD
2017-08-19,11,56.39 USD,620.33 USD
2017-08-20,17,50.85 USD,864.53 USD
2017-08-21,16,48.73 USD,779.73 USD
2017-08-22,4,18.61 USD,74.44 USD
2017-08-23,13,47.00 USD,611.03 USD
2017-08-24,18,50.68 USD,912.32 USD
2017-08-25,18,34.51 USD,621.16 USD
2017-08-26,23,38.26 USD,879.87 USD
2017-08-27,17,38.87 USD,660.74 USD
2017-08-28,10,40.27 USD,402.66 USD
2017-08-29,20,53.29 USD,1065.86 USD
2017-08-30,14,65.36 USD,914.97 USD
2017-08-31,20,55.70 USD,1114.04 USD
2017-09-01,16,80.44 USD,1286.96 USD
2017-09-02,12,32.06 USD,384.68 USD
2017-09-03,20,40.84 USD,816.83 USD
2017-09-04,38,44.24 USD,1681.15 USD
2017-09-05,17,57.96 USD,985.37 USD
2017-09-06,13,39.65 USD,515.41 USD
2017-09-07,16,43.38 USD,694.09 USD
2017-09-08,10,60.90 USD,608.96 USD
2017-09-09,14,54.49 USD,762.84 USD
2017-09-10,15,43.28 USD,649.27 USD
2017-09-11,9,57.15 USD,514.38 USD
2017-09-12,11,38.53 USD,423.88 USD
2017-09-13,12,57.68 USD,692.15 USD
2017-09-14,15,47.04 USD,705.64 USD
2017-09-15,12,56.34 USD,676.11 USD
2017-09-16,9,50.03 USD,450.26 USD
2017-09-17,12,49.62 USD,595.43 USD
2017-09-18,20,39.25 USD,785.04 USD
2017-09-19,13,45.69 USD,593.92 USD
2017-09-20,10,59.76 USD,597.60 USD
2017-09-21,32,63.39 USD,2028.59 USD
2017-09-22,10,35.12 USD,351.21 USD
2017-09-23,20,39.54 USD,790.85 USD
2017-09-24,20,51.65 USD,1033.05 USD
2017-09-25,21,43.51 USD,913.68 USD
2017-09-26,17,26.64 USD,452.91 USD
2017-09-27,20,56.35 USD,1126.92 USD
2017-09-28,14,45.74 USD,640.36 USD
2017-09-29,13,72.05 USD,936.64 USD
2017-09-30,8,48.61 USD,388.90 USD
2017-10-01,14,46.39 USD,649.50 USD
2017-10-02,17,37.27 USD,633.57 USD
2017-10-03,24,31.85 USD,764.34 USD
2017-10-04,18,32.59 USD,586.56 USD
2017-10-05,13,39.45 USD,512.79 USD
2017-10-06,13,48.54 USD,630.96 USD
2017-10-07,15,44.30 USD,664.43 USD
2017-10-08,27,33.32 USD,899.64 USD
2017-10-09,18,36.78 USD,661.96 USD
2017-10-10,14,46.28 USD,647.85 USD
2017-10-11,17,54.32 USD,923.43 USD
2017-10-12,14,39.47 USD,552.56 USD
2017-10-13,11,57.81 USD,635.94 USD
2017-10-14,15,40.88 USD,613.24 USD
2017-10-15,23,35.03 USD,805.66 USD
2017-10-16,17,50.21 USD,853.65 USD
2017-10-17,18,37.98 USD,683.71 USD
2017-10-18,19,35.05 USD,665.89 USD
2017-10-19,18,49.59 USD,892.66 USD
2017-10-20,14,28.73 USD,402.19 USD
2017-10-21,19,47.31 USD,898.94 USD
2017-10-22,11,36.57 USD,402.31 USD
2017-10-23,18,46.77 USD,841.82 USD
2017-10-24,25,42.46 USD,1061.42 USD
2017-10-25,11,72.30 USD,795.32 USD
2017-10-26,18,40.12 USD,722.21 USD
2017-10-27,13,41.13 USD,534.65 USD
2017-10-28,16,33.07 USD,529.07 USD
2017-10-29,12,39.23 USD,470.78 USD
2017-10-30,19,46.58 USD,885.04 USD
2017-10-31,15,47.38 USD,710.66 USD
2017-11-01,22,27.08 USD,595.69 USD
2017-11-02,10,43.62 USD,436.18 USD
2017-11-03,10,41.22 USD,412.22 USD
2017-11-04,21,33.46 USD,702.58 USD
2017-11-05,13,50.14 USD,651.87 USD
2017-11-06,9,33.04 USD,297.33 USD
2017-11-07,22,43.10 USD,948.19 USD
2017-11-08,16,38.01 USD,608.12 USD
2017-11-09,17,42.25 USD,718.18 USD
2017-11-10,15,45.94 USD,689.13 USD
2017-11-11,22,39.60 USD,871.27 USD
2017-11-12,22,30.01 USD,660.22 USD
2017-11-13,31,37.79 USD,1171.47 USD
2017-11-14,28,42.97 USD,1203.18 USD
2017-11-15,22,56.40 USD,1240.82 USD
2017-11-16,27,29.42 USD,794.34 USD
2017-11-17,19,43.27 USD,822.06 USD
2017-11-18,21,26.77 USD,562.19 USD
2017-11-19,21,25.89 USD,543.61 USD
2017-11-20,16,36.26 USD,580.19 USD
2017-11-21,20,25.61 USD,512.23 USD
2017-11-22,19,26.49 USD,503.26 USD
2017-11-23,17,30.35 USD,516.03 USD
2017-11-24,19,38.47 USD,731.02 USD
2017-11-25,25,24.37 USD,609.35 USD
2017-11-26,10,25.62 USD,256.18 USD
2017-11-27,9,26.12 USD,235.12 USD
2017-11-28,12,25.99 USD,311.87 USD
2017-11-29,14,32.11 USD,449.56 USD
2017-11-30,14,28.98 USD,405.75 USD
2017-12-01,14,49.55 USD,693.65 USD
2017-12-02,16,28.63 USD,458.08 USD
2017-12-03,17,37.06 USD,629.97 USD
2017-12-04,19,41.89 USD,795.99 USD
2017-12-05,16,27.45 USD,439.22 USD
2017-12-06,15,44.40 USD,665.96 USD
2017-12-07,17,49.87 USD,847.71 USD
2017-12-08,21,21.29 USD,447.15 USD
2017-12-09,19,28.29 USD,537.42 USD
2017-12-10,22,25.73 USD,566.09 USD
2017-12-11,11,35.20 USD,387.24 USD
2017-12-12,13,37.75 USD,490.69 USD
2017-12-13,16,36.63 USD,586.10 USD
2017-12-14,13,35.94 USD,467.19 USD
2017-12-15,13,44.09 USD,573.18 USD
2017-12-16,16,33.75 USD,540.01 USD
2017-12-17,12,35.57 USD,426.85 USD
2017-12-18,10,41.61 USD,416.10 USD
2017-12-19,8,35.87 USD,286.96 USD
2017-12-20,20,23.51 USD,470.17 USD
2017-12-21,6,34.99 USD,209.95 USD
2017-12-22,7,29.11 USD,203.78 USD
2017-12-23,4,24.90 USD,99.58 USD
2017-12-24,2,30.44 USD,60.88 USD
2017-12-25,10,30.40 USD,303.97 USD
2017-12-26,13,35.95 USD,467.40 USD
2017-12-27,15,34.33 USD,514.96 USD
2017-12-28,16,55.81 USD,893.01 USD
2017-12-29,8,46.19 USD,369.50 USD
2017-12-30,10,17.07 USD,170.68 USD
2017-12-31,12,35.31 USD,423.72 USD
2018-01-01,16,24.09 USD,385.47 USD
2018-01-02,15,37.51 USD,562.58 USD
2018-01-03,20,39.83 USD,796.57 USD
2018-01-04,13,48.02 USD,624.21 USD
2018-01-05,11,35.67 USD,392.39 USD
2018-01-06,8,40.05 USD,320.43 USD
2018-01-07,11,39.50 USD,434.47 USD
2018-01-08,14,39.18 USD,548.52 USD
2018-01-09,12,34.53 USD,414.31 USD
2018-01-10,14,20.98 USD,293.75 USD
2018-01-11,17,31.28 USD,531.71 USD
2018-01-12,15,35.06 USD,525.97 USD
2018-01-13,13,40.56 USD,527.22 USD
2018-01-14,15,32.04 USD,480.60 USD
2018-01-15,8,37.87 USD,302.94 USD
2018-01-16,14,27.35 USD,382.92 USD
2018-01-17,13,35.56 USD,462.22 USD
2018-01-18,21,43.55 USD,914.49 USD
2018-01-19,6,78.51 USD,471.05 USD
2018-01-20,6,37.39 USD,224.32 USD
2018-01-21,9,23.28 USD,209.52 USD
2018-01-22,13,45.37 USD,589.84 USD
2018-01-23,9,26.19 USD,235.71 USD
2018-01-24,11,37.97 USD,417.71 USD
2018-01-25,6,27.72 USD,166.33 USD
2018-01-26,7,53.35 USD,373.42 USD
2018-01-27,18,21.06 USD,379.02 USD
2018-01-28,5,56.80 USD,283.99 USD
2018-01-29,10,43.27 USD,432.66 USD
2018-01-30,14,38.85 USD,543.93 USD
2018-01-31,15,24.89 USD,373.31 USD
2018-02-01,16,57.08 USD,913.23 USD
2018-02-02,8,30.58 USD,244.60 USD
2018-02-03,15,44.73 USD,670.99 USD
2018-02-04,10,41.25 USD,412.49 USD
2018-02-05,12,26.44 USD,317.22 USD
2018-02-06,14,35.72 USD,500.07 USD
2018-02-07,15,21.73 USD,325.93 USD
2018-02-08,11,32.47 USD,357.14 USD
2018-02-09,8,36.33 USD,290.65 USD
2018-02-10,12,35.22 USD,422.59 USD
2018-02-11,7,26.09 USD,182.66 USD
2018-02-12,19,37.50 USD,712.48 USD
2018-02-13,12,30.94 USD,371.28 USD
2018-02-14,7,30.96 USD,216.74 USD
2018-02-15,5,79.29 USD,396.46 USD
2018-02-16,9,30.16 USD,271.46 USD
2018-02-17,11,43.35 USD,476.84 USD
2018-02-18,9,32.75 USD,294.72 USD
2018-02-19,8,40.85 USD,326.82 USD
2018-02-20,18,33.39 USD,601.09 USD
2018-02-21,12,25.58 USD,306.92 USD
2018-02-22,12,30.81 USD,369.68 USD
2018-02-23,8,36.77 USD,294.16 USD
2018-02-24,7,26.51 USD,185.60 USD
