,date,beer,beer_sales,beer_weighting,scotch,scotch_sales,scotch_weighting,vodka,vodka_sales,vodka_weighting,whiskey,whiskey_sales,whiskey_weighting,wine,wine_sales,wine_weighting
40,2015-06-03,10.84,10.84,1.0,144.22,432.66,3.0,49.17,196.67,3.9997966239576974,13.32,26.63,1.999249249249249,39.14,1095.79,27.996678589678076
41,2015-06-04,30.82,123.28,4.0,39.79,119.38,3.0002513194269915,80.62,564.33,6.999875961299925,84.19,589.35,7.00023755790474,52.51,1050.19,19.999809560083797
42,2015-06-05,11.9,47.58,3.998319327731092,108.69,217.37,1.9999079952157512,63.66,381.94,5.999685830977066,107.16,107.16,1.0,47.93,1629.73,34.002295013561444
43,2015-06-06,7.53,30.13,4.00132802124834,60.47,60.47,1.0,59.14,177.43,3.000169090294217,152.29,152.29,1.0,39.76,1312.16,33.00201207243461
44,2015-06-07,52.62,157.85,2.999809958190802,91.85,91.85,1.0,37.88,151.51,3.999736008447729,36.0,6228.3,173.00833333333333,25.12,627.97,24.998805732484076
45,2015-06-08,24.97,199.75,7.999599519423309,111.3,667.8,6.0,54.23,271.15,5.0,36.26,3734.38,102.98896856039714,39.23,1059.08,26.99668620953352
46,2015-06-09,24.12,120.59,4.999585406301824,114.65,573.26,5.000087221979939,56.44,169.31,2.999822820694543,39.13,1643.36,41.99744441604906,54.64,2349.69,43.00311127379209
47,2015-06-10,30.29,121.17,4.000330141961044,100.4,301.2,2.9999999999999996,59.1,236.41,4.000169204737732,34.06,1430.7,42.005284791544334,36.1,1696.71,47.00027700831025
48,2015-06-11,9.1,36.38,3.9978021978021983,211.1,1055.52,5.0000947418285175,66.52,864.79,13.000450992182802,99.14,99.14,1.0,23.73,901.82,38.00337126000843
49,2015-06-13,15.73,47.2,3.0006357279084552,366.06,366.06,1.0,61.58,246.32,4.0,106.76,106.76,1.0,36.64,1758.76,48.001091703056765
50,2015-06-14,13.44,67.19,4.9992559523809526,124.31,372.92,2.999919555948838,59.53,297.63,4.999664034940366,152.64,152.64,1.0,38.42,1114.07,28.997136907860487
51,2015-06-15,10.83,10.83,1.0,56.02,112.03,1.99982149232417,59.6,536.42,9.000335570469797,26.0,338.06,13.002307692307692,38.88,1905.17,49.00128600823045
52,2015-06-16,9.63,96.29,9.99896157840083,131.74,395.23,3.0000759070897223,62.02,310.1,5.0,42.63,42.63,1.0,44.9,1077.49,23.997550111358574
53,2015-06-17,10.85,54.25,5.0,74.42,74.42,1.0,76.42,76.42,1.0,77.13,231.4,3.0001296512381694,56.74,1361.86,24.00176242509693
54,2015-06-18,9.93,9.93,1.0,99.95,199.9,2.0,64.77,647.71,10.00015439246565,86.68,260.03,2.9998846331333637,40.75,937.16,22.997791411042943
55,2015-06-19,10.04,110.47,11.002988047808765,149.11,447.34,3.000067064583193,80.41,804.1,10.0,114.16,228.31,1.9999124036440086,35.46,1454.05,41.0053581500282
56,2015-06-20,41.1,164.4,4.0,142.14,852.86,6.0001407063458565,84.74,169.47,1.9998819919754545,31.71,63.42,2.0,57.32,1719.48,29.99790648988137
57,2015-06-21,47.27,94.53,1.9997884493336153,61.53,61.53,1.0,40.87,326.94,7.999510643503793,73.67,147.34,2.0,58.11,1394.71,24.001204611942867
58,2015-06-22,10.04,30.12,3.0000000000000004,106.4,212.8,2.0,35.15,105.45,3.0,86.96,347.85,4.0001149954001844,45.25,1402.81,31.00132596685083
59,2015-06-23,7.76,7.76,1.0,302.39,302.39,1.0,79.73,159.45,1.99987457669635,141.53,424.59,3.0,27.19,734.25,27.00441338727473
60,2015-06-24,9.84,78.73,8.001016260162602,128.95,644.75,5.0,79.82,399.09,4.999874718115761,201.64,201.64,1.0,42.76,1282.73,29.998362956033677
61,2015-06-25,11.15,11.15,1.0,176.07,176.07,1.0,52.77,263.84,4.999810498389236,128.93,515.72,4.0,33.82,1082.11,31.996156120638673
62,2015-06-26,10.83,10.83,1.0,211.47,1268.8,5.999905423937201,54.24,325.46,6.000368731563421,87.91,263.73,3.0000000000000004,58.17,1745.02,29.99862472064638
63,2015-06-27,10.69,10.69,1.0,75.62,151.23,1.9998677598518908,48.75,341.25,7.0,193.15,193.15,1.0,99.39,2484.73,24.999798772512325
