,date,beer,scotch,vodka,whiskey,wine,combined
0,2015-04-15,13.0,62.45,57.35,56.58,24.7,0
1,2015-04-16,10.36,173.41,54.42,54.08,46.39,0
2,2015-04-17,14.76,176.39,68.22,54.39,50.37,0
3,2015-04-20,25.94,79.11,55.93,82.85,29.09,0
4,2015-04-21,20.09,56.32,66.21,158.23,37.39,0
5,2015-04-22,20.13,184.07,47.8,147.6,30.99,0
6,2015-04-23,11.64,305.18,68.32,61.81,32.86,0
7,2015-04-24,25.81,188.81,89.25,54.18,54.5,0
8,2015-04-26,30.1,171.12,63.69,97.76,37.57,0
9,2015-04-27,4.69,77.64,58.63,98.97,82.6,0
10,2015-04-28,4.72,312.95,27.38,136.92,71.63,0
11,2015-04-29,12.81,148.65,35.21,134.5,78.65,0
12,2015-04-30,6.24,193.81,56.78,128.32,37.04,0
13,2015-05-01,14.19,122.57,44.02,55.31,31.91,0
14,2015-05-02,6.81,121.75,70.48,95.63,36.44,0
15,2015-05-03,4.7,92.63,177.47,84.22,32.0,0
16,2015-05-04,9.8,109.5,36.56,114.58,37.5,0
17,2015-05-05,8.1,80.1,77.94,86.18,28.9,0
18,2015-05-06,4.76,92.84,74.3,145.09,48.68,0
19,2015-05-08,10.25,162.44,45.1,130.95,34.14,0
20,2015-05-09,4.54,256.3,68.55,125.61,34.52,0
21,2015-05-10,31.59,142.07,56.12,103.72,67.9,0
22,2015-05-11,31.59,9541.41,71.73,94.83,57.16,0
23,2015-05-12,9.09,127.3,49.39,55.32,29.87,0
24,2015-05-13,4.39,39.12,63.42,73.21,37.1,0
25,2015-05-16,4.83,138.03,72.11,150.57,42.74,0
26,2015-05-19,11.35,85.84,79.32,187.6,58.38,0
27,2015-05-20,9.28,96.29,85.08,141.44,45.84,0
28,2015-05-21,9.46,108.74,46.12,57.18,100.33,0
29,2015-05-22,22.31,77.34,53.56,76.5,48.55,0
30,2015-05-23,14.08,80.62,97.76,72.48,38.75,0
31,2015-05-24,8.59,142.95,91.0,65.06,34.01,0
32,2015-05-25,7.82,80.13,40.67,205.89,24.69,0
33,2015-05-26,10.95,122.1,81.28,66.95,39.17,0
34,2015-05-27,10.83,95.3,46.89,77.45,53.55,0
35,2015-05-28,5.79,163.44,124.06,117.37,36.6,0
36,2015-05-30,19.74,246.15,43.04,128.13,51.11,0
37,2015-05-31,3.68,85.86,48.5,104.1,41.2,0
38,2015-06-01,9.91,109.16,60.79,74.57,40.95,0
39,2015-06-02,6.93,195.62,71.65,94.49,42.17,0
40,2015-06-03,10.84,144.22,49.17,13.32,39.14,0
41,2015-06-04,30.82,39.79,80.62,84.19,52.51,0
42,2015-06-05,11.9,108.69,63.66,107.16,47.93,0
43,2015-06-06,7.53,60.47,59.14,152.29,39.76,0
44,2015-06-07,52.62,91.85,37.88,36.0,25.12,0
45,2015-06-08,24.97,111.3,54.23,36.26,39.23,0
46,2015-06-09,24.12,114.65,56.44,39.13,54.64,0
47,2015-06-10,30.29,100.4,59.1,34.06,36.1,0
48,2015-06-11,9.1,211.1,66.52,99.14,23.73,0
49,2015-06-13,15.73,366.06,61.58,106.76,36.64,0
50,2015-06-14,13.44,124.31,59.53,152.64,38.42,0
51,2015-06-15,10.83,56.02,59.6,26.0,38.88,0
52,2015-06-16,9.63,131.74,62.02,42.63,44.9,0
53,2015-06-17,10.85,74.42,76.42,77.13,56.74,0
54,2015-06-18,9.93,99.95,64.77,86.68,40.75,0
55,2015-06-19,10.04,149.11,80.41,114.16,35.46,0
56,2015-06-20,41.1,142.14,84.74,31.71,57.32,0
57,2015-06-21,47.27,61.53,40.87,73.67,58.11,0
