date,Bitcoin,Ethereum,Bitcoin Cash
2017-01-01,7,4,0
2017-01-08,6,3,0
2017-01-15,4,3,0
2017-01-22,4,2,0
2017-01-29,4,2,0
2017-02-05,5,2,0
2017-02-12,4,3,0
2017-02-19,5,3,1
2017-02-26,6,7,1
2017-03-05,7,5,1
2017-03-12,6,13,1
2017-03-19,6,10,2
2017-03-26,5,9,2
2017-04-02,5,7,2
2017-04-09,5,6,2
2017-04-16,5,6,1
2017-04-23,5,10,1
2017-04-30,7,18,2
2017-05-07,10,14,2
2017-05-14,11,15,2
2017-05-21,19,49,2
2017-05-28,12,38,2
2017-06-04,12,44,1
2017-06-11,13,74,1
2017-06-18,11,58,1
2017-06-25,11,55,1
2017-07-02,9,35,1
2017-07-09,10,42,1
2017-07-16,12,39,1
2017-07-23,11,27,7
2017-07-30,15,26,47
2017-08-06,15,31,16
2017-08-13,20,31,19
2017-08-20,16,28,16
2017-08-27,17,34,9
2017-09-03,18,32,6
2017-09-10,21,27,4
2017-09-17,16,23,4
2017-09-24,13,19,4
2017-10-01,12,18,4
2017-10-08,19,24,6
2017-10-15,19,29,6
2017-10-22,21,23,6
2017-10-29,28,28,12
2017-11-05,29,32,24
2017-11-12,31,29,48
2017-11-19,27,43,18
2017-11-26,66,69,21
2017-12-03,91,76,21
2017-12-10,86,100,23
2017-12-17,100,90,100
2017-12-24,78,58,28
