date,IOTA,Ripple,Dash,NEM,Monero,Bitcoin Gold,Cardano,Ethereum Classic,Stellar Lumens,NEO,BitConnect,Waves,Qtum,Stratis,Lisk,Zcash,MonaCoin,Nxt,Hshare,BitShares,Bytecoin,Steem,Ark,Decred,Vertcoin,Komodo,Einsteinium,Dogecoin,Siacoin,PIVX,Factom,Syscoin,RaiBlocks,Cryptonex,BitcoinDark,Byteball Bytes,ZCoin,VeChain,Pura,DigiByte,GameCredits,Verge,NAV Coin,Nexus,Blocknet,Skycoin,Metaverse ETP,BitBay,GXShares,Achain
2016-12-25,1,3,90,93,8,1,3,8,0,81,0,71,0,6,5,12,0,44,5,0,3,18,97,1,0,15,5,4,1,0,5,0,0,0,0,0,1,0,71,0,9,12,6,100,0,0,0,2,0,12
2017-01-01,1,3,89,85,12,3,3,7,0,82,0,75,0,10,5,12,0,47,0,4,3,25,100,5,1,16,3,7,1,0,15,3,0,0,0,0,3,0,71,1,9,16,3,99,11,0,0,6,0,0
2017-01-08,1,3,81,86,7,2,3,6,0,78,0,79,1,8,5,11,1,43,0,2,2,19,91,4,0,16,5,5,1,0,10,3,0,0,25,0,7,0,73,1,4,14,4,92,0,0,0,3,0,0
2017-01-15,1,3,84,87,6,1,3,7,0,76,0,79,0,9,4,10,1,40,4,1,1,20,95,2,0,16,7,5,1,1,15,5,0,14,0,0,5,0,78,1,0,13,0,90,0,0,0,2,0,20
2017-01-22,1,3,100,88,7,1,4,2,0,79,0,85,0,6,5,10,1,53,13,2,1,18,88,8,0,17,5,5,1,1,8,2,0,0,0,0,4,0,78,0,21,14,5,90,0,0,0,4,0,10
2017-01-29,1,3,85,83,7,1,4,3,0,77,0,82,0,9,5,6,0,73,4,3,3,19,96,16,0,17,5,6,0,1,11,3,1,0,24,0,6,0,83,1,25,16,1,90,0,4,0,3,0,20
2017-02-05,1,3,85,84,5,1,3,3,0,78,0,89,1,9,5,8,1,41,8,2,2,19,98,6,0,16,7,5,1,1,11,2,1,0,0,0,12,0,78,0,12,15,4,88,5,0,0,6,0,20
2017-02-12,1,3,83,86,5,1,3,2,1,76,0,87,1,7,4,7,1,43,8,4,1,19,98,13,0,17,5,4,0,2,9,2,1,0,12,0,6,0,85,0,12,14,0,87,0,0,0,6,0,10
2017-02-19,1,3,85,86,5,1,4,5,0,75,0,89,1,6,2,6,0,44,9,4,2,19,91,8,0,21,6,5,0,3,13,0,2,0,0,0,11,0,81,1,25,15,0,87,0,0,0,5,0,10
2017-02-26,1,4,96,85,6,4,4,6,0,76,0,91,1,9,7,8,1,40,4,1,3,18,91,8,0,18,4,7,1,2,10,2,2,0,0,0,5,0,78,1,20,17,4,90,0,4,0,5,0,0
2017-03-05,2,3,91,88,5,2,3,2,0,75,1,94,1,7,5,10,1,40,0,1,3,15,79,8,0,100,10,6,1,3,8,2,3,0,0,0,7,0,84,1,16,14,1,87,0,0,0,5,0,10
