date,IOTA,Ripple,Dash,NEM,Monero,Bitcoin Gold,Cardano,Ethereum Classic,Stellar Lumens,NEO
2016-12-25,1,3,90,93,8,1,3,8,0,81
2017-01-01,1,3,89,85,12,3,3,7,0,82
2017-01-08,1,3,81,86,7,2,3,6,0,78
2017-01-15,1,3,84,87,6,1,3,7,0,76
2017-01-22,1,3,100,88,7,1,4,2,0,79
2017-01-29,1,3,85,83,7,1,4,3,0,77
2017-02-05,1,3,85,84,5,1,3,3,0,78
2017-02-12,1,3,83,86,5,1,3,2,1,76
2017-02-19,1,3,85,86,5,1,4,5,0,75
2017-02-26,1,4,96,85,6,4,4,6,0,76
2017-03-05,2,3,91,88,5,2,3,2,0,75
2017-03-12,2,4,88,83,9,2,5,10,0,72
2017-03-19,2,4,84,86,8,1,3,12,0,72
2017-03-26,1,4,82,85,6,1,4,8,0,70
2017-04-02,2,6,77,84,6,1,4,9,1,73
2017-04-09,1,4,77,85,6,2,3,4,0,70
2017-04-16,1,4,74,84,5,2,3,7,0,67
2017-04-23,1,5,75,85,6,2,4,21,1,67
2017-04-30,2,6,77,86,8,2,4,29,4,68
2017-05-07,1,9,72,87,8,1,4,9,11,66
2017-05-14,1,11,73,85,11,2,4,13,10,63
2017-05-21,1,12,74,88,18,4,4,72,8,64
2017-05-28,1,10,72,100,15,2,4,46,7,65
2017-06-04,2,9,69,92,15,4,5,36,6,64
2017-06-11,5,10,71,99,17,3,5,79,3,64
2017-06-18,3,10,74,87,15,2,4,50,3,65
2017-06-25,3,8,71,87,15,2,4,52,7,68
2017-07-02,2,7,69,86,12,2,4,35,2,64
2017-07-09,2,7,71,80,13,3,3,39,4,64
2017-07-16,3,7,75,81,12,4,4,37,3,65
2017-07-23,3,7,71,81,13,3,4,28,3,67
2017-07-30,3,7,73,86,13,2,3,27,5,63
2017-08-06,4,8,73,88,14,4,3,21,3,78
2017-08-13,8,8,72,85,13,5,2,19,4,100
2017-08-20,5,14,74,84,41,4,3,39,5,79
2017-08-27,6,12,72,85,38,4,4,36,4,74
2017-09-03,5,10,68,83,24,5,5,23,3,74
2017-09-10,4,9,67,77,22,4,5,17,2,72
2017-09-17,4,8,78,93,26,4,4,14,2,72
2017-09-24,4,7,79,90,21,6,4,19,2,79
2017-10-01,4,9,74,80,20,9,8,19,5,75
2017-10-08,4,12,77,87,18,24,7,14,5,73
2017-10-15,4,14,75,87,20,30,7,13,27,70
2017-10-22,4,10,77,88,20,100,6,16,11,69
2017-10-29,4,11,78,87,21,48,7,21,10,70
2017-11-05,5,11,77,86,31,38,6,44,10,71
2017-11-12,8,13,85,91,29,75,7,52,10,73
2017-11-19,9,15,90,90,32,56,7,31,12,78
2017-11-26,19,23,91,88,50,51,32,100,47,71
2017-12-03,100,25,87,93,86,44,26,62,81,74
2017-12-10,71,96,88,97,87,43,50,98,84,76
2017-12-17,58,100,92,99,100,48,100,91,100,79
