date,Macquarie Bank,Bitcoin
2017-01-01,73,7
2017-01-08,79,6
2017-01-15,78,4
2017-01-22,74,4
2017-01-29,82,4
2017-02-05,84,5
2017-02-12,88,4
2017-02-19,85,5
2017-02-26,92,6
2017-03-05,85,7
2017-03-12,83,6
2017-03-19,76,6
2017-03-26,79,5
2017-04-02,86,5
2017-04-09,75,5
2017-04-16,78,5
2017-04-23,74,5
2017-04-30,91,7
2017-05-07,94,9
2017-05-14,85,11
2017-05-21,87,19
2017-05-28,95,12
2017-06-04,85,12
2017-06-11,84,13
2017-06-18,89,11
2017-06-25,100,11
2017-07-02,93,9
2017-07-09,89,10
2017-07-16,86,12
2017-07-23,88,11
2017-07-30,93,15
2017-08-06,86,15
2017-08-13,84,20
2017-08-20,83,16
2017-08-27,91,17
2017-09-03,92,18
2017-09-10,93,22
2017-09-17,90,16
2017-09-24,94,13
2017-10-01,77,12
2017-10-08,83,19
2017-10-15,93,20
2017-10-22,90,21
2017-10-29,96,28
2017-11-05,90,29
2017-11-12,85,31
2017-11-19,78,28
2017-11-26,84,66
2017-12-03,83,92
2017-12-10,81,84
2017-12-17,77,100
2017-12-24,22,71
