date,IOTA,Ripple,Dash,NEM,Monero,Bitcoin Gold,Cardano,Ethereum Classic,Stellar Lumens,NEO,BitConnect,Waves,Qtum,Stratis,Lisk,Zcash,MonaCoin,Nxt,Hshare,BitShares,Bytecoin,Steem,Ark,Decred,Vertcoin,Komodo,Einsteinium,Dogecoin,Siacoin,PIVX,Factom,Syscoin,RaiBlocks,Cryptonex,BitcoinDark,Byteball Bytes,ZCoin,VeChain,Pura,DigiByte,GameCredits,Verge,NAV Coin,Nexus,Blocknet,Skycoin,Metaverse ETP,BitBay,GXShares,Achain,Peercoin,MinexCoin,Groestlcoin,ZenCash,Particl,Feathercoin,Ubiq,Lykke,PotCoin,Counterparty,Asch,Viacoin,FairCoin,FedoraCoin,Aeon,Rise,Voxels,ION,Emercoin,DECENT,KuCoin Shares,Neblio,ReddCoin,CloakCoin,SIBCoin,Namecoin,SmartCash,Diamond,XTRABYTES,Elastic,WhiteCoin,I/O Coin,Crown,LBRY Credits,OKCash,Gulden,MonetaryUnit,Bitcore,SaluS,Bitzeny,BlackCoin,NoLimitCoin,Shift,GridCoin,BitSend,Burst,TransferCoin,Omni,Golos,Steem Dollars,VeriCoin,HempCoin,LEOcoin,Boolberry,Rubycoin,DigitalNote,Gambit,BridgeCoin,Clams,The ChampCoin,SolarCoin,ATBCoin,Sphere,Radium,Unobtanium,NeosCoin,Peerplays,Pascal Coin,Expanse,Energycoin,E-Dinar Coin,FlorinCoin,Masternodecoin,Vcash,Tao,Bitdeal,LoMoCoin,DeepOnion,XP,HEAT,Auroracoin,Oxycoin,ToaCoin,Curecoin,Novacoin,Sequence,Musicoin,BitBean,E-coin,Mooncoin,CasinoCoin,Obsidian,PinkCoin,PoSW Coin,Bitmark,Stealthcoin,DubaiCoin,Pesetacoin,Dynamic,NewYorkCoin,Bitcoin Plus,Syndicate,Kore,BlueCoin,Sexcoin,ECC,XCurrency,PRIZM,Bitcloud,Onix,Dimecoin,Myriad
2017-03-05,2,3,91,88,5,2,3,2,0,75,1,94,1,7,5,10,1,40,0,1,3,15,79,8,0,100,10,6,1,3,8,2,3,0,0,0,7,0,84,1,16,14,1,87,0,0,0,5,0,10,10,0,0,0,13,2,24,89,1,77,85,3,0,0,80,75,30,80,8,85,0,0,0,25,6,22,12,88,0,92,9,0,66,0,3,57,25,6,86,0,5,0,92,7,22,72,0,97,96,0,5,0,64,16,0,2,66,0,58,39,19,0,100,58,3,8,13,31,76,0,25,5,0,7,84,0,0,0,86,77,0,0,0,0,0,97,4,3,72,4,0,90,0,16,10,0,5,4,99,0,5,58,52,20,4,97,39,85,17,84,0,82
2017-03-12,2,4,88,83,9,2,5,10,0,72,1,95,4,5,7,11,1,44,0,4,2,26,78,20,0,19,7,5,0,8,11,5,2,0,12,0,7,0,82,1,16,14,0,82,5,0,0,8,0,0,12,0,1,1,19,2,38,93,1,57,72,6,23,5,80,73,44,80,16,93,0,0,0,5,13,55,20,87,0,83,0,0,63,17,1,48,42,7,76,0,9,0,90,7,15,72,0,95,76,5,0,0,70,35,0,11,48,0,59,16,6,0,93,57,11,0,11,23,72,0,37,5,0,11,84,0,0,0,87,75,15,0,0,26,13,90,4,0,29,6,0,84,0,0,20,0,4,0,94,0,5,59,53,20,4,88,36,79,51,89,0,83
2017-03-19,2,4,84,86,8,1,3,12,0,72,1,93,1,11,7,12,0,47,0,2,3,24,73,23,0,20,8,7,1,61,23,13,3,0,0,0,8,1,87,1,8,15,6,86,5,0,0,9,0,31,9,0,1,0,33,8,30,89,1,84,81,9,12,0,78,69,22,80,32,91,0,0,0,5,7,17,17,92,0,88,9,0,61,0,2,61,71,4,77,0,10,0,92,10,100,73,68,95,61,0,3,2,20,7,10,4,51,21,62,48,0,0,95,53,14,17,11,34,68,0,13,32,0,11,88,5,0,0,86,75,8,0,0,14,14,97,1,0,67,4,0,84,6,0,20,0,0,0,100,0,4,58,51,61,13,94,32,77,17,85,0,85
2017-03-26,1,4,82,85,6,1,4,8,0,70,1,91,1,12,6,9,1,62,9,0,6,15,73,71,1,17,7,6,2,32,19,9,3,0,37,0,2,0,89,1,17,17,6,86,10,0,0,5,0,10,9,0,1,0,0,4,26,79,2,64,83,14,0,0,83,69,48,79,32,84,0,0,0,0,0,23,8,86,0,86,9,0,61,18,2,55,85,0,77,0,4,0,92,20,23,73,13,97,53,5,3,2,20,20,0,0,47,0,67,50,20,0,92,59,11,17,6,32,72,30,0,0,0,8,93,0,0,0,84,74,0,0,0,34,0,94,13,0,37,10,0,76,32,0,31,0,2,8,100,0,27,61,51,19,4,86,73,81,17,88,0,100
2017-04-02,2,6,77,84,6,1,4,9,1,73,1,90,1,16,6,7,1,92,8,6,3,20,79,19,0,19,5,7,2,28,12,5,3,0,37,0,6,0,89,2,4,15,1,85,5,13,0,5,0,0,7,0,4,0,13,0,26,80,2,54,95,11,0,0,84,67,28,76,16,92,0,0,1,5,26,17,8,88,0,86,0,0,63,0,3,71,67,5,77,0,5,0,94,23,69,71,13,93,66,0,5,0,46,15,39,0,48,0,64,17,13,0,96,59,6,17,17,15,69,0,25,27,0,19,93,0,0,3,82,74,16,0,0,20,14,92,14,3,47,9,0,74,0,0,10,5,2,0,95,0,6,58,48,20,13,85,100,78,0,84,0,82
2017-04-09,1,4,77,85,6,2,3,4,0,70,2,90,1,18,4,10,3,50,13,5,5,19,78,20,5,19,6,7,3,60,16,8,3,0,13,13,13,0,89,4,26,14,1,80,5,5,0,5,0,11,12,5,1,0,48,2,25,74,3,49,66,15,0,0,82,71,27,73,0,85,0,0,1,5,7,20,13,90,0,81,0,26,65,9,1,67,18,5,72,0,7,0,94,21,56,69,53,87,95,0,3,0,27,0,0,0,47,0,68,67,0,0,87,65,18,0,18,18,72,0,52,11,0,12,94,0,4,0,83,81,0,0,0,21,0,87,19,3,61,7,0,81,13,0,21,6,3,4,95,0,4,58,100,35,4,87,65,84,54,83,0,80
2017-04-16,1,4,74,84,5,2,3,7,0,67,2,93,1,17,7,9,3,43,4,7,5,25,70,17,1,19,3,5,1,51,28,11,4,0,12,0,3,0,90,8,37,15,3,78,25,0,0,4,0,51,14,5,0,0,39,2,22,77,3,72,71,6,12,0,72,67,30,73,8,89,0,3,0,0,0,10,21,86,2,83,0,0,62,9,5,66,100,0,81,1,10,0,96,13,38,69,37,89,100,5,8,0,65,20,10,0,48,0,65,17,20,0,91,66,6,0,33,25,79,22,0,8,0,11,90,0,0,0,80,71,0,0,0,7,0,94,14,24,26,9,0,80,100,84,20,7,4,8,91,0,8,55,67,0,4,78,29,77,42,89,0,72
2017-04-23,1,5,75,85,6,2,4,21,1,67,1,100,1,9,5,14,0,46,17,4,3,23,72,29,1,18,4,8,1,40,26,9,1,0,12,0,11,0,87,3,28,15,8,83,35,4,0,6,0,10,15,0,1,4,26,6,32,77,2,52,84,3,36,10,81,67,32,76,32,83,0,0,1,0,6,24,8,87,8,89,9,0,63,9,4,71,43,5,76,1,6,0,98,10,46,72,25,89,92,14,5,2,19,5,0,2,47,0,62,57,19,0,97,69,14,0,29,17,66,0,12,8,0,15,88,5,0,0,80,72,0,0,0,20,20,99,12,29,63,8,0,79,6,100,40,4,2,0,93,0,6,56,63,24,0,92,67,77,60,82,0,79
2017-04-30,2,6,77,86,8,2,4,29,4,68,1,95,1,19,7,13,1,48,4,4,4,18,69,26,2,28,5,10,4,34,27,29,5,0,25,0,10,0,86,4,17,16,9,81,15,0,0,6,0,0,22,0,2,3,40,21,16,89,2,55,84,0,0,5,88,66,35,77,32,94,0,0,1,0,20,30,17,90,6,89,0,0,69,0,2,53,68,2,70,0,9,0,99,15,39,70,13,93,86,15,5,0,27,17,0,4,42,0,65,17,0,0,100,88,14,9,39,28,49,0,13,6,0,4,90,0,8,0,76,70,16,0,0,21,14,93,6,11,34,11,0,74,44,85,31,0,0,10,92,11,12,55,58,20,13,77,37,75,18,80,0,77
2017-05-07,1,9,72,87,8,1,4,9,11,66,1,96,1,13,7,15,1,50,9,6,12,36,65,20,2,20,6,14,4,39,24,14,2,0,37,0,10,0,86,5,21,15,6,78,5,5,0,7,0,0,23,0,1,4,46,15,23,92,2,100,68,3,36,0,74,65,50,76,56,87,0,0,1,0,7,29,4,88,8,88,0,0,63,35,3,63,35,10,71,0,11,0,91,46,31,68,0,88,57,5,5,0,46,0,0,4,45,0,65,64,7,0,99,100,11,0,53,32,37,0,13,100,0,23,84,0,4,0,81,67,8,0,0,14,7,90,8,13,50,8,0,80,19,0,31,7,4,6,94,0,17,54,51,10,10,85,69,75,52,87,5,76
2017-05-14,1,11,73,85,11,2,4,13,10,63,2,92,0,12,5,12,3,59,0,11,21,34,61,25,2,18,7,11,15,21,22,10,3,0,65,0,6,0,82,29,100,16,7,77,11,5,0,7,0,11,10,10,1,6,48,13,23,70,3,72,82,9,0,0,74,63,44,73,42,89,0,0,4,5,14,36,22,87,10,81,19,0,65,9,1,64,38,3,68,0,12,0,91,13,49,72,0,90,59,0,3,2,35,5,0,7,39,0,66,78,14,9,93,75,12,9,27,25,35,0,0,38,0,12,81,0,0,0,100,74,8,0,0,14,0,83,10,14,63,23,0,77,7,71,11,10,4,11,89,0,14,52,49,40,9,87,39,77,27,86,0,78
2017-05-21,1,12,74,88,18,4,4,72,8,64,3,93,2,22,12,35,3,69,9,10,31,31,60,24,1,19,9,30,35,42,39,61,5,0,0,0,5,0,81,30,27,14,6,76,11,10,0,13,0,0,28,15,1,12,7,20,40,80,2,59,63,12,0,37,76,64,59,74,78,85,0,0,14,0,14,53,5,88,0,74,19,27,61,38,2,68,28,11,76,0,22,0,90,25,50,67,0,93,50,5,17,0,29,16,0,10,43,0,70,71,29,0,88,72,12,0,18,18,32,0,27,32,0,20,82,0,0,0,78,72,9,0,0,22,23,78,32,32,20,56,0,72,27,37,78,12,2,11,85,0,19,52,51,0,31,78,45,72,27,84,6,59
2017-05-28,1,10,72,100,15,2,4,46,7,65,3,89,5,100,11,32,2,47,14,13,19,32,66,35,1,19,6,17,24,41,25,29,4,0,40,0,15,0,83,55,44,15,4,74,11,5,0,9,0,11,21,25,1,19,7,14,54,97,4,78,62,9,52,5,82,63,37,70,52,84,0,0,8,5,0,34,0,88,31,78,0,0,62,28,5,55,0,5,63,0,29,0,89,33,33,73,0,89,41,11,17,0,21,5,0,21,43,0,76,43,21,0,75,66,12,0,42,30,29,38,41,17,0,24,82,5,4,0,74,71,0,0,0,7,0,73,19,20,59,38,0,83,41,18,99,6,3,11,83,0,12,55,53,27,27,87,39,84,27,87,5,67
2017-06-04,2,9,69,92,15,4,5,36,6,64,4,91,3,100,24,35,4,43,4,64,19,60,66,51,3,18,7,20,50,23,100,28,7,0,38,13,20,0,100,100,73,21,8,74,26,0,0,14,0,11,31,19,4,50,34,28,50,95,3,73,57,18,13,20,82,66,43,69,100,84,0,0,10,63,0,48,13,89,9,78,47,0,63,73,9,79,63,4,63,1,58,0,88,50,40,70,14,88,49,30,11,2,34,10,41,48,38,0,65,0,48,0,76,72,12,9,100,29,30,0,0,23,0,12,79,0,22,0,74,73,16,0,0,50,14,81,48,56,35,100,0,78,26,70,21,6,2,36,87,12,10,53,54,20,33,92,29,78,0,76,5,77
2017-06-11,5,10,71,99,17,3,5,79,3,64,5,91,2,81,23,53,4,99,5,56,16,52,75,37,4,17,6,19,42,27,83,28,10,0,39,0,24,0,89,49,62,16,6,72,21,10,0,19,0,11,28,54,1,37,14,29,43,98,100,82,60,15,13,46,87,73,49,70,60,91,0,0,7,92,7,33,9,88,8,79,19,26,61,75,7,87,0,5,100,0,52,0,91,100,25,74,26,93,34,5,26,0,56,18,21,23,44,0,76,43,28,9,74,52,12,27,63,29,28,0,13,46,0,12,82,0,16,0,75,85,25,0,0,22,7,76,16,17,36,59,0,84,27,18,0,22,10,17,84,0,13,62,54,0,23,80,59,88,27,83,5,69
2017-06-18,3,10,74,87,15,2,4,50,3,65,4,83,3,41,17,56,9,73,4,21,22,45,72,74,3,16,5,18,73,25,66,31,15,0,13,0,18,0,82,26,68,16,4,76,31,19,0,11,0,11,30,24,2,17,20,39,51,98,17,75,59,100,50,10,91,66,34,66,99,98,0,0,7,58,13,47,13,93,9,77,9,0,64,100,7,78,27,8,69,1,35,18,98,39,32,73,25,91,46,0,22,4,47,8,10,9,43,0,79,0,0,18,63,71,3,70,64,46,29,94,26,42,0,23,80,20,100,0,72,100,24,0,0,42,100,73,29,39,64,44,0,88,19,0,11,16,6,12,84,0,14,59,53,20,50,84,47,87,35,83,0,67
2017-06-25,3,8,71,87,15,2,4,52,7,68,3,86,4,45,12,60,8,60,5,23,16,45,71,66,2,15,5,17,41,44,55,34,16,0,27,0,20,0,83,23,41,16,3,75,22,30,0,11,0,11,15,20,2,12,0,23,39,98,9,72,51,31,13,5,98,69,29,67,18,88,0,0,5,100,79,50,14,95,10,77,0,0,64,39,2,77,47,7,72,1,41,0,100,75,34,77,0,96,36,37,35,0,36,29,0,12,56,0,89,36,14,48,62,63,0,37,49,37,28,95,41,12,0,12,85,5,38,0,76,74,17,0,0,30,23,66,51,23,28,39,0,76,21,37,22,6,19,4,81,12,32,57,54,0,42,89,51,88,72,84,0,59
2017-07-02,2,7,69,86,12,2,4,35,2,64,5,86,1,31,13,44,6,55,5,20,15,40,72,55,3,16,5,14,33,32,38,7,17,0,53,14,12,0,88,19,31,14,1,73,16,30,3,13,0,44,26,15,4,16,29,43,35,89,7,59,51,31,26,0,95,65,26,62,35,100,0,0,7,33,43,36,14,94,7,69,10,0,59,86,10,59,39,9,71,1,30,0,99,39,42,75,0,92,33,37,38,0,43,10,0,10,44,0,100,0,36,19,57,74,19,19,31,35,29,55,14,14,0,8,83,5,24,0,74,85,34,0,0,7,23,64,47,15,40,23,0,78,34,18,33,16,100,7,82,0,10,57,63,22,19,86,66,82,19,80,33,62
2017-07-09,2,7,71,80,13,3,3,39,4,64,8,84,1,40,13,38,2,53,5,18,14,31,68,61,4,16,2,13,28,30,33,13,16,0,26,0,23,0,90,16,18,16,1,73,21,14,0,10,51,44,16,20,12,28,14,27,37,94,5,36,54,6,26,0,85,72,25,66,9,87,0,0,4,11,84,25,13,94,5,76,0,26,63,19,8,73,0,5,74,0,32,0,94,19,25,71,27,95,30,31,6,2,35,16,0,12,48,0,87,0,7,37,60,76,18,9,33,50,27,65,54,14,0,4,79,5,13,0,74,82,8,0,0,22,22,68,37,14,33,19,37,83,0,0,0,10,36,8,83,48,11,57,61,33,7,87,34,83,55,82,11,66
2017-07-16,3,7,75,81,12,4,4,37,3,65,10,86,4,45,14,34,6,55,0,23,13,44,70,57,2,19,4,15,22,28,31,17,17,0,13,0,18,0,89,11,54,15,1,74,6,25,0,13,0,0,13,10,3,13,65,21,63,85,5,72,57,37,13,11,83,70,21,61,9,82,0,0,5,56,100,27,14,98,6,77,10,0,64,29,3,64,19,12,67,0,34,10,99,53,76,68,0,100,31,11,15,2,29,16,0,0,84,0,91,18,14,29,59,72,16,9,33,28,28,32,14,12,0,25,79,38,16,4,74,80,9,0,100,15,45,69,24,15,67,20,0,90,7,0,11,30,20,9,86,25,11,59,57,22,20,91,59,92,45,89,11,61
2017-07-23,3,7,71,81,13,3,4,28,3,67,10,81,3,40,9,27,3,69,14,21,11,39,65,47,2,18,10,13,23,23,35,8,24,0,52,0,15,0,90,24,26,16,0,71,53,24,0,10,0,22,19,0,1,6,70,4,53,83,4,65,53,9,64,10,83,64,18,62,0,82,0,3,4,5,7,51,13,89,6,71,9,0,63,19,5,55,0,8,74,0,26,0,98,30,57,72,27,99,38,0,6,6,28,11,0,2,100,0,83,18,21,18,55,90,9,18,24,13,28,16,13,6,0,12,77,5,8,7,77,74,0,0,0,36,7,68,23,3,43,26,36,92,20,0,0,12,15,8,86,24,15,57,56,20,0,85,69,81,35,85,11,70
2017-07-30,3,7,73,86,13,2,3,27,5,63,13,82,5,28,12,29,3,70,0,13,10,32,63,59,1,19,4,13,20,19,26,18,20,30,38,0,13,0,86,22,34,16,4,71,26,14,0,11,0,11,12,14,3,21,41,7,45,95,4,68,60,27,25,0,91,64,2,63,25,83,0,0,4,5,48,24,13,96,6,76,0,0,65,55,2,68,19,6,71,0,20,0,94,13,64,74,0,100,44,5,3,2,20,8,0,11,50,0,88,18,27,36,58,88,12,9,18,29,26,37,13,8,0,8,76,26,4,4,73,73,8,0,0,7,14,65,21,11,20,19,36,96,7,35,21,0,6,13,83,12,11,58,59,20,14,78,29,84,34,93,11,66
2017-08-06,4,8,73,88,14,4,3,21,3,78,15,78,10,52,10,33,2,75,4,21,13,32,65,36,4,20,4,13,26,23,32,13,23,0,25,13,16,0,86,15,77,17,5,71,37,9,0,16,50,11,22,14,2,14,41,24,40,80,8,59,55,32,25,15,86,65,36,63,17,77,0,6,5,26,34,37,9,90,7,71,9,26,62,27,3,65,18,15,73,1,24,54,94,34,16,68,13,97,45,10,6,11,41,10,21,14,47,0,86,42,0,45,59,79,6,71,29,18,28,0,0,11,0,0,75,0,8,7,73,69,16,0,40,28,7,68,23,6,31,14,0,92,7,17,11,0,7,9,83,0,13,54,85,0,9,83,43,77,36,93,26,67
2017-08-13,8,8,72,85,13,5,2,19,4,100,21,78,9,42,17,28,2,80,18,20,15,33,61,34,4,18,4,15,25,23,47,18,35,0,26,0,17,2,95,18,30,16,7,69,32,24,0,19,0,11,21,19,4,24,48,26,63,92,8,69,73,15,50,5,87,65,23,62,17,86,0,29,6,27,14,32,13,88,5,74,19,51,62,18,3,64,54,10,68,1,33,55,93,37,0,67,25,95,49,5,14,0,41,21,10,5,43,41,75,68,0,55,61,72,15,44,15,11,26,46,13,6,0,12,75,31,57,29,71,64,33,0,82,7,14,65,22,11,31,18,0,93,13,0,21,8,10,6,80,12,21,53,75,15,27,75,71,75,34,95,21,64
2017-08-20,5,14,74,84,41,4,3,39,5,79,27,82,11,32,46,31,2,99,18,18,18,45,60,49,12,19,4,15,21,31,38,28,31,0,64,0,9,3,93,15,47,17,9,77,47,5,0,21,0,11,26,24,4,15,34,17,45,91,5,75,54,24,87,30,80,60,18,63,100,84,0,16,5,21,14,43,30,92,13,72,9,51,62,37,7,66,55,15,72,0,37,100,91,21,24,69,50,94,52,35,14,11,48,43,0,18,44,0,74,68,61,27,71,77,18,62,17,15,25,38,0,31,35,16,74,5,8,11,71,63,33,0,40,56,0,68,41,25,31,62,0,84,0,0,32,10,7,4,81,12,16,52,58,20,15,84,100,78,26,94,0,69
2017-08-27,6,12,72,85,38,4,4,36,4,74,22,80,19,50,60,32,3,57,67,24,26,41,90,61,10,18,4,19,22,39,39,54,49,0,38,0,21,2,92,28,30,18,96,77,100,19,0,25,100,43,29,10,5,20,76,18,80,92,5,62,77,36,38,10,95,61,43,72,42,88,0,9,7,21,34,53,35,91,8,77,56,77,61,28,7,74,54,12,79,0,32,64,93,37,80,70,0,93,66,36,8,7,27,21,10,7,45,41,71,51,41,100,74,64,12,36,12,27,26,100,13,34,36,12,72,10,27,36,72,70,16,29,0,36,14,71,100,14,39,30,0,90,59,18,64,0,12,65,84,0,19,57,56,57,18,93,62,74,26,96,21,82
