date,IOTA,Ripple,Dash,NEM,Monero,Bitcoin Gold,Cardano,Ethereum Classic,Stellar Lumens,NEO,BitConnect,Waves,Qtum,Stratis,Lisk,Zcash,MonaCoin,Nxt,Hshare,BitShares,Bytecoin,Steem,Ark,Decred,Vertcoin,Komodo,Einsteinium,Dogecoin,Siacoin,PIVX,Factom,Syscoin,RaiBlocks,Cryptonex,BitcoinDark,Byteball Bytes,ZCoin,VeChain,Pura,DigiByte,GameCredits,Verge,NAV Coin,Nexus,Blocknet,Skycoin,Metaverse ETP,BitBay,GXShares,Achain,Peercoin,MinexCoin,Groestlcoin,ZenCash,Particl,Feathercoin,Ubiq,Lykke,PotCoin,Counterparty,Asch,Viacoin,FairCoin,FedoraCoin,Aeon,Rise,Voxels,ION,Emercoin,DECENT,KuCoin Shares,Neblio,ReddCoin,CloakCoin,SIBCoin,Namecoin,SmartCash,Diamond,XTRABYTES,Elastic,WhiteCoin,I/O Coin,Crown,LBRY Credits,OKCash,Gulden,MonetaryUnit,Bitcore,SaluS,Bitzeny,BlackCoin,NoLimitCoin,Shift,GridCoin,BitSend,Burst,TransferCoin,Omni,Golos,Steem Dollars,VeriCoin,HempCoin,LEOcoin,Boolberry,Rubycoin,DigitalNote,Gambit,BridgeCoin,Clams,The ChampCoin,SolarCoin,ATBCoin,Sphere,Radium,Unobtanium,NeosCoin,Peerplays,Pascal Coin,Expanse,Energycoin,E-Dinar Coin,FlorinCoin,Masternodecoin,Vcash,Tao,Bitdeal,LoMoCoin,DeepOnion,XP,HEAT,Auroracoin,Oxycoin,ToaCoin,Curecoin,Novacoin,Sequence,Musicoin,BitBean,E-coin,Mooncoin,CasinoCoin,Obsidian,PinkCoin,PoSW Coin,Bitmark,Stealthcoin,DubaiCoin,Pesetacoin,Dynamic,NewYorkCoin,Bitcoin Plus,Syndicate,Kore,BlueCoin,Sexcoin,ECC,XCurrency,PRIZM,Bitcloud,Onix,Dimecoin,Myriad
2016-12-25,1,3,90,93,8,1,3,8,0,81,0,71,0,6,5,12,0,44,5,0,3,18,97,1,0,15,5,4,1,0,5,0,0,0,0,0,1,0,71,0,9,12,6,100,0,0,0,2,0,12,6,0,0,0,8,0,17,72,1,26,53,3,0,0,98,74,15,63,28,82,0,0,1,0,7,4,10,100,0,59,0,28,81,0,1,66,0,3,70,0,7,0,71,9,9,71,0,88,67,6,0,0,38,0,0,0,48,0,79,0,0,0,62,49,13,0,7,5,39,17,14,0,0,0,78,0,0,0,93,70,0,0,0,16,8,55,0,0,60,6,0,86,0,0,12,0,1,0,70,0,3,100,60,23,0,58,47,89,38,86,0,59
2017-01-01,1,3,89,85,12,3,3,7,0,82,0,75,0,10,5,12,0,47,0,4,3,25,100,5,1,16,3,7,1,0,15,3,0,0,0,0,3,0,71,1,9,16,3,99,11,0,0,6,0,0,2,0,1,0,7,11,12,83,1,47,60,9,13,0,93,73,26,87,9,84,0,0,0,0,7,12,18,96,0,68,0,0,75,0,2,52,0,4,77,0,4,0,80,11,0,68,14,92,61,0,0,0,64,10,11,2,52,0,68,0,0,0,75,53,3,0,6,21,49,0,41,9,0,4,84,0,0,0,91,77,17,0,0,22,15,74,0,0,80,6,0,97,0,0,33,0,0,0,81,0,6,84,52,32,13,74,74,79,37,80,6,64
2017-01-08,1,3,81,86,7,2,3,6,0,78,0,79,1,8,5,11,1,43,0,2,2,19,91,4,0,16,5,5,1,0,10,3,0,0,25,0,7,0,73,1,4,14,4,92,0,0,0,3,0,0,6,0,0,0,7,2,18,86,1,63,62,3,0,0,78,71,24,77,0,88,0,0,0,0,13,16,9,91,0,81,0,0,80,9,1,62,0,1,88,0,4,0,82,10,24,67,0,96,56,0,3,0,47,0,10,4,48,0,57,0,7,0,85,55,20,0,20,17,40,0,39,0,0,27,81,0,7,0,92,79,0,0,0,0,21,86,0,0,68,4,0,89,0,0,0,0,1,8,91,0,6,69,54,34,8,89,93,85,34,93,0,83
2017-01-15,1,3,84,87,6,1,3,7,0,76,0,79,0,9,4,10,1,40,4,1,1,20,95,2,0,16,7,5,1,1,15,5,0,14,0,0,5,0,78,1,0,13,0,90,0,0,0,2,0,20,8,0,0,0,0,6,22,72,1,71,75,0,0,0,73,78,20,87,8,95,0,0,0,0,0,14,17,90,0,82,0,0,70,18,1,57,0,2,85,0,5,0,84,3,39,68,0,90,58,0,3,0,40,15,0,2,50,0,60,0,0,0,88,63,26,0,14,9,40,0,63,0,0,19,100,0,0,0,91,75,8,0,0,27,21,85,0,0,65,16,0,94,0,0,10,0,0,4,94,0,5,67,57,52,6,91,61,83,36,92,0,75
2017-01-22,1,3,100,88,7,1,4,2,0,79,0,85,0,6,5,10,1,53,13,2,1,18,88,8,0,17,5,5,1,1,8,2,0,0,0,0,4,0,78,0,21,14,5,90,0,0,0,4,0,10,6,0,0,0,20,8,17,91,1,75,67,0,24,0,77,70,31,80,40,86,0,0,0,0,0,6,8,90,3,86,0,25,68,26,1,49,36,1,76,0,5,0,88,0,8,71,0,88,60,0,3,0,26,15,0,0,77,0,57,34,7,0,91,64,14,0,0,100,39,0,50,0,0,0,90,0,4,0,91,74,0,0,0,20,0,90,2,0,56,8,0,93,0,0,10,0,0,0,92,0,3,65,57,20,0,85,42,88,18,89,5,82
2017-01-29,1,3,85,83,7,1,4,3,0,77,0,82,0,9,5,6,0,73,4,3,3,19,96,16,0,17,5,6,0,1,11,3,1,0,24,0,6,0,83,1,25,16,1,90,0,4,0,3,0,20,5,0,0,0,33,6,28,73,1,65,85,0,12,0,86,71,32,84,0,88,0,0,1,0,6,18,4,93,0,87,0,24,69,0,1,54,54,4,85,0,5,0,86,15,30,69,24,93,46,10,8,3,33,100,0,2,44,0,60,33,0,0,93,65,17,8,8,53,100,15,0,0,0,26,86,0,0,0,89,79,8,0,0,13,0,89,5,0,60,16,0,84,6,0,20,0,1,0,93,0,4,71,56,31,8,89,78,80,0,85,0,86
2017-02-05,1,3,85,84,5,1,3,3,0,78,0,89,1,9,5,8,1,41,8,2,2,19,98,6,0,16,7,5,1,1,11,2,1,0,0,0,12,0,78,0,12,15,4,88,5,0,0,6,0,20,7,0,0,0,33,4,54,84,1,59,65,0,12,5,72,71,45,81,24,86,0,0,0,0,6,8,4,90,0,88,0,0,65,0,1,63,0,4,88,1,5,0,86,5,8,72,24,94,62,0,3,3,13,30,0,2,46,0,57,32,7,0,93,64,11,0,0,55,91,0,100,10,0,30,81,0,0,0,90,80,16,0,0,20,0,91,0,0,62,9,0,82,0,17,20,0,0,0,95,0,4,66,52,19,16,89,72,81,84,82,10,85
2017-02-12,1,3,83,86,5,1,3,2,1,76,0,87,1,7,4,7,1,43,8,4,1,19,98,13,0,17,5,4,0,2,9,2,1,0,12,0,6,0,85,0,12,14,0,87,0,0,0,6,0,10,6,0,0,0,13,4,41,90,0,63,68,0,24,0,75,71,50,82,8,88,0,0,0,0,0,13,13,93,0,93,0,0,67,0,1,59,0,2,83,0,5,0,83,10,8,71,0,88,77,0,0,0,33,19,0,0,54,0,69,33,0,0,94,62,14,25,0,19,73,0,13,8,0,8,83,0,0,0,91,75,0,0,0,14,7,88,2,0,52,18,0,88,0,0,10,0,4,8,96,0,4,61,52,30,8,82,50,78,25,90,5,87
2017-02-19,1,3,85,86,5,1,4,5,0,75,0,89,1,6,2,6,0,44,9,4,2,19,91,8,0,21,6,5,0,3,13,0,2,0,0,0,11,0,81,1,25,15,0,87,0,0,0,5,0,10,8,0,0,0,20,4,18,84,0,68,70,0,0,0,78,74,24,83,24,86,0,3,0,5,0,13,21,93,0,91,0,0,65,0,1,68,18,1,81,0,7,0,89,10,31,72,0,97,72,0,5,0,26,12,0,0,49,0,63,58,0,0,97,66,14,17,34,26,88,0,38,8,0,15,80,0,0,0,91,69,8,0,0,7,7,91,5,0,47,10,0,92,0,0,20,0,2,8,95,0,6,62,56,0,10,96,54,84,43,91,0,91
2017-02-26,1,4,96,85,6,4,4,6,0,76,0,91,1,9,7,8,1,40,4,1,3,18,91,8,0,18,4,7,1,2,10,2,2,0,0,0,5,0,78,1,20,17,4,90,0,4,0,5,0,0,4,0,0,0,6,4,29,79,1,91,80,0,0,0,81,91,30,85,24,90,0,0,0,0,0,8,12,88,0,95,0,0,65,0,1,66,18,0,88,0,3,0,91,7,8,76,0,92,72,0,0,0,65,14,0,2,49,0,63,48,6,0,99,67,11,8,14,25,79,0,37,5,0,11,81,5,0,0,87,77,8,0,0,20,0,100,6,3,94,9,0,97,0,17,50,4,4,0,100,0,4,68,53,0,0,100,41,91,52,85,10,84
