model,description,metric,metric_code,value,rating,link
OAG-AD-17208957,Accord - 2017 Honda Accord V6L Auto,price,price,45888,-1.37,https://www.carsales.com.au/cars/details/Honda-Accord-2017/OAG-AD-17208957/?Cr=2
OAG-AD-17208957,Accord - 2017 Honda Accord V6L Auto,milage,milage,14577,-1.37,https://www.carsales.com.au/cars/details/Honda-Accord-2017/OAG-AD-17208957/?Cr=2
OAG-AD-17208957,Accord - 2017 Honda Accord V6L Auto,age,age,2,-1.37,https://www.carsales.com.au/cars/details/Honda-Accord-2017/OAG-AD-17208957/?Cr=2
OAG-AD-16804604,Accord - 2014 Honda Accord V6L Auto,price,price,22000,-1.38,https://www.carsales.com.au/cars/details/Honda-Accord-2014/OAG-AD-16804604/?gts=OAG-AD-16804604&gtssaleid=OAG-AD-16804604&rankingType=Showcase
OAG-AD-16804604,Accord - 2014 Honda Accord V6L Auto,milage,milage,90428,-1.38,https://www.carsales.com.au/cars/details/Honda-Accord-2014/OAG-AD-16804604/?gts=OAG-AD-16804604&gtssaleid=OAG-AD-16804604&rankingType=Showcase
OAG-AD-16804604,Accord - 2014 Honda Accord V6L Auto,age,age,5,-1.38,https://www.carsales.com.au/cars/details/Honda-Accord-2014/OAG-AD-16804604/?gts=OAG-AD-16804604&gtssaleid=OAG-AD-16804604&rankingType=Showcase
SSE-AD-6133327,Accord - 2015 Honda Accord VTi-L Auto,price,price,19890,1.07,https://www.carsales.com.au/cars/details/Honda-Accord-2015/SSE-AD-6133327/?Cr=1
SSE-AD-6133327,Accord - 2015 Honda Accord VTi-L Auto,milage,milage,74087,1.07,https://www.carsales.com.au/cars/details/Honda-Accord-2015/SSE-AD-6133327/?Cr=1
SSE-AD-6133327,Accord - 2015 Honda Accord VTi-L Auto,age,age,4,1.07,https://www.carsales.com.au/cars/details/Honda-Accord-2015/SSE-AD-6133327/?Cr=1
SSE-AD-4992717,Accord - 2009 Honda Accord VTi-L Auto,price,price,11500,0.94,https://www.carsales.com.au/cars/details/Honda-Accord-2009/SSE-AD-4992717/?Cr=7
SSE-AD-4992717,Accord - 2009 Honda Accord VTi-L Auto,milage,milage,98000,0.94,https://www.carsales.com.au/cars/details/Honda-Accord-2009/SSE-AD-4992717/?Cr=7
SSE-AD-4992717,Accord - 2009 Honda Accord VTi-L Auto,age,age,10,0.94,https://www.carsales.com.au/cars/details/Honda-Accord-2009/SSE-AD-4992717/?Cr=7
SSE-AD-6083465,Accord - 2009 Honda Accord V6 Luxury Auto,price,price,8800,0.54,https://www.carsales.com.au/cars/details/Honda-Accord-2009/SSE-AD-6083465/?Cr=6
SSE-AD-6083465,Accord - 2009 Honda Accord V6 Luxury Auto,milage,milage,129318,0.54,https://www.carsales.com.au/cars/details/Honda-Accord-2009/SSE-AD-6083465/?Cr=6
