This file was downloaded on February 25 2018 11:14:41 PM UTC-08:00
Keywords,bench
Date Range,2015-02-24 - 2018-02-24
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-07-02,10,111.53 USD,1115.31 USD
2015-07-03,11,119.91 USD,1319.03 USD
2015-07-04,19,187.36 USD,3559.79 USD
2015-07-05,21,150.19 USD,3154.03 USD
2015-07-06,25,173.76 USD,4344.00 USD
2015-07-07,12,135.20 USD,1622.43 USD
2015-07-08,7,98.38 USD,688.65 USD
2015-07-09,12,153.07 USD,1836.84 USD
2015-07-10,22,107.06 USD,2355.30 USD
2015-07-11,13,113.96 USD,1481.42 USD
2015-07-12,11,130.74 USD,1438.15 USD
2015-07-13,18,126.18 USD,2271.29 USD
2015-07-14,10,103.79 USD,1037.91 USD
2015-07-15,17,60.50 USD,1028.58 USD
2015-07-16,16,59.86 USD,957.68 USD
2015-07-17,13,98.22 USD,1276.85 USD
2015-07-18,19,81.09 USD,1540.76 USD
2015-07-19,15,83.62 USD,1254.25 USD
2015-07-20,21,106.26 USD,2231.36 USD
2015-07-21,17,82.67 USD,1405.33 USD
2015-07-22,21,130.86 USD,2748.07 USD
2015-07-23,12,127.68 USD,1532.14 USD
2015-07-24,22,139.16 USD,3061.47 USD
2015-07-25,10,103.74 USD,1037.44 USD
2015-07-26,16,88.93 USD,1422.86 USD
2015-07-27,14,128.73 USD,1802.24 USD
2015-07-28,21,88.92 USD,1867.41 USD
2015-07-29,17,105.02 USD,1785.37 USD
2015-07-30,25,69.71 USD,1742.67 USD
2015-07-31,9,151.83 USD,1366.50 USD
2015-08-01,20,118.39 USD,2367.77 USD
2015-08-02,20,78.37 USD,1567.45 USD
2015-08-03,18,128.25 USD,2308.58 USD
2015-08-04,19,109.45 USD,2079.54 USD
2015-08-05,18,143.34 USD,2580.07 USD
2015-08-06,20,100.22 USD,2004.41 USD
2015-08-07,17,131.25 USD,2231.22 USD
2015-08-08,15,112.15 USD,1682.28 USD
2015-08-09,14,64.02 USD,896.31 USD
2015-08-10,25,121.84 USD,3045.96 USD
2015-08-11,22,130.42 USD,2869.29 USD
2015-08-12,16,96.92 USD,1550.79 USD
2015-08-13,20,172.89 USD,3457.89 USD
2015-08-14,13,106.48 USD,1384.18 USD
2015-08-15,8,96.91 USD,775.31 USD
2015-08-16,15,138.86 USD,2082.87 USD
2015-08-17,22,98.36 USD,2164.00 USD
2015-08-18,29,108.26 USD,3139.66 USD
2015-08-19,17,57.67 USD,980.43 USD
2015-08-20,16,114.38 USD,1830.15 USD
2015-08-21,18,78.42 USD,1411.58 USD
2015-08-22,20,111.85 USD,2237.01 USD
2015-08-23,17,83.30 USD,1416.08 USD
2015-08-24,6,87.15 USD,522.92 USD
2015-08-25,26,89.65 USD,2330.80 USD
2015-08-26,21,93.88 USD,1971.44 USD
2015-08-27,16,67.30 USD,1076.82 USD
2015-08-28,12,117.14 USD,1405.69 USD
2015-08-29,21,68.38 USD,1435.97 USD
2015-08-30,20,186.62 USD,3732.45 USD
2015-08-31,13,141.63 USD,1841.17 USD
2015-09-01,31,80.74 USD,2502.85 USD
2015-09-02,8,99.19 USD,793.53 USD
2015-09-03,17,118.42 USD,2013.08 USD
2015-09-04,72,22.43 USD,1615.25 USD
2015-09-05,12,91.06 USD,1092.70 USD
2015-09-06,14,113.08 USD,1583.10 USD
2015-09-07,6,113.60 USD,681.60 USD
2015-09-08,14,116.49 USD,1630.92 USD
2015-09-09,20,127.08 USD,2541.54 USD
2015-09-10,17,113.05 USD,1921.82 USD
2015-09-11,12,94.16 USD,1129.96 USD
2015-09-12,12,116.83 USD,1401.94 USD
2015-09-13,30,123.14 USD,3694.19 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,34,153.40 USD,5215.69 USD
2015-10-10,24,98.75 USD,2370.09 USD
2015-10-11,41,136.98 USD,5615.99 USD
2015-10-12,17,107.08 USD,1820.33 USD
2015-10-13,23,113.07 USD,2600.56 USD
2015-10-14,19,199.62 USD,3792.71 USD
2015-10-15,13,74.92 USD,974.01 USD
2015-10-16,11,130.15 USD,1431.68 USD
2015-10-17,22,132.17 USD,2907.70 USD
2015-10-18,29,118.41 USD,3434.00 USD
2015-10-19,17,83.85 USD,1425.43 USD
2015-10-20,32,90.92 USD,2909.35 USD
2015-10-21,20,98.81 USD,1976.14 USD
2015-10-22,21,91.22 USD,1915.62 USD
2015-10-23,18,145.94 USD,2626.88 USD
2015-10-24,23,118.72 USD,2730.63 USD
2015-10-25,23,101.17 USD,2326.96 USD
2015-10-26,22,133.20 USD,2930.33 USD
2015-10-27,16,127.68 USD,2042.90 USD
2015-10-28,28,78.49 USD,2197.78 USD
2015-10-29,12,115.67 USD,1388.06 USD
2015-10-30,9,163.84 USD,1474.52 USD
