This file was downloaded on March 14 2018 12:46:15 AM UTC-07:00
Keywords,furniture
Date Range,2015-03-13 - 2018-03-11
Buyer Country: ,AU
Category: ,Home & Garden
Product Condition: ,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-07-16,145,97.70 USD,14166.05 USD
2015-07-17,135,99.82 USD,13475.81 USD
2015-07-18,154,128.41 USD,19774.68 USD
2015-07-19,204,74.05 USD,15106.22 USD
2015-07-20,175,113.49 USD,19859.92 USD
2015-07-21,177,89.11 USD,15771.61 USD
2015-07-22,146,119.59 USD,17460.72 USD
2015-07-23,153,121.41 USD,18576.04 USD
2015-07-24,130,109.51 USD,14236.12 USD
2015-07-25,179,78.56 USD,14061.65 USD
2015-07-26,248,97.50 USD,24179.27 USD
2015-07-27,204,96.91 USD,19769.51 USD
2015-07-28,171,122.81 USD,21000.84 USD
2015-07-29,148,98.25 USD,14540.53 USD
2015-07-30,150,125.99 USD,18898.97 USD
2015-07-31,126,103.51 USD,13041.92 USD
2015-08-01,155,95.91 USD,14866.71 USD
2015-08-02,195,97.66 USD,19044.33 USD
2015-08-03,158,101.96 USD,16109.04 USD
2015-08-04,200,115.64 USD,23127.48 USD
2015-08-05,134,104.30 USD,13976.55 USD
2015-08-06,156,102.03 USD,15916.42 USD
2015-08-07,191,83.11 USD,15873.47 USD
2015-08-08,170,97.29 USD,16539.33 USD
2015-08-09,223,109.34 USD,24382.28 USD
2015-08-10,208,96.96 USD,20167.05 USD
2015-08-11,186,74.94 USD,13938.76 USD
2015-08-12,136,113.82 USD,15479.80 USD
2015-08-13,136,87.85 USD,11948.22 USD
2015-08-14,119,89.00 USD,10590.42 USD
2015-08-15,165,93.05 USD,15354.06 USD
2015-08-16,219,125.31 USD,27442.70 USD
2015-08-17,204,103.29 USD,21071.83 USD
2015-08-18,176,98.04 USD,17254.49 USD
2015-08-19,165,95.84 USD,15813.11 USD
2015-08-20,155,86.22 USD,13364.10 USD
2015-08-21,140,107.47 USD,15046.32 USD
2015-08-22,189,102.69 USD,19409.26 USD
2015-08-23,204,97.55 USD,19899.52 USD
2015-08-24,186,108.80 USD,20236.31 USD
2015-08-25,239,79.52 USD,19005.52 USD
2015-08-26,168,120.18 USD,20190.15 USD
2015-08-27,125,136.26 USD,17032.35 USD
2015-08-28,152,97.98 USD,14892.91 USD
2015-08-29,135,105.61 USD,14257.41 USD
2015-08-30,165,89.29 USD,14732.74 USD
2015-08-31,158,143.93 USD,22741.26 USD
2015-09-01,196,92.22 USD,18074.51 USD
2015-09-02,132,125.45 USD,16559.85 USD
2015-09-03,140,73.96 USD,10354.26 USD
2015-09-04,242,63.86 USD,15455.04 USD
2015-09-05,150,91.79 USD,13767.93 USD
2015-09-06,158,117.31 USD,18534.91 USD
2015-09-07,135,120.30 USD,16240.49 USD
2015-09-08,161,84.46 USD,13597.93 USD
2015-09-09,140,160.40 USD,22456.22 USD
2015-09-10,138,96.83 USD,13362.75 USD
2015-09-11,122,122.63 USD,14960.73 USD
2015-09-12,161,82.75 USD,13322.10 USD
2015-09-13,204,110.60 USD,22562.90 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
