This file was downloaded on March 13 2018 5:45:41 PM UTC-07:00
Keywords,table
Date Range,2015-03-12 - 2018-03-11
Buyer Country: ,AU
Category: ,Furniture
Product Condition: ,New
Listing Format: ,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-07-16,72,147.07 USD,10589.16 USD
2015-07-17,81,115.49 USD,9355.05 USD
2015-07-18,94,149.16 USD,14021.22 USD
2015-07-19,88,105.78 USD,9308.36 USD
2015-07-20,92,138.22 USD,12716.29 USD
2015-07-21,96,108.35 USD,10401.68 USD
2015-07-22,101,132.59 USD,13391.73 USD
2015-07-23,82,106.15 USD,8704.55 USD
2015-07-24,79,127.94 USD,10107.17 USD
2015-07-25,101,105.75 USD,10680.82 USD
2015-07-26,163,105.82 USD,17248.37 USD
2015-07-27,80,110.91 USD,8872.43 USD
2015-07-28,106,160.16 USD,16976.88 USD
2015-07-29,99,98.76 USD,9777.02 USD
2015-07-30,82,115.60 USD,9479.48 USD
2015-07-31,92,147.09 USD,13532.37 USD
2015-08-01,76,97.78 USD,7431.02 USD
2015-08-02,125,122.82 USD,15352.85 USD
2015-08-03,85,123.85 USD,10527.17 USD
2015-08-04,105,108.96 USD,11440.45 USD
2015-08-05,83,128.09 USD,10631.68 USD
2015-08-06,80,138.72 USD,11097.84 USD
2015-08-07,64,105.26 USD,6736.43 USD
2015-08-08,80,112.78 USD,9022.29 USD
2015-08-09,105,130.60 USD,13713.38 USD
2015-08-10,95,133.38 USD,12670.93 USD
2015-08-11,114,108.36 USD,12353.03 USD
2015-08-12,102,120.27 USD,12267.91 USD
2015-08-13,91,117.24 USD,10669.20 USD
2015-08-14,64,136.72 USD,8750.20 USD
2015-08-15,92,104.61 USD,9624.21 USD
2015-08-16,103,113.01 USD,11639.56 USD
2015-08-17,104,130.07 USD,13526.96 USD
2015-08-18,94,135.45 USD,12731.95 USD
2015-08-19,104,92.74 USD,9644.89 USD
2015-08-20,80,101.14 USD,8091.40 USD
2015-08-21,75,213.22 USD,15991.78 USD
2015-08-22,84,145.55 USD,12225.88 USD
2015-08-23,95,131.89 USD,12529.59 USD
2015-08-24,72,145.31 USD,10462.10 USD
2015-08-25,86,151.64 USD,13040.66 USD
2015-08-26,81,118.62 USD,9608.06 USD
2015-08-27,71,134.00 USD,9513.89 USD
2015-08-28,66,126.43 USD,8344.65 USD
2015-08-29,84,103.29 USD,8676.72 USD
2015-08-30,73,145.24 USD,10602.41 USD
2015-08-31,86,125.54 USD,10796.10 USD
2015-09-01,88,148.55 USD,13072.70 USD
2015-09-02,80,97.24 USD,7779.56 USD
2015-09-03,90,143.30 USD,12897.03 USD
2015-09-04,138,48.66 USD,6715.76 USD
2015-09-05,70,115.32 USD,8072.62 USD
2015-09-06,82,125.11 USD,10259.36 USD
2015-09-07,110,83.34 USD,9167.88 USD
2015-09-08,80,109.06 USD,8725.12 USD
2015-09-09,74,157.99 USD,11691.53 USD
2015-09-10,81,109.32 USD,8855.17 USD
2015-09-11,68,131.50 USD,8941.68 USD
2015-09-12,79,125.97 USD,9951.71 USD
2015-09-13,87,126.21 USD,10980.55 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,74,155.07 USD,11475.46 USD
2015-10-10,82,91.72 USD,7520.92 USD
2015-10-11,116,115.31 USD,13376.43 USD
2015-10-12,97,137.14 USD,13303.06 USD
2015-10-13,68,123.33 USD,8386.14 USD
2015-10-14,71,150.43 USD,10680.72 USD
2015-10-15,86,134.16 USD,11537.97 USD
2015-10-16,61,134.11 USD,8180.65 USD
2015-10-17,76,99.31 USD,7547.37 USD
2015-10-18,92,141.64 USD,13031.12 USD
2015-10-19,68,138.15 USD,9394.20 USD
2015-10-20,101,127.04 USD,12831.12 USD
2015-10-21,97,126.29 USD,12250.60 USD
2015-10-22,91,130.41 USD,11867.52 USD
2015-10-23,72,141.23 USD,10168.24 USD
2015-10-24,69,126.64 USD,8738.02 USD
2015-10-25,66,162.30 USD,10711.67 USD
2015-10-26,87,110.79 USD,9638.37 USD
2015-10-27,97,132.59 USD,12861.58 USD
2015-10-28,70,109.34 USD,7654.14 USD
2015-10-29,73,124.24 USD,9069.65 USD
2015-10-30,52,151.99 USD,7903.60 USD
2015-10-31,68,87.91 USD,5977.83 USD
2015-11-01,94,107.80 USD,10132.76 USD
2015-11-02,66,122.40 USD,8078.46 USD
2015-11-03,79,134.11 USD,10594.88 USD
2015-11-04,103,104.04 USD,10716.36 USD
2015-11-05,83,104.82 USD,8699.80 USD
2015-11-06,51,139.69 USD,7124.00 USD
2015-11-07,77,128.28 USD,9877.90 USD
2015-11-08,112,108.79 USD,12184.46 USD
2015-11-09,89,110.98 USD,9877.21 USD
2015-11-10,79,153.30 USD,12110.62 USD
2015-11-11,64,113.22 USD,7246.17 USD
2015-11-12,79,143.16 USD,11309.39 USD
2015-11-13,68,140.18 USD,9532.08 USD
2015-11-14,62,115.67 USD,7171.74 USD
2015-11-15,95,134.52 USD,12779.01 USD
2015-11-16,96,137.10 USD,13161.28 USD
2015-11-17,76,170.06 USD,12924.89 USD
2015-11-18,96,129.21 USD,12404.31 USD
2015-11-19,88,104.44 USD,9190.31 USD
2015-11-20,61,132.24 USD,8066.64 USD
2015-11-21,81,130.07 USD,10535.53 USD
2015-11-22,113,129.41 USD,14622.91 USD
2015-11-23,107,130.70 USD,13985.24 USD
2015-11-24,93,123.89 USD,11522.19 USD
2015-11-25,87,149.96 USD,13046.74 USD
2015-11-26,97,121.72 USD,11807.31 USD
2015-11-27,64,121.98 USD,7806.87 USD
2015-11-28,78,97.94 USD,7638.97 USD
2015-11-29,106,126.62 USD,13422.01 USD
2015-11-30,111,111.76 USD,12405.46 USD
2015-12-01,85,124.30 USD,10565.61 USD
2015-12-02,101,110.20 USD,11130.02 USD
2015-12-03,76,131.21 USD,9972.30 USD
2015-12-04,68,114.74 USD,7802.30 USD
2015-12-05,88,114.94 USD,10114.85 USD
2015-12-06,108,157.38 USD,16997.07 USD
2015-12-07,107,139.46 USD,14921.85 USD
2015-12-08,99,126.96 USD,12569.37 USD
2015-12-09,101,139.51 USD,14090.21 USD
2015-12-10,127,126.09 USD,16013.86 USD
