This file was downloaded on March 20 2018 4:39:14 AM UTC-07:00
Keywords,leather shoes
Date Range,2015-03-19 - 2018-03-12
Buyer Country: ,AU
Category: ,Men's Shoes
Product Condition: ,Refurbished,New,Used
Listing Format: ,Auction
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-19,3,24.23 USD,72.70 USD
2015-03-20,8,30.78 USD,246.22 USD
2015-03-21,8,35.70 USD,285.58 USD
2015-03-22,16,36.20 USD,579.24 USD
2015-03-23,11,36.58 USD,402.43 USD
2015-03-24,8,33.04 USD,264.31 USD
2015-03-25,8,25.83 USD,206.61 USD
2015-03-26,9,27.15 USD,244.37 USD
2015-03-27,6,20.07 USD,120.39 USD
2015-03-28,10,17.00 USD,170.02 USD
2015-03-29,8,20.64 USD,165.13 USD
2015-03-30,9,28.26 USD,254.38 USD
2015-03-31,6,27.37 USD,164.21 USD
2015-04-01,5,23.51 USD,117.57 USD
2015-04-02,5,63.70 USD,318.49 USD
2015-04-03,12,34.60 USD,415.24 USD
2015-04-04,15,34.14 USD,512.07 USD
2015-04-05,26,40.11 USD,1042.76 USD
2015-04-06,20,30.42 USD,608.42 USD
2015-04-07,9,29.04 USD,261.33 USD
2015-04-08,8,40.90 USD,327.20 USD
2015-04-09,10,21.09 USD,210.91 USD
2015-04-10,13,34.81 USD,452.47 USD
2015-04-11,9,26.00 USD,234.04 USD
2015-04-12,12,41.13 USD,493.55 USD
2015-04-13,14,25.50 USD,357.02 USD
2015-04-14,10,30.72 USD,307.16 USD
2015-04-15,17,19.31 USD,328.33 USD
2015-04-16,11,21.67 USD,238.38 USD
2015-04-17,17,22.60 USD,384.16 USD
2015-04-18,11,22.31 USD,245.44 USD
2015-04-19,17,32.28 USD,548.79 USD
2015-04-20,13,16.25 USD,211.22 USD
2015-04-21,12,28.49 USD,341.83 USD
2015-04-22,10,45.32 USD,453.23 USD
2015-04-23,5,107.18 USD,535.89 USD
2015-04-24,11,30.64 USD,337.07 USD
2015-04-25,6,44.27 USD,265.62 USD
2015-04-26,9,28.65 USD,257.81 USD
2015-04-27,9,28.82 USD,259.35 USD
2015-04-28,3,31.59 USD,94.78 USD
2015-04-29,8,18.31 USD,146.50 USD
2015-04-30,5,38.59 USD,192.97 USD
2015-05-01,14,29.29 USD,410.03 USD
2015-05-02,6,27.72 USD,166.29 USD
2015-05-03,15,42.25 USD,633.78 USD
2015-05-04,13,23.69 USD,307.93 USD
2015-05-05,7,59.44 USD,416.06 USD
2015-05-06,5,38.26 USD,191.28 USD
2015-05-07,11,30.90 USD,339.92 USD
2015-05-08,6,27.24 USD,163.46 USD
2015-05-09,9,20.81 USD,187.33 USD
2015-05-10,12,22.22 USD,266.59 USD
2015-05-11,10,31.07 USD,310.73 USD
2015-05-12,13,23.81 USD,309.51 USD
2015-05-13,7,27.68 USD,193.76 USD
2015-05-14,9,16.23 USD,146.05 USD
2015-05-15,7,27.30 USD,191.11 USD
2015-05-16,18,28.91 USD,520.44 USD
2015-05-17,7,18.52 USD,129.61 USD
2015-05-18,4,21.14 USD,84.56 USD
2015-05-19,7,23.06 USD,161.40 USD
2015-05-20,5,36.70 USD,183.49 USD
2015-05-21,18,20.08 USD,361.51 USD
2015-05-22,11,48.94 USD,538.36 USD
2015-05-23,6,20.21 USD,121.28 USD
2015-05-24,20,25.96 USD,519.28 USD
2015-05-25,2,51.78 USD,103.55 USD
2015-05-26,7,31.30 USD,219.07 USD
2015-05-27,11,21.22 USD,233.39 USD
2015-05-28,10,24.48 USD,244.81 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,9,31.11 USD,279.95 USD
2015-05-31,12,36.20 USD,434.41 USD
2015-06-01,10,29.36 USD,293.55 USD
2015-06-02,12,34.90 USD,418.80 USD
2015-06-03,7,27.37 USD,191.58 USD
2015-06-04,11,27.85 USD,306.34 USD
2015-06-05,12,18.28 USD,219.37 USD
2015-06-06,8,17.27 USD,138.19 USD
2015-06-07,12,21.93 USD,263.16 USD
2015-06-08,9,21.17 USD,190.54 USD
2015-06-09,9,62.84 USD,565.57 USD
2015-06-10,9,28.99 USD,260.93 USD
2015-06-11,6,34.75 USD,208.50 USD
2015-06-12,12,29.19 USD,350.22 USD
2015-06-13,3,43.57 USD,130.72 USD
2015-06-14,9,27.51 USD,247.61 USD
2015-06-15,7,19.30 USD,135.07 USD
2015-06-16,12,21.62 USD,259.45 USD
2015-06-17,7,24.26 USD,169.83 USD
2015-06-18,11,19.85 USD,218.38 USD
2015-06-19,7,30.74 USD,215.18 USD
2015-06-20,13,30.35 USD,394.56 USD
2015-06-21,12,45.43 USD,545.10 USD
2015-06-22,8,20.82 USD,166.58 USD
2015-06-23,8,22.51 USD,180.09 USD
2015-06-24,13,40.66 USD,528.63 USD
2015-06-25,6,21.86 USD,131.17 USD
2015-06-26,7,31.91 USD,223.34 USD
2015-06-27,10,29.89 USD,298.85 USD
2015-06-28,8,46.42 USD,371.37 USD
2015-06-29,7,31.76 USD,222.34 USD
2015-06-30,15,19.07 USD,286.10 USD
2015-07-01,10,30.86 USD,308.55 USD
2015-07-02,8,21.42 USD,171.34 USD
2015-07-03,8,30.15 USD,241.20 USD
2015-07-04,9,30.93 USD,278.34 USD
2015-07-05,13,29.48 USD,383.24 USD
2015-07-06,5,30.67 USD,153.36 USD
2015-07-07,11,22.73 USD,250.00 USD
2015-07-08,15,27.03 USD,405.39 USD
2015-07-09,11,29.73 USD,327.08 USD
2015-07-10,8,14.11 USD,112.84 USD
2015-07-11,6,27.08 USD,162.49 USD
2015-07-12,18,29.22 USD,526.02 USD
2015-07-13,11,30.02 USD,330.18 USD
2015-07-14,6,19.81 USD,118.87 USD
2015-07-15,7,23.25 USD,162.73 USD
2015-07-16,3,27.40 USD,82.21 USD
2015-07-17,23,28.96 USD,666.15 USD
2015-07-18,9,101.06 USD,909.58 USD
2015-07-19,19,54.57 USD,1036.90 USD
2015-07-20,7,21.14 USD,147.98 USD
2015-07-21,12,24.45 USD,293.45 USD
2015-07-22,8,25.51 USD,204.11 USD
2015-07-23,8,19.36 USD,154.89 USD
2015-07-24,6,67.32 USD,403.93 USD
2015-07-25,10,36.60 USD,366.02 USD
2015-07-26,15,34.91 USD,523.61 USD
2015-07-27,11,16.50 USD,181.47 USD
2015-07-28,13,24.40 USD,317.19 USD
2015-07-29,7,8.10 USD,56.70 USD
2015-07-30,12,18.58 USD,222.94 USD
2015-07-31,7,18.86 USD,132.03 USD
2015-08-01,10,31.20 USD,311.95 USD
2015-08-02,17,27.52 USD,467.78 USD
2015-08-03,12,31.84 USD,382.06 USD
2015-08-04,6,25.75 USD,154.51 USD
2015-08-05,10,17.02 USD,170.23 USD
2015-08-06,7,12.04 USD,84.29 USD
2015-08-07,8,36.27 USD,290.17 USD
2015-08-08,19,37.31 USD,708.81 USD
2015-08-09,19,23.60 USD,448.49 USD
2015-08-10,11,37.34 USD,410.70 USD
2015-08-11,7,18.26 USD,127.82 USD
2015-08-12,6,20.60 USD,123.61 USD
2015-08-13,8,17.31 USD,138.48 USD
2015-08-14,10,32.91 USD,329.07 USD
2015-08-15,8,25.53 USD,204.23 USD
2015-08-16,11,16.79 USD,184.73 USD
2015-08-17,10,19.72 USD,197.22 USD
2015-08-18,8,18.35 USD,146.80 USD
2015-08-19,8,32.76 USD,262.09 USD
2015-08-20,4,31.14 USD,124.54 USD
2015-08-21,6,15.48 USD,92.85 USD
2015-08-22,9,20.30 USD,182.68 USD
2015-08-23,11,28.10 USD,309.13 USD
2015-08-24,7,24.25 USD,169.78 USD
2015-08-25,13,18.16 USD,236.10 USD
2015-08-26,7,26.26 USD,183.81 USD
2015-08-27,8,36.23 USD,289.81 USD
2015-08-28,8,23.48 USD,187.87 USD
2015-08-29,2,18.24 USD,36.47 USD
2015-08-30,9,20.68 USD,186.11 USD
2015-08-31,6,20.11 USD,120.64 USD
2015-09-01,9,25.99 USD,233.95 USD
2015-09-02,3,24.27 USD,72.82 USD
2015-09-03,9,18.10 USD,162.89 USD
2015-09-04,8,23.84 USD,190.69 USD
2015-09-05,14,45.13 USD,631.84 USD
2015-09-06,4,20.20 USD,80.81 USD
2015-09-07,7,40.15 USD,281.08 USD
2015-09-08,15,16.56 USD,248.44 USD
2015-09-09,11,22.47 USD,247.16 USD
2015-09-10,8,20.75 USD,165.99 USD
2015-09-11,5,20.40 USD,102.00 USD
2015-09-12,10,19.81 USD,198.11 USD
2015-09-13,6,17.28 USD,103.70 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
