This file was downloaded on March 20 2018 4:10:21 AM UTC-07:00
Keywords,shoes
Date Range,2015-03-19 - 2018-03-12
Buyer Country: ,AU
Category: ,Men's Shoes
Product Condition: ,Refurbished,Used,New
Listing Format: ,Auction
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-19,39,43.50 USD,1696.31 USD
2015-03-20,50,38.07 USD,1903.62 USD
2015-03-21,71,29.93 USD,2124.91 USD
2015-03-22,81,32.59 USD,2639.45 USD
2015-03-23,61,26.23 USD,1600.29 USD
2015-03-24,62,29.41 USD,1823.17 USD
2015-03-25,57,30.49 USD,1738.13 USD
2015-03-26,51,27.45 USD,1399.78 USD
2015-03-27,56,31.67 USD,1773.45 USD
2015-03-28,51,35.39 USD,1804.99 USD
2015-03-29,68,35.13 USD,2389.02 USD
2015-03-30,54,42.92 USD,2317.86 USD
2015-03-31,47,31.73 USD,1491.50 USD
2015-04-01,37,34.32 USD,1269.95 USD
2015-04-02,41,47.57 USD,1950.17 USD
2015-04-03,58,30.80 USD,1786.24 USD
2015-04-04,69,29.10 USD,2008.07 USD
2015-04-05,97,31.35 USD,3040.76 USD
2015-04-06,83,32.93 USD,2732.99 USD
2015-04-07,74,27.46 USD,2032.07 USD
2015-04-08,58,33.13 USD,1921.29 USD
2015-04-09,57,32.52 USD,1853.47 USD
2015-04-10,58,32.57 USD,1888.81 USD
2015-04-11,58,36.07 USD,2092.29 USD
2015-04-12,82,35.58 USD,2917.81 USD
2015-04-13,78,32.75 USD,2554.87 USD
2015-04-14,77,35.97 USD,2769.58 USD
2015-04-15,64,27.76 USD,1776.62 USD
2015-04-16,58,27.01 USD,1566.34 USD
2015-04-17,61,22.92 USD,1398.37 USD
2015-04-18,56,43.73 USD,2448.90 USD
2015-04-19,91,35.25 USD,3207.97 USD
2015-04-20,56,33.35 USD,1867.83 USD
2015-04-21,50,28.24 USD,1411.90 USD
2015-04-22,74,32.19 USD,2381.93 USD
2015-04-23,49,38.25 USD,1874.20 USD
2015-04-24,70,35.37 USD,2476.15 USD
2015-04-25,52,32.41 USD,1685.08 USD
2015-04-26,84,27.50 USD,2309.93 USD
2015-04-27,53,32.05 USD,1698.67 USD
2015-04-28,65,27.81 USD,1807.63 USD
2015-04-29,57,31.21 USD,1778.83 USD
2015-04-30,46,48.64 USD,2237.22 USD
2015-05-01,59,34.46 USD,2033.03 USD
2015-05-02,55,35.64 USD,1960.37 USD
2015-05-03,76,31.00 USD,2355.76 USD
2015-05-04,76,28.43 USD,2160.97 USD
2015-05-05,58,36.56 USD,2120.54 USD
2015-05-06,61,34.95 USD,2132.23 USD
2015-05-07,53,28.28 USD,1498.74 USD
2015-05-08,42,30.53 USD,1282.12 USD
2015-05-09,65,33.97 USD,2208.08 USD
2015-05-10,80,28.67 USD,2293.86 USD
2015-05-11,62,27.54 USD,1707.25 USD
2015-05-12,57,28.32 USD,1614.36 USD
2015-05-13,49,26.98 USD,1322.11 USD
2015-05-14,53,28.17 USD,1492.85 USD
2015-05-15,38,32.42 USD,1231.81 USD
2015-05-16,61,29.49 USD,1799.04 USD
2015-05-17,63,24.14 USD,1520.79 USD
2015-05-18,54,28.88 USD,1559.26 USD
2015-05-19,49,29.91 USD,1465.65 USD
2015-05-20,50,35.08 USD,1754.20 USD
2015-05-21,68,26.33 USD,1790.55 USD
2015-05-22,62,32.64 USD,2023.61 USD
2015-05-23,58,28.10 USD,1630.05 USD
2015-05-24,89,28.96 USD,2577.34 USD
2015-05-25,54,33.99 USD,1835.56 USD
2015-05-26,44,36.37 USD,1600.28 USD
2015-05-27,62,31.93 USD,1979.72 USD
2015-05-28,45,28.73 USD,1292.75 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,49,40.19 USD,1969.20 USD
2015-05-31,74,30.46 USD,2254.28 USD
2015-06-01,62,33.13 USD,2053.75 USD
2015-06-02,61,34.56 USD,2107.90 USD
2015-06-03,78,32.86 USD,2562.71 USD
2015-06-04,44,26.43 USD,1162.78 USD
2015-06-05,66,27.69 USD,1827.42 USD
2015-06-06,63,25.01 USD,1575.61 USD
2015-06-07,86,27.82 USD,2392.19 USD
2015-06-08,64,27.26 USD,1744.33 USD
2015-06-09,44,39.98 USD,1758.92 USD
2015-06-10,76,28.82 USD,2190.27 USD
2015-06-11,53,34.84 USD,1846.71 USD
2015-06-12,45,31.37 USD,1411.55 USD
2015-06-13,50,28.31 USD,1415.43 USD
2015-06-14,71,31.58 USD,2242.53 USD
2015-06-15,45,35.94 USD,1617.08 USD
2015-06-16,67,27.20 USD,1822.23 USD
2015-06-17,49,30.37 USD,1487.97 USD
2015-06-18,53,24.10 USD,1277.50 USD
2015-06-19,46,40.22 USD,1850.27 USD
2015-06-20,67,30.69 USD,2056.00 USD
2015-06-21,84,28.60 USD,2402.18 USD
2015-06-22,49,29.30 USD,1435.82 USD
2015-06-23,52,28.85 USD,1500.41 USD
2015-06-24,63,26.33 USD,1658.63 USD
2015-06-25,61,28.19 USD,1719.79 USD
2015-06-26,48,29.21 USD,1402.29 USD
2015-06-27,42,29.39 USD,1234.33 USD
2015-06-28,59,26.07 USD,1538.10 USD
2015-06-29,60,32.54 USD,1952.41 USD
2015-06-30,42,35.07 USD,1472.92 USD
2015-07-01,55,29.33 USD,1613.18 USD
2015-07-02,44,32.37 USD,1424.19 USD
2015-07-03,46,39.60 USD,1821.51 USD
2015-07-04,59,30.19 USD,1781.20 USD
2015-07-05,45,32.11 USD,1445.06 USD
2015-07-06,51,30.91 USD,1576.49 USD
2015-07-07,68,37.70 USD,2563.58 USD
2015-07-08,70,32.66 USD,2285.95 USD
2015-07-09,67,33.53 USD,2246.40 USD
2015-07-10,55,26.10 USD,1435.50 USD
2015-07-11,60,26.46 USD,1587.74 USD
2015-07-12,85,30.92 USD,2628.48 USD
2015-07-13,66,26.74 USD,1764.84 USD
2015-07-14,45,25.65 USD,1154.15 USD
2015-07-15,47,25.84 USD,1214.59 USD
2015-07-16,35,24.41 USD,854.37 USD
2015-07-17,58,30.50 USD,1768.90 USD
2015-07-18,61,39.76 USD,2425.36 USD
2015-07-19,92,47.33 USD,4354.42 USD
2015-07-20,52,25.63 USD,1332.67 USD
2015-07-21,45,28.23 USD,1270.43 USD
2015-07-22,60,33.49 USD,2009.56 USD
2015-07-23,50,28.84 USD,1441.98 USD
2015-07-24,60,32.45 USD,1947.20 USD
2015-07-25,52,29.71 USD,1544.91 USD
2015-07-26,73,29.60 USD,2160.71 USD
2015-07-27,49,27.49 USD,1347.19 USD
2015-07-28,64,33.65 USD,2153.58 USD
2015-07-29,55,25.90 USD,1424.43 USD
2015-07-30,53,39.19 USD,2077.31 USD
2015-07-31,44,35.19 USD,1548.22 USD
2015-08-01,64,32.14 USD,2056.98 USD
2015-08-02,69,31.80 USD,2194.49 USD
2015-08-03,69,34.87 USD,2405.93 USD
2015-08-04,54,23.36 USD,1261.63 USD
2015-08-05,55,30.12 USD,1656.46 USD
2015-08-06,56,31.11 USD,1741.99 USD
2015-08-07,30,35.89 USD,1076.83 USD
2015-08-08,61,36.92 USD,2251.87 USD
2015-08-09,79,28.98 USD,2289.64 USD
2015-08-10,60,27.00 USD,1620.25 USD
2015-08-11,59,27.69 USD,1633.91 USD
2015-08-12,66,29.80 USD,1966.79 USD
2015-08-13,31,23.51 USD,728.75 USD
2015-08-14,35,31.19 USD,1091.65 USD
2015-08-15,51,36.54 USD,1863.73 USD
2015-08-16,84,35.62 USD,2991.96 USD
2015-08-17,52,30.29 USD,1575.20 USD
2015-08-18,45,27.01 USD,1215.29 USD
2015-08-19,49,29.15 USD,1428.47 USD
2015-08-20,41,35.93 USD,1472.94 USD
2015-08-21,35,32.64 USD,1142.29 USD
2015-08-22,49,23.46 USD,1149.30 USD
2015-08-23,73,27.44 USD,2002.93 USD
2015-08-24,54,34.99 USD,1889.53 USD
2015-08-25,59,54.44 USD,3211.96 USD
2015-08-26,48,31.66 USD,1519.83 USD
2015-08-27,50,32.18 USD,1608.76 USD
2015-08-28,46,23.68 USD,1089.28 USD
2015-08-29,39,71.79 USD,2799.85 USD
2015-08-30,86,36.42 USD,3132.05 USD
2015-08-31,41,30.89 USD,1266.69 USD
2015-09-01,40,30.16 USD,1206.45 USD
2015-09-02,59,35.85 USD,2115.10 USD
2015-09-03,59,21.46 USD,1266.35 USD
2015-09-04,48,23.61 USD,1133.40 USD
2015-09-05,59,32.01 USD,1888.78 USD
2015-09-06,71,30.15 USD,2140.81 USD
2015-09-07,55,29.80 USD,1639.03 USD
2015-09-08,56,24.10 USD,1349.79 USD
2015-09-09,56,27.13 USD,1519.09 USD
2015-09-10,47,24.24 USD,1139.51 USD
2015-09-11,41,25.33 USD,1038.65 USD
