This file was downloaded on March 20 2018 4:30:20 AM UTC-07:00
Keywords,leather shoes
Date Range,2015-03-19 - 2018-03-12
Buyer Country: ,AU
Category: ,Men's Shoes
Product Condition: ,Refurbished,Used,New
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au
Transaction Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-03-19,36,63.66 USD,2291.84 USD
2015-03-20,25,61.15 USD,1528.75 USD
2015-03-21,54,71.84 USD,3879.34 USD
2015-03-22,39,75.45 USD,2942.63 USD
2015-03-23,38,73.96 USD,2810.54 USD
2015-03-24,37,56.55 USD,2092.47 USD
2015-03-25,34,67.58 USD,2297.76 USD
2015-03-26,36,58.91 USD,2120.66 USD
2015-03-27,25,68.95 USD,1723.74 USD
2015-03-28,25,64.83 USD,1620.73 USD
2015-03-29,41,69.48 USD,2848.71 USD
2015-03-30,25,69.45 USD,1736.22 USD
2015-03-31,22,60.00 USD,1319.91 USD
2015-04-01,35,73.74 USD,2580.95 USD
2015-04-02,30,67.21 USD,2016.15 USD
2015-04-03,12,58.45 USD,701.35 USD
2015-04-04,20,67.96 USD,1359.13 USD
2015-04-05,26,60.30 USD,1567.78 USD
2015-04-06,40,58.06 USD,2322.24 USD
2015-04-07,31,66.32 USD,2056.03 USD
2015-04-08,36,68.30 USD,2458.78 USD
2015-04-09,32,59.41 USD,1901.24 USD
2015-04-10,34,61.22 USD,2081.62 USD
2015-04-11,26,78.73 USD,2047.09 USD
2015-04-12,44,78.01 USD,3432.47 USD
2015-04-13,40,66.57 USD,2662.76 USD
2015-04-14,49,61.57 USD,3017.05 USD
2015-04-15,40,66.53 USD,2661.22 USD
2015-04-16,27,55.89 USD,1509.02 USD
2015-04-17,41,68.54 USD,2810.08 USD
2015-04-18,28,65.29 USD,1828.08 USD
2015-04-19,31,72.68 USD,2253.17 USD
2015-04-20,29,76.04 USD,2205.22 USD
2015-04-21,37,74.09 USD,2741.26 USD
2015-04-22,35,69.16 USD,2420.58 USD
2015-04-23,43,83.34 USD,3583.60 USD
2015-04-24,27,76.23 USD,2058.13 USD
2015-04-25,28,79.49 USD,2225.63 USD
2015-04-26,39,72.62 USD,2832.04 USD
2015-04-27,47,75.59 USD,3552.95 USD
2015-04-28,43,76.81 USD,3302.97 USD
2015-04-29,42,70.08 USD,2943.38 USD
2015-04-30,29,71.50 USD,2073.42 USD
2015-05-01,29,72.34 USD,2097.80 USD
2015-05-02,27,59.13 USD,1596.57 USD
2015-05-03,46,75.61 USD,3478.27 USD
2015-05-04,39,76.32 USD,2976.64 USD
2015-05-05,38,65.11 USD,2474.11 USD
2015-05-06,42,63.90 USD,2683.83 USD
2015-05-07,34,75.28 USD,2559.55 USD
2015-05-08,34,73.31 USD,2492.55 USD
2015-05-09,38,76.57 USD,2909.65 USD
2015-05-10,44,66.74 USD,2936.51 USD
2015-05-11,28,66.80 USD,1870.37 USD
2015-05-12,36,68.39 USD,2461.93 USD
2015-05-13,35,64.37 USD,2252.83 USD
2015-05-14,41,78.15 USD,3204.22 USD
2015-05-15,47,67.45 USD,3170.18 USD
2015-05-16,33,94.47 USD,3117.60 USD
2015-05-17,37,82.04 USD,3035.48 USD
2015-05-18,44,73.29 USD,3224.69 USD
2015-05-19,43,59.86 USD,2574.13 USD
2015-05-20,37,71.52 USD,2646.11 USD
2015-05-21,27,71.18 USD,1921.74 USD
2015-05-22,37,52.33 USD,1936.04 USD
2015-05-23,33,66.90 USD,2207.86 USD
2015-05-24,46,73.19 USD,3366.73 USD
2015-05-25,44,78.63 USD,3459.52 USD
2015-05-26,30,68.90 USD,2066.97 USD
2015-05-27,21,61.88 USD,1299.38 USD
2015-05-28,72,48.77 USD,3511.78 USD
2015-05-29,0,0.00 USD,0.00 USD
2015-05-30,38,67.81 USD,2576.76 USD
2015-05-31,32,70.08 USD,2242.55 USD
2015-06-01,34,67.20 USD,2284.83 USD
2015-06-02,37,73.50 USD,2719.35 USD
2015-06-03,24,65.95 USD,1582.76 USD
2015-06-04,36,62.36 USD,2244.92 USD
2015-06-05,31,60.91 USD,1888.08 USD
2015-06-06,26,71.80 USD,1866.78 USD
2015-06-07,34,63.78 USD,2168.45 USD
2015-06-08,44,69.30 USD,3049.33 USD
2015-06-09,19,58.41 USD,1109.81 USD
2015-06-10,35,69.51 USD,2432.90 USD
2015-06-11,45,76.67 USD,3450.34 USD
2015-06-12,33,67.44 USD,2225.62 USD
2015-06-13,33,69.14 USD,2281.58 USD
2015-06-14,41,70.08 USD,2873.20 USD
2015-06-15,39,67.81 USD,2644.63 USD
2015-06-16,38,69.11 USD,2626.32 USD
2015-06-17,40,58.69 USD,2347.75 USD
2015-06-18,52,68.73 USD,3574.13 USD
2015-06-19,45,62.65 USD,2819.45 USD
2015-06-20,55,67.61 USD,3718.63 USD
2015-06-21,57,64.25 USD,3662.26 USD
2015-06-22,41,77.60 USD,3181.51 USD
2015-06-23,37,69.29 USD,2563.71 USD
2015-06-24,39,70.21 USD,2738.07 USD
2015-06-25,25,70.17 USD,1754.20 USD
2015-06-26,30,78.60 USD,2357.91 USD
2015-06-27,48,63.78 USD,3061.24 USD
2015-06-28,34,59.19 USD,2012.49 USD
2015-06-29,41,71.54 USD,2933.08 USD
2015-06-30,44,61.40 USD,2701.58 USD
2015-07-01,50,63.47 USD,3173.61 USD
2015-07-02,28,57.39 USD,1606.93 USD
2015-07-03,41,61.58 USD,2524.72 USD
2015-07-04,40,62.00 USD,2479.90 USD
2015-07-05,39,65.00 USD,2534.84 USD
2015-07-06,40,69.82 USD,2792.91 USD
2015-07-07,42,63.44 USD,2664.44 USD
2015-07-08,38,53.64 USD,2038.37 USD
2015-07-09,46,71.13 USD,3271.89 USD
2015-07-10,32,68.65 USD,2196.75 USD
2015-07-11,38,57.22 USD,2174.37 USD
2015-07-12,57,60.96 USD,3474.83 USD
2015-07-13,68,62.88 USD,4276.11 USD
2015-07-14,60,60.05 USD,3603.27 USD
2015-07-15,44,59.22 USD,2605.48 USD
2015-07-16,62,62.21 USD,3856.81 USD
2015-07-17,52,65.83 USD,3423.03 USD
2015-07-18,67,61.69 USD,4133.39 USD
2015-07-19,55,71.11 USD,3910.80 USD
2015-07-20,52,62.04 USD,3226.05 USD
2015-07-21,38,63.49 USD,2412.48 USD
2015-07-22,50,65.69 USD,3284.26 USD
2015-07-23,38,69.21 USD,2630.05 USD
2015-07-24,32,63.24 USD,2023.75 USD
2015-07-25,38,57.33 USD,2178.57 USD
2015-07-26,45,65.41 USD,2943.63 USD
2015-07-27,51,63.00 USD,3213.16 USD
2015-07-28,42,64.55 USD,2711.02 USD
2015-07-29,36,67.83 USD,2441.88 USD
2015-07-30,40,70.17 USD,2806.90 USD
2015-07-31,29,50.19 USD,1455.63 USD
2015-08-01,33,64.31 USD,2122.16 USD
2015-08-02,51,65.11 USD,3320.41 USD
2015-08-03,47,66.38 USD,3120.03 USD
2015-08-04,45,72.23 USD,3250.20 USD
2015-08-05,44,68.72 USD,3023.89 USD
2015-08-06,37,69.47 USD,2570.43 USD
2015-08-07,41,58.83 USD,2411.91 USD
2015-08-08,37,68.92 USD,2550.03 USD
2015-08-09,53,65.94 USD,3494.73 USD
2015-08-10,40,66.32 USD,2652.84 USD
2015-08-11,42,59.27 USD,2489.30 USD
2015-08-12,47,61.97 USD,2912.69 USD
2015-08-13,39,60.71 USD,2367.63 USD
2015-08-14,36,63.65 USD,2291.36 USD
2015-08-15,31,65.75 USD,2038.39 USD
2015-08-16,39,70.95 USD,2767.19 USD
2015-08-17,57,66.52 USD,3791.69 USD
2015-08-18,41,82.85 USD,3396.77 USD
2015-08-19,41,72.51 USD,2972.86 USD
2015-08-20,24,69.50 USD,1667.92 USD
2015-08-21,32,71.41 USD,2285.02 USD
2015-08-22,23,65.17 USD,1498.84 USD
2015-08-23,47,62.42 USD,2933.84 USD
2015-08-24,48,68.38 USD,3282.16 USD
2015-08-25,37,66.79 USD,2471.15 USD
2015-08-26,32,66.86 USD,2139.38 USD
2015-08-27,38,59.86 USD,2274.61 USD
2015-08-28,24,63.31 USD,1519.52 USD
2015-08-29,35,65.76 USD,2301.69 USD
2015-08-30,37,69.24 USD,2561.85 USD
2015-08-31,37,67.79 USD,2508.17 USD
2015-09-01,30,62.08 USD,1862.48 USD
2015-09-02,35,74.05 USD,2591.79 USD
2015-09-03,51,65.07 USD,3318.78 USD
2015-09-04,21,94.75 USD,1989.76 USD
2015-09-05,21,61.56 USD,1292.79 USD
2015-09-06,35,67.17 USD,2351.09 USD
2015-09-07,32,67.55 USD,2161.44 USD
2015-09-08,29,60.23 USD,1746.62 USD
2015-09-09,43,58.59 USD,2519.49 USD
2015-09-10,33,62.84 USD,2073.60 USD
2015-09-11,23,74.10 USD,1704.29 USD
2015-09-12,16,53.37 USD,853.97 USD
2015-09-13,38,63.75 USD,2422.38 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
