,date,shoes,shoes_sales,shoes_weighting,tops,tops_sales,tops_weighting,dress,dress_sales,dress_weighting,socks,socks_sales,socks_weighting
0,2016-02-16,79.17,6650.37,84.00113679424024,18.78,5503.29,293.0399361022364,37.88,909.02,23.997360084477293,16.36,3371.18,206.06234718826406
1,2016-02-17,72.85,6994.05,96.00617707618395,16.58,4145.68,250.04101326899882,33.7,8120.5,240.96439169139464,16.28,2767.29,169.9809582309582
2,2016-02-18,71.77,3875.33,53.99651665041104,19.63,4456.94,227.047376464595,38.23,8104.46,211.99215275961288,16.64,2779.47,167.03545673076923
3,2016-02-19,79.06,5376.06,67.999747027574,17.02,3863.07,226.9723854289072,36.18,7996.53,221.0207296849088,15.72,2971.34,189.01653944020356
4,2016-02-20,71.21,5198.56,73.00322988344335,18.99,4290.98,225.95997893628225,32.67,7546.96,231.00581573308844,16.25,2307.1,141.9753846153846
5,2016-02-21,77.94,7247.97,92.99422632794457,18.61,4986.98,267.9731327243417,32.51,12645.99,388.9876960935097,14.62,2222.5,152.01778385772914
6,2016-02-22,82.88,6381.55,76.99746621621622,19.01,4885.53,256.99789584429243,32.79,2819.75,85.99420555047271,14.28,2555.4,178.9495798319328
7,2016-02-23,75.51,7626.46,100.9993378360482,18.03,3947.56,218.94398225180254,33.77,13506.7,399.96150429375183,14.77,2539.91,171.96411645226812
8,2016-02-24,74.21,6233.97,84.00444684004852,17.9,4332.19,242.0217877094972,34.73,6702.84,192.99856032248778,15.35,2762.65,179.97719869706842
9,2016-02-25,80.11,5527.32,68.9966296342529,21.08,5207.34,247.02751423149908,34.34,8310.67,242.01135701805472,15.71,2969.88,189.04392106938255
10,2016-02-26,86.34,5180.47,60.00081074820477,18.42,4824.96,261.94136807817586,33.31,6960.94,208.9744821374962,15.93,3153.17,197.93910860012556
11,2016-02-27,81.61,7181.25,87.994731037863,19.12,4110.84,215.0020920502092,33.31,7428.46,223.00990693485437,16.07,1977.1,123.03049159925325
12,2016-02-28,78.04,5618.59,71.99628395694515,18.82,5551.61,294.9845908607864,38.67,8855.11,228.99172485130592,16.94,2727.78,161.02597402597402
13,2016-02-29,73.1,4751.55,65.00068399452805,17.96,4345.71,241.96603563474386,37.82,8433.45,222.98915917503967,13.91,2699.15,194.04385334291877
14,2016-03-01,71.13,4410.0,61.99915647406158,20.72,5014.03,241.98986486486487,33.57,7990.82,238.0345546619005,15.1,2476.24,163.98940397350992
15,2016-03-02,75.76,7879.06,104.00026399155227,18.05,4549.37,252.04265927977838,31.03,7231.01,233.0328714147599,16.43,3056.82,186.05112598904444
16,2016-03-03,77.36,5260.51,68.00038779731128,20.69,4428.51,214.0410826486225,33.68,1684.06,50.00178147268409,15.18,2610.67,171.98089591567853
17,2016-03-04,73.91,5395.28,72.99797050466783,16.93,4384.28,258.9651506202008,35.91,14365.06,400.0295182400446,17.29,2939.83,170.03065355696936
18,2016-03-05,82.35,7411.06,89.994656952034,16.98,4176.05,245.93934040047114,38.7,2206.18,57.00723514211885,15.52,2281.95,147.03286082474227
19,2016-03-06,84.64,7025.16,83.00047258979205,19.02,4375.72,230.05888538380654,33.86,13104.34,387.0153573538098,15.91,2419.01,152.0433689503457
20,2016-03-07,81.63,7754.9,95.0006125199069,17.99,4586.64,254.95497498610342,34.68,8045.59,231.9950980392157,16.36,2208.87,135.01650366748166
21,2016-03-08,78.18,5159.7,65.9976976208749,20.35,5249.52,257.96167076167075,32.38,8159.17,251.98177887584927,17.86,2625.64,147.01231802911533
22,2016-03-09,81.07,5350.46,65.99802639694092,19.06,4669.27,244.9774396642183,36.9,8597.92,233.0059620596206,16.09,3120.69,193.95214418893724
23,2016-03-10,77.16,6790.28,88.0025920165889,19.16,4866.41,253.98799582463465,37.49,3186.37,84.9925313416911,17.15,2263.85,132.00291545189506
24,2016-03-11,81.54,5789.21,70.99840569045867,18.93,4050.0,213.946117274168,39.32,12308.04,313.02238046795526,15.95,2790.92,174.9793103448276
25,2016-03-12,85.98,6362.62,74.00116306117701,18.22,4663.87,255.97530186608125,38.17,8282.34,216.985590778098,15.2,2387.05,157.04276315789477
