model,description,metric,metric_code,value,rating,link
SSE-AD-5418678,Rio - 2013 Kia Rio Si Auto,price,price,10999,1.96,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5418678/?Cr=457
SSE-AD-5418678,Rio - 2013 Kia Rio Si Auto,milage,milage,17000,1.96,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5418678/?Cr=457
SSE-AD-5418678,Rio - 2013 Kia Rio Si Auto,age,age,5,1.96,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5418678/?Cr=457
SSE-AD-5382084,Rio - 2016 Kia Rio S Manual,price,price,13500,1.92,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5382084/?Cr=321
SSE-AD-5382084,Rio - 2016 Kia Rio S Manual,milage,milage,4672,1.92,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5382084/?Cr=321
SSE-AD-5382084,Rio - 2016 Kia Rio S Manual,age,age,2,1.92,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5382084/?Cr=321
OAG-AD-15969347,Rio - 2014 Kia Rio S Manual,price,price,10200,1.90,https://www.carsales.com.au/dealer/details/Kia-Rio-2014/OAG-AD-15969347/?Cr=20
OAG-AD-15969347,Rio - 2014 Kia Rio S Manual,milage,milage,37211,1.90,https://www.carsales.com.au/dealer/details/Kia-Rio-2014/OAG-AD-15969347/?Cr=20
OAG-AD-15969347,Rio - 2014 Kia Rio S Manual,age,age,4,1.90,https://www.carsales.com.au/dealer/details/Kia-Rio-2014/OAG-AD-15969347/?Cr=20
SSE-AD-5440085,Rio - 2016 Kia Rio S-Premium Manual,price,price,10000,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5440085/?Cr=437
SSE-AD-5440085,Rio - 2016 Kia Rio S-Premium Manual,milage,milage,57000,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5440085/?Cr=437
SSE-AD-5440085,Rio - 2016 Kia Rio S-Premium Manual,age,age,2,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5440085/?Cr=437
SSE-AD-5444356,Rio - 2014 Kia Rio SE Manual,price,price,9900,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5444356/?Cr=348
SSE-AD-5444356,Rio - 2014 Kia Rio SE Manual,milage,milage,44200,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5444356/?Cr=348
SSE-AD-5444356,Rio - 2014 Kia Rio SE Manual,age,age,4,1.80,https://www.carsales.com.au/private/details/Kia-Rio-2014/SSE-AD-5444356/?Cr=348
OAG-AD-15998004,Rio - 2015 Kia Rio S Auto,price,price,9990,1.76,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-15998004/?Cr=448
OAG-AD-15998004,Rio - 2015 Kia Rio S Auto,milage,milage,51016,1.76,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-15998004/?Cr=448
OAG-AD-15998004,Rio - 2015 Kia Rio S Auto,age,age,3,1.76,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-15998004/?Cr=448
SSE-AD-5317721,Rio - 2009 Kia Rio LX Manual,price,price,3999,1.73,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5317721/?Cr=468
SSE-AD-5317721,Rio - 2009 Kia Rio LX Manual,milage,milage,92964,1.73,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5317721/?Cr=468
SSE-AD-5317721,Rio - 2009 Kia Rio LX Manual,age,age,9,1.73,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5317721/?Cr=468
SSE-AD-5447363,Rio - 2007 Kia Rio Manual,price,price,5000,1.72,https://www.carsales.com.au/private/details/Kia-Rio-2007/SSE-AD-5447363/?Cr=211
SSE-AD-5447363,Rio - 2007 Kia Rio Manual,milage,milage,65000,1.72,https://www.carsales.com.au/private/details/Kia-Rio-2007/SSE-AD-5447363/?Cr=211
SSE-AD-5447363,Rio - 2007 Kia Rio Manual,age,age,11,1.72,https://www.carsales.com.au/private/details/Kia-Rio-2007/SSE-AD-5447363/?Cr=211
OAG-AD-16044378,Rio - 2011 Kia Rio S Manual,price,price,6890,1.71,https://www.carsales.com.au/dealer/details/Kia-Rio-2011/OAG-AD-16044378/?Cr=386
OAG-AD-16044378,Rio - 2011 Kia Rio S Manual,milage,milage,67305,1.71,https://www.carsales.com.au/dealer/details/Kia-Rio-2011/OAG-AD-16044378/?Cr=386
OAG-AD-16044378,Rio - 2011 Kia Rio S Manual,age,age,7,1.71,https://www.carsales.com.au/dealer/details/Kia-Rio-2011/OAG-AD-16044378/?Cr=386
SSE-AD-5473961,Rio - 2016 Kia Rio S Auto,price,price,13450,1.68,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5473961/?Cr=249
SSE-AD-5473961,Rio - 2016 Kia Rio S Auto,milage,milage,12070,1.68,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5473961/?Cr=249
SSE-AD-5473961,Rio - 2016 Kia Rio S Auto,age,age,2,1.68,https://www.carsales.com.au/private/details/Kia-Rio-2016/SSE-AD-5473961/?Cr=249
OAG-AD-15916512,Rio - 2011 Kia Rio S Manual,price,price,6990,1.66,https://www.carsales.com.au/dealer/details/Kia-Rio-2011/OAG-AD-15916512/?Cr=168
OAG-AD-15916512,Rio - 2011 Kia Rio S Manual,milage,milage,67404,1.66,https://www.carsales.com.au/dealer/details/Kia-Rio-2011/OAG-AD-15916512/?Cr=168
OAG-AD-15916512,Rio - 2011 Kia Rio S Manual,age,age,7,1.66,https://www.carsales.com.au/dealer/details/Kia-Rio-2011/OAG-AD-15916512/?Cr=168
SSE-AD-5417912,Rio - 2013 Kia Rio S Manual,price,price,9950,1.62,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5417912/?Cr=50
SSE-AD-5417912,Rio - 2013 Kia Rio S Manual,milage,milage,41349,1.62,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5417912/?Cr=50
SSE-AD-5417912,Rio - 2013 Kia Rio S Manual,age,age,5,1.62,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5417912/?Cr=50
OAG-AD-16011818,Rio - 2016 Kia Rio S Auto,price,price,9990,1.61,https://www.carsales.com.au/dealer/details/Kia-Rio-2016/OAG-AD-16011818/?Cr=376
OAG-AD-16011818,Rio - 2016 Kia Rio S Auto,milage,milage,62558,1.61,https://www.carsales.com.au/dealer/details/Kia-Rio-2016/OAG-AD-16011818/?Cr=376
OAG-AD-16011818,Rio - 2016 Kia Rio S Auto,age,age,2,1.61,https://www.carsales.com.au/dealer/details/Kia-Rio-2016/OAG-AD-16011818/?Cr=376
OAG-AD-15758211,Rio - 2018 Kia Rio S Manual,price,price,15555,1.58,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15758211/?Cr=59
OAG-AD-15758211,Rio - 2018 Kia Rio S Manual,milage,milage,10,1.58,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15758211/?Cr=59
OAG-AD-15758211,Rio - 2018 Kia Rio S Manual,age,age,0,1.58,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15758211/?Cr=59
OAG-AD-16046499,Rio - 2015 Kia Rio S Auto,price,price,10990,1.53,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-16046499/?Cr=304
OAG-AD-16046499,Rio - 2015 Kia Rio S Auto,milage,milage,43562,1.53,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-16046499/?Cr=304
OAG-AD-16046499,Rio - 2015 Kia Rio S Auto,age,age,3,1.53,https://www.carsales.com.au/dealer/details/Kia-Rio-2015/OAG-AD-16046499/?Cr=304
OAG-AD-16059159,Rio - 2016 Kia Rio S-Premium Auto,price,price,12884,1.52,https://www.carsales.com.au/dealer/details/Kia-Rio-2016/OAG-AD-16059159/?Cr=64
OAG-AD-16059159,Rio - 2016 Kia Rio S-Premium Auto,milage,milage,24667,1.52,https://www.carsales.com.au/dealer/details/Kia-Rio-2016/OAG-AD-16059159/?Cr=64
OAG-AD-16059159,Rio - 2016 Kia Rio S-Premium Auto,age,age,2,1.52,https://www.carsales.com.au/dealer/details/Kia-Rio-2016/OAG-AD-16059159/?Cr=64
SSE-AD-5323457,Rio - 2013 Kia Rio S Manual,price,price,10500,1.50,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5323457/?Cr=240
SSE-AD-5323457,Rio - 2013 Kia Rio S Manual,milage,milage,37037,1.50,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5323457/?Cr=240
SSE-AD-5323457,Rio - 2013 Kia Rio S Manual,age,age,5,1.50,https://www.carsales.com.au/private/details/Kia-Rio-2013/SSE-AD-5323457/?Cr=240
OAG-AD-16030515,Rio - 2014 Kia Rio S Auto,price,price,9990,1.49,https://www.carsales.com.au/dealer/details/Kia-Rio-2014/OAG-AD-16030515/?Cr=94
OAG-AD-16030515,Rio - 2014 Kia Rio S Auto,milage,milage,51589,1.49,https://www.carsales.com.au/dealer/details/Kia-Rio-2014/OAG-AD-16030515/?Cr=94
OAG-AD-16030515,Rio - 2014 Kia Rio S Auto,age,age,4,1.49,https://www.carsales.com.au/dealer/details/Kia-Rio-2014/OAG-AD-16030515/?Cr=94
SSE-AD-5474396,Rio - 2010 Kia Rio Sports Special Edition Auto,price,price,9950,1.48,https://www.carsales.com.au/private/details/Kia-Rio-2010/SSE-AD-5474396/?Cr=60
SSE-AD-5474396,Rio - 2010 Kia Rio Sports Special Edition Auto,milage,milage,24045,1.48,https://www.carsales.com.au/private/details/Kia-Rio-2010/SSE-AD-5474396/?Cr=60
SSE-AD-5474396,Rio - 2010 Kia Rio Sports Special Edition Auto,age,age,8,1.48,https://www.carsales.com.au/private/details/Kia-Rio-2010/SSE-AD-5474396/?Cr=60
OAG-AD-16067580,Rio - 2013 Kia Rio S Auto,price,price,11970,1.47,https://www.carsales.com.au/dealer/details/Kia-Rio-2013/OAG-AD-16067580/?Cr=24
OAG-AD-16067580,Rio - 2013 Kia Rio S Auto,milage,milage,17437,1.47,https://www.carsales.com.au/dealer/details/Kia-Rio-2013/OAG-AD-16067580/?Cr=24
OAG-AD-16067580,Rio - 2013 Kia Rio S Auto,age,age,5,1.47,https://www.carsales.com.au/dealer/details/Kia-Rio-2013/OAG-AD-16067580/?Cr=24
OAG-AD-15985036,Rio - 2018 Kia Rio S Auto,price,price,15775,1.47,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15985036/?Cr=114
OAG-AD-15985036,Rio - 2018 Kia Rio S Auto,milage,milage,6,1.47,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15985036/?Cr=114
OAG-AD-15985036,Rio - 2018 Kia Rio S Auto,age,age,0,1.47,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15985036/?Cr=114
OAG-AD-16010417,Rio - 2007 Kia Rio EX Manual,price,price,4900,1.47,https://www.carsales.com.au/dealer/details/Kia-Rio-2007/OAG-AD-16010417/?Cr=234
OAG-AD-16010417,Rio - 2007 Kia Rio EX Manual,milage,milage,73536,1.47,https://www.carsales.com.au/dealer/details/Kia-Rio-2007/OAG-AD-16010417/?Cr=234
OAG-AD-16010417,Rio - 2007 Kia Rio EX Manual,age,age,11,1.47,https://www.carsales.com.au/dealer/details/Kia-Rio-2007/OAG-AD-16010417/?Cr=234
OAG-AD-15914785,Rio - 2016 Kia Rio S Auto,price,price,11990,1.46,https://www.carsales.com.au/dealer/details/Kia-Rio-2016/OAG-AD-15914785/?Cr=215
OAG-AD-15914785,Rio - 2016 Kia Rio S Auto,milage,milage,38929,1.46,https://www.carsales.com.au/dealer/details/Kia-Rio-2016/OAG-AD-15914785/?Cr=215
OAG-AD-15914785,Rio - 2016 Kia Rio S Auto,age,age,2,1.46,https://www.carsales.com.au/dealer/details/Kia-Rio-2016/OAG-AD-15914785/?Cr=215
SSE-AD-5426954,Rio - 2017 Kia Rio S Auto,price,price,14550,1.45,https://www.carsales.com.au/private/details/Kia-Rio-2017/SSE-AD-5426954/?Cr=198
SSE-AD-5426954,Rio - 2017 Kia Rio S Auto,milage,milage,10500,1.45,https://www.carsales.com.au/private/details/Kia-Rio-2017/SSE-AD-5426954/?Cr=198
SSE-AD-5426954,Rio - 2017 Kia Rio S Auto,age,age,1,1.45,https://www.carsales.com.au/private/details/Kia-Rio-2017/SSE-AD-5426954/?Cr=198
SSE-AD-5195682,Rio - 2009 Kia Rio LX Manual,price,price,4999,1.45,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5195682/?Cr=382
SSE-AD-5195682,Rio - 2009 Kia Rio LX Manual,milage,milage,87000,1.45,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5195682/?Cr=382
SSE-AD-5195682,Rio - 2009 Kia Rio LX Manual,age,age,9,1.45,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5195682/?Cr=382
SSE-AD-5319017,Rio - 2009 Kia Rio LX Manual,price,price,4999,1.44,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5319017/?Cr=407
SSE-AD-5319017,Rio - 2009 Kia Rio LX Manual,milage,milage,87249,1.44,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5319017/?Cr=407
SSE-AD-5319017,Rio - 2009 Kia Rio LX Manual,age,age,9,1.44,https://www.carsales.com.au/private/details/Kia-Rio-2009/SSE-AD-5319017/?Cr=407
OAG-AD-15704626,Rio - 2018 Kia Rio S Auto,price,price,15873,1.42,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15704626/?Cr=109
OAG-AD-15704626,Rio - 2018 Kia Rio S Auto,milage,milage,53,1.42,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15704626/?Cr=109
OAG-AD-15704626,Rio - 2018 Kia Rio S Auto,age,age,0,1.42,https://www.carsales.com.au/demo/details/Kia-Rio-2018/OAG-AD-15704626/?Cr=109
