date,Ethereum Classic,isPartial
2017-11-22,13,False
2017-11-23,17,False
2017-11-24,17,False
2017-11-25,43,False
2017-11-26,22,False
2017-11-27,46,False
2017-11-28,100,False
2017-11-29,47,False
2017-11-30,31,False
2017-12-01,42,False
2017-12-02,31,False
2017-12-03,26,False
2017-12-04,23,False
2017-12-05,32,False
2017-12-06,19,False
2017-12-07,42,False
2017-12-08,30,False
2017-12-09,48,False
2017-12-10,39,False
2017-12-11,47,False
2017-12-12,61,False
2017-12-13,56,False
2017-12-14,49,False
2017-12-15,29,False
2017-12-16,64,False
2017-12-17,43,False
2017-12-18,45,False
2017-12-19,48,False
2017-12-20,43,False
