date,Einsteinium,isPartial
2017-11-22,5,False
2017-11-23,1,False
2017-11-24,4,False
2017-11-25,10,False
2017-11-26,34,False
2017-11-27,15,False
2017-11-28,10,False
2017-11-29,10,False
2017-11-30,8,False
2017-12-01,26,False
2017-12-02,48,False
2017-12-03,21,False
2017-12-04,15,False
2017-12-05,18,False
2017-12-06,83,False
2017-12-07,58,False
2017-12-08,40,False
2017-12-09,29,False
2017-12-10,35,False
2017-12-11,19,False
2017-12-12,20,False
2017-12-13,23,False
2017-12-14,19,False
2017-12-15,14,False
2017-12-16,18,False
2017-12-17,22,False
2017-12-18,41,False
2017-12-19,100,False
2017-12-20,34,False
