date,NEM,isPartial
2017-11-22,82,False
2017-11-23,77,False
2017-11-24,84,False
2017-11-25,75,False
2017-11-26,82,False
2017-11-27,80,False
2017-11-28,80,False
2017-11-29,80,False
2017-11-30,72,False
2017-12-01,79,False
2017-12-02,83,False
2017-12-03,80,False
2017-12-04,74,False
2017-12-05,74,False
2017-12-06,76,False
2017-12-07,78,False
2017-12-08,91,False
2017-12-09,100,False
2017-12-10,75,False
2017-12-11,90,False
2017-12-12,93,False
2017-12-13,83,False
2017-12-14,88,False
2017-12-15,91,False
2017-12-16,96,False
2017-12-17,86,False
2017-12-18,81,False
2017-12-19,93,False
