date,Shift,isPartial
2017-11-22,87,False
2017-11-23,74,False
2017-11-24,77,False
2017-11-25,81,False
2017-11-26,84,False
2017-11-27,100,False
2017-11-28,98,False
2017-11-29,94,False
2017-11-30,91,False
2017-12-01,85,False
2017-12-02,91,False
2017-12-03,91,False
2017-12-04,100,False
2017-12-05,94,False
2017-12-06,93,False
2017-12-07,96,False
2017-12-08,96,False
2017-12-09,80,False
2017-12-10,87,False
2017-12-11,94,False
2017-12-12,94,False
2017-12-13,89,False
2017-12-14,95,False
2017-12-15,86,False
2017-12-16,73,False
2017-12-17,79,False
2017-12-18,82,False
2017-12-19,86,False
