date,EURSEK,isPartial
2012-12-30,55,False
2013-01-06,20,False
2013-01-13,39,False
2013-01-20,19,False
2013-01-27,19,False
2013-02-03,86,False
2013-02-10,20,False
2013-02-17,19,False
2013-02-24,38,False
2013-03-03,38,False
2013-03-10,19,False
2013-03-17,28,False
2013-03-24,39,False
2013-03-31,19,False
2013-04-07,19,False
2013-04-14,28,False
2013-04-21,19,False
2013-04-28,48,False
2013-05-05,58,False
2013-05-12,37,False
2013-05-19,18,False
2013-05-26,38,False
2013-06-02,0,False
2013-06-09,19,False
2013-06-16,19,False
2013-06-23,28,False
2013-06-30,29,False
2013-07-07,38,False
2013-07-14,59,False
2013-07-21,19,False
2013-07-28,39,False
2013-08-04,19,False
2013-08-11,19,False
2013-08-18,0,False
2013-08-25,18,False
2013-09-01,18,False
2013-09-08,54,False
2013-09-15,36,False
2013-09-22,18,False
2013-09-29,27,False
2013-10-06,36,False
2013-10-13,72,False
2013-10-20,35,False
2013-10-27,0,False
2013-11-03,52,False
2013-11-10,53,False
2013-11-17,17,False
2013-11-24,17,False
2013-12-01,17,False
2013-12-08,17,False
2013-12-15,18,False
2013-12-22,0,False
2013-12-29,19,False
2014-01-05,34,False
2014-01-12,50,False
2014-01-19,17,False
2014-01-26,16,False
2014-02-02,34,False
2014-02-09,16,False
2014-02-16,24,False
2014-02-23,33,False
2014-03-02,25,False
2014-03-09,25,False
2014-03-16,33,False
2014-03-23,33,False
2014-03-30,16,False
2014-04-06,33,False
2014-04-13,34,False
2014-04-20,42,False
2014-04-27,25,False
2014-05-04,57,False
2014-05-11,24,False
2014-05-18,26,False
2014-05-25,36,False
2014-06-01,27,False
2014-06-08,37,False
2014-06-15,18,False
2014-06-22,37,False
2014-06-29,28,False
2014-07-06,18,False
2014-07-13,37,False
2014-07-20,47,False
2014-07-27,38,False
2014-08-03,29,False
2014-08-10,18,False
2014-08-17,18,False
2014-08-24,27,False
2014-08-31,35,False
2014-09-07,17,False
2014-09-14,70,False
2014-09-21,17,False
2014-09-28,26,False
2014-10-05,0,False
2014-10-12,51,False
