date,Litecoin,isPartial
2017-11-22,3,False
2017-11-23,3,False
2017-11-24,3,False
2017-11-25,6,False
2017-11-26,6,False
2017-11-27,9,False
2017-11-28,9,False
2017-11-29,15,False
2017-11-30,10,False
2017-12-01,9,False
2017-12-02,9,False
2017-12-03,8,False
2017-12-04,8,False
2017-12-05,8,False
2017-12-06,10,False
2017-12-07,15,False
2017-12-08,22,False
2017-12-09,32,False
2017-12-10,17,False
2017-12-11,34,False
2017-12-12,100,False
2017-12-13,59,False
2017-12-14,41,False
2017-12-15,31,False
2017-12-16,23,False
2017-12-17,22,False
2017-12-18,22,False
2017-12-19,27,False
