date,Bitcore,isPartial
2017-11-22,55,False
2017-11-23,28,False
2017-11-24,66,False
2017-11-25,21,False
2017-11-26,92,False
2017-11-27,53,False
2017-11-28,18,False
2017-11-29,100,False
2017-11-30,27,False
2017-12-01,58,False
2017-12-02,63,False
2017-12-03,52,False
2017-12-04,89,False
2017-12-05,72,False
2017-12-06,28,False
2017-12-07,93,False
2017-12-08,48,False
2017-12-09,53,False
2017-12-10,72,False
2017-12-11,27,False
2017-12-12,81,False
2017-12-13,64,False
2017-12-14,84,False
2017-12-15,38,False
2017-12-16,43,False
2017-12-17,42,False
2017-12-18,55,False
2017-12-19,55,False
