date,Rise,isPartial
2017-11-22,82,False
2017-11-23,82,False
2017-11-24,77,False
2017-11-25,87,False
2017-11-26,85,False
2017-11-27,85,False
2017-11-28,86,False
2017-11-29,83,False
2017-11-30,86,False
2017-12-01,85,False
2017-12-02,87,False
2017-12-03,100,False
2017-12-04,86,False
2017-12-05,83,False
2017-12-06,86,False
2017-12-07,83,False
2017-12-08,87,False
2017-12-09,81,False
2017-12-10,86,False
2017-12-11,82,False
2017-12-12,86,False
2017-12-13,79,False
2017-12-14,88,False
2017-12-15,78,False
2017-12-16,79,False
2017-12-17,83,False
2017-12-18,76,False
2017-12-19,76,False
