date,LEOcoin,isPartial
2017-11-22,28,False
2017-11-23,0,False
2017-11-24,29,False
2017-11-25,65,False
2017-11-26,0,False
2017-11-27,55,False
2017-11-28,56,False
2017-11-29,0,False
2017-11-30,0,False
2017-12-01,0,False
2017-12-02,0,False
2017-12-03,32,False
2017-12-04,0,False
2017-12-05,0,False
2017-12-06,0,False
2017-12-07,87,False
2017-12-08,0,False
2017-12-09,33,False
2017-12-10,96,False
2017-12-11,0,False
2017-12-12,28,False
2017-12-13,28,False
2017-12-14,29,False
2017-12-15,89,False
2017-12-16,100,False
2017-12-17,33,False
2017-12-18,0,False
2017-12-19,29,False
