date,Neblio,isPartial
2017-11-22,87,False
2017-11-23,22,False
2017-11-24,22,False
2017-11-25,25,False
2017-11-26,24,False
2017-11-27,21,False
2017-11-28,21,False
2017-11-29,22,False
2017-11-30,86,False
2017-12-01,46,False
2017-12-02,50,False
2017-12-03,49,False
2017-12-04,64,False
2017-12-05,64,False
2017-12-06,87,False
2017-12-07,88,False
2017-12-08,23,False
2017-12-09,100,False
2017-12-10,25,False
2017-12-11,0,False
2017-12-12,43,False
2017-12-13,87,False
2017-12-14,22,False
2017-12-15,68,False
2017-12-16,25,False
2017-12-17,25,False
2017-12-18,22,False
2017-12-19,66,False
