date,Namecoin,isPartial
2017-11-22,0,False
2017-11-23,10,False
2017-11-24,0,False
2017-11-25,23,False
2017-11-26,11,False
2017-11-27,29,False
2017-11-28,10,False
2017-11-29,20,False
2017-11-30,59,False
2017-12-01,21,False
2017-12-02,34,False
2017-12-03,22,False
2017-12-04,48,False
2017-12-05,10,False
2017-12-06,20,False
2017-12-07,20,False
2017-12-08,31,False
2017-12-09,46,False
2017-12-10,33,False
2017-12-11,39,False
2017-12-12,78,False
2017-12-13,49,False
2017-12-14,41,False
2017-12-15,10,False
2017-12-16,23,False
2017-12-17,45,False
2017-12-18,100,False
2017-12-19,0,False
