date,AUDJPY,isPartial
2012-12-30,32,False
2013-01-06,19,False
2013-01-13,67,False
2013-01-20,9,False
2013-01-27,9,False
2013-02-03,19,False
2013-02-10,19,False
2013-02-17,37,False
2013-02-24,37,False
2013-03-03,37,False
2013-03-10,27,False
2013-03-17,27,False
2013-03-24,47,False
2013-03-31,37,False
2013-04-07,45,False
2013-04-14,37,False
2013-04-21,19,False
2013-04-28,9,False
2013-05-05,28,False
2013-05-12,27,False
2013-05-19,28,False
2013-05-26,46,False
2013-06-02,100,False
2013-06-09,0,False
2013-06-16,64,False
2013-06-23,18,False
2013-06-30,38,False
2013-07-07,29,False
2013-07-14,47,False
2013-07-21,19,False
2013-07-28,37,False
2013-08-04,57,False
2013-08-11,29,False
2013-08-18,9,False
2013-08-25,18,False
2013-09-01,27,False
2013-09-08,9,False
2013-09-15,18,False
2013-09-22,0,False
2013-09-29,35,False
2013-10-06,17,False
2013-10-13,26,False
2013-10-20,69,False
2013-10-27,35,False
2013-11-03,34,False
2013-11-10,34,False
2013-11-17,34,False
2013-11-24,8,False
2013-12-01,25,False
2013-12-08,17,False
2013-12-15,9,False
2013-12-22,0,False
2013-12-29,36,False
2014-01-05,33,False
2014-01-12,41,False
2014-01-19,32,False
2014-01-26,32,False
2014-02-02,17,False
2014-02-09,24,False
2014-02-16,47,False
2014-02-23,24,False
2014-03-02,24,False
2014-03-09,16,False
2014-03-16,0,False
2014-03-23,32,False
2014-03-30,48,False
2014-04-06,48,False
2014-04-13,34,False
2014-04-20,25,False
2014-04-27,24,False
2014-05-04,8,False
2014-05-11,24,False
2014-05-18,42,False
2014-05-25,0,False
2014-06-01,27,False
2014-06-08,27,False
2014-06-15,0,False
2014-06-22,18,False
2014-06-29,27,False
2014-07-06,9,False
2014-07-13,9,False
2014-07-20,18,False
2014-07-27,9,False
2014-08-03,38,False
2014-08-10,9,False
2014-08-17,36,False
2014-08-24,17,False
2014-08-31,17,False
2014-09-07,9,False
2014-09-14,17,False
2014-09-21,34,False
2014-09-28,9,False
2014-10-05,17,False
2014-10-12,66,False
2014-10-19,25,False
2014-10-26,33,False
2014-11-02,32,False
2014-11-09,24,False
2014-11-16,57,False
2014-11-23,16,False
2014-11-30,48,False
2014-12-07,24,False
2014-12-14,17,False
2014-12-21,27,False
2014-12-28,26,False
2015-01-04,8,False
2015-01-11,15,False
2015-01-18,8,False
2015-01-25,0,False
2015-02-01,8,False
2015-02-08,31,False
2015-02-15,39,False
2015-02-22,30,False
2015-03-01,23,False
2015-03-08,30,False
2015-03-15,7,False
2015-03-22,25,False
2015-03-29,23,False
2015-04-05,15,False
2015-04-12,15,False
2015-04-19,23,False
2015-04-26,8,False
2015-05-03,23,False
2015-05-10,8,False
2015-05-17,15,False
2015-05-24,8,False
2015-05-31,23,False
2015-06-07,30,False
2015-06-14,15,False
2015-06-21,15,False
2015-06-28,15,False
2015-07-05,31,False
2015-07-12,31,False
2015-07-19,39,False
2015-07-26,23,False
2015-08-02,38,False
2015-08-09,31,False
2015-08-16,8,False
2015-08-23,37,False
2015-08-30,15,False
2015-09-06,45,False
2015-09-13,36,False
2015-09-20,36,False
2015-09-27,14,False
2015-10-04,14,False
2015-10-11,28,False
2015-10-18,7,False
2015-10-25,14,False
2015-11-01,14,False
2015-11-08,14,False
2015-11-15,14,False
2015-11-22,7,False
2015-11-29,21,False
2015-12-06,21,False
2015-12-13,36,False
2015-12-20,8,False
2015-12-27,0,False
2016-01-03,22,False
2016-01-10,29,False
2016-01-17,30,False
2016-01-24,51,False
2016-01-31,37,False
2016-02-07,51,False
2016-02-14,22,False
2016-02-21,7,False
2016-02-28,36,False
2016-03-06,29,False
2016-03-13,7,False
2016-03-20,15,False
2016-03-27,7,False
2016-04-03,51,False
2016-04-10,52,False
2016-04-17,37,False
2016-04-24,51,False
2016-05-01,37,False
2016-05-08,51,False
2016-05-15,7,False
2016-05-22,22,False
2016-05-29,38,False
2016-06-05,44,False
2016-06-12,15,False
2016-06-19,46,False
2016-06-26,23,False
2016-07-03,16,False
2016-07-10,31,False
2016-07-17,24,False
2016-07-24,0,False
2016-07-31,32,False
2016-08-07,33,False
2016-08-14,50,False
2016-08-21,40,False
2016-08-28,23,False
2016-09-04,15,False
2016-09-11,8,False
2016-09-18,22,False
2016-09-25,30,False
2016-10-02,7,False
2016-10-09,15,False
2016-10-16,52,False
2016-10-23,30,False
2016-10-30,15,False
2016-11-06,7,False
2016-11-13,37,False
2016-11-20,14,False
2016-11-27,35,False
2016-12-04,48,False
2016-12-11,14,False
2016-12-18,53,False
2016-12-25,8,False
2017-01-01,29,False
2017-01-08,42,False
2017-01-15,41,False
2017-01-22,14,False
2017-01-29,27,False
2017-02-05,27,False
2017-02-12,34,False
2017-02-19,34,False
2017-02-26,27,False
2017-03-05,33,False
2017-03-12,33,False
2017-03-19,54,False
2017-03-26,27,False
2017-04-02,41,False
2017-04-09,35,False
2017-04-16,62,False
2017-04-23,27,False
2017-04-30,41,False
2017-05-07,20,False
2017-05-14,43,False
2017-05-21,22,False
2017-05-28,51,False
2017-06-04,57,False
2017-06-11,29,False
2017-06-18,42,False
2017-06-25,45,False
2017-07-02,7,False
2017-07-09,22,False
2017-07-16,37,False
2017-07-23,51,False
2017-07-30,35,False
2017-08-06,35,False
2017-08-13,22,False
2017-08-20,14,False
2017-08-27,28,False
2017-09-03,28,False
2017-09-10,27,False
2017-09-17,42,False
2017-09-24,28,False
2017-10-01,27,False
2017-10-08,14,False
2017-10-15,20,False
2017-10-22,27,False
2017-10-29,34,False
2017-11-05,40,False
2017-11-12,20,False
2017-11-19,40,False
2017-11-26,20,False
2017-12-03,33,False
2017-12-10,20,False
2017-12-17,9,True
