date,Lykke,isPartial
2017-11-22,64,False
2017-11-23,75,False
2017-11-24,66,False
2017-11-25,57,False
2017-11-26,65,False
2017-11-27,59,False
2017-11-28,77,False
2017-11-29,81,False
2017-11-30,72,False
2017-12-01,67,False
2017-12-02,57,False
2017-12-03,49,False
2017-12-04,79,False
2017-12-05,74,False
2017-12-06,91,False
2017-12-07,74,False
2017-12-08,92,False
2017-12-09,57,False
2017-12-10,46,False
2017-12-11,100,False
2017-12-12,78,False
2017-12-13,90,False
2017-12-14,66,False
2017-12-15,73,False
2017-12-16,54,False
2017-12-17,70,False
2017-12-18,94,False
2017-12-19,94,False
