date,Factom,isPartial
2017-11-22,11,False
2017-11-23,35,False
2017-11-24,29,False
2017-11-25,45,False
2017-11-26,19,False
2017-11-27,33,False
2017-11-28,49,False
2017-11-29,22,False
2017-11-30,11,False
2017-12-01,6,False
2017-12-02,13,False
2017-12-03,19,False
2017-12-04,22,False
2017-12-05,39,False
2017-12-06,28,False
2017-12-07,46,False
2017-12-08,29,False
2017-12-09,58,False
2017-12-10,44,False
2017-12-11,50,False
2017-12-12,100,False
2017-12-13,73,False
2017-12-14,75,False
2017-12-15,100,False
2017-12-16,39,False
2017-12-17,58,False
2017-12-18,62,False
2017-12-19,91,False
