date,Emercoin,isPartial
2017-11-22,25,False
2017-11-23,51,False
2017-11-24,0,False
2017-11-25,56,False
2017-11-26,28,False
2017-11-27,24,False
2017-11-28,48,False
2017-11-29,25,False
2017-11-30,0,False
2017-12-01,0,False
2017-12-02,29,False
2017-12-03,28,False
2017-12-04,37,False
2017-12-05,24,False
2017-12-06,25,False
2017-12-07,0,False
2017-12-08,39,False
2017-12-09,29,False
2017-12-10,0,False
2017-12-11,0,False
2017-12-12,24,False
2017-12-13,25,False
2017-12-14,50,False
2017-12-15,26,False
2017-12-16,29,False
2017-12-17,29,False
2017-12-18,100,False
2017-12-19,50,False
2017-12-20,26,False
