date,Gulden,isPartial
2017-11-22,63,False
2017-11-23,44,False
2017-11-24,60,False
2017-11-25,78,False
2017-11-26,56,False
2017-11-27,46,False
2017-11-28,52,False
2017-11-29,65,False
2017-11-30,60,False
2017-12-01,63,False
2017-12-02,78,False
2017-12-03,51,False
2017-12-04,66,False
2017-12-05,55,False
2017-12-06,51,False
2017-12-07,69,False
2017-12-08,37,False
2017-12-09,70,False
2017-12-10,40,False
2017-12-11,47,False
2017-12-12,80,False
2017-12-13,50,False
2017-12-14,52,False
2017-12-15,100,False
2017-12-16,74,False
2017-12-17,67,False
2017-12-18,74,False
2017-12-19,76,False
