date,EURUSD,isPartial
2012-12-30,31,False
2013-01-06,36,False
2013-01-13,40,False
2013-01-20,29,False
2013-01-27,37,False
2013-02-03,36,False
2013-02-10,30,False
2013-02-17,32,False
2013-02-24,34,False
2013-03-03,31,False
2013-03-10,34,False
2013-03-17,40,False
2013-03-24,44,False
2013-03-31,33,False
2013-04-07,30,False
2013-04-14,30,False
2013-04-21,27,False
2013-04-28,27,False
2013-05-05,28,False
2013-05-12,34,False
2013-05-19,29,False
2013-05-26,27,False
2013-06-02,29,False
2013-06-09,31,False
2013-06-16,34,False
2013-06-23,27,False
2013-06-30,33,False
2013-07-07,33,False
2013-07-14,26,False
2013-07-21,23,False
2013-07-28,32,False
2013-08-04,33,False
2013-08-11,27,False
2013-08-18,29,False
2013-08-25,22,False
2013-09-01,27,False
2013-09-08,28,False
2013-09-15,28,False
2013-09-22,30,False
2013-09-29,30,False
2013-10-06,27,False
2013-10-13,30,False
2013-10-20,34,False
2013-10-27,28,False
2013-11-03,37,False
2013-11-10,30,False
2013-11-17,30,False
2013-11-24,29,False
2013-12-01,31,False
2013-12-08,30,False
2013-12-15,29,False
2013-12-22,26,False
2013-12-29,30,False
2014-01-05,23,False
2014-01-12,29,False
2014-01-19,28,False
2014-01-26,28,False
2014-02-02,28,False
2014-02-09,28,False
2014-02-16,27,False
2014-02-23,24,False
2014-03-02,34,False
2014-03-09,31,False
2014-03-16,35,False
2014-03-23,29,False
2014-03-30,29,False
2014-04-06,33,False
2014-04-13,27,False
2014-04-20,21,False
2014-04-27,20,False
2014-05-04,38,False
2014-05-11,31,False
2014-05-18,28,False
2014-05-25,28,False
2014-06-01,35,False
2014-06-08,29,False
2014-06-15,26,False
2014-06-22,26,False
2014-06-29,22,False
2014-07-06,25,False
2014-07-13,26,False
2014-07-20,30,False
2014-07-27,22,False
2014-08-03,25,False
2014-08-10,24,False
2014-08-17,30,False
2014-08-24,34,False
2014-08-31,39,False
2014-09-07,34,False
2014-09-14,39,False
2014-09-21,36,False
2014-09-28,43,False
2014-10-05,35,False
2014-10-12,38,False
2014-10-19,34,False
2014-10-26,37,False
2014-11-02,33,False
2014-11-09,34,False
2014-11-16,33,False
2014-11-23,33,False
2014-11-30,41,False
2014-12-07,37,False
2014-12-14,34,False
2014-12-21,31,False
2014-12-28,34,False
2015-01-04,56,False
2015-01-11,56,False
2015-01-18,72,False
2015-01-25,80,False
2015-02-01,51,False
2015-02-08,41,False
2015-02-15,50,False
2015-02-22,43,False
2015-03-01,61,False
2015-03-08,82,False
2015-03-15,73,False
2015-03-22,65,False
2015-03-29,52,False
2015-04-05,47,False
2015-04-12,48,False
2015-04-19,41,False
2015-04-26,45,False
2015-05-03,54,False
2015-05-10,51,False
2015-05-17,57,False
2015-05-24,50,False
2015-05-31,49,False
2015-06-07,46,False
2015-06-14,47,False
2015-06-21,54,False
2015-06-28,100,False
2015-07-05,79,False
2015-07-12,59,False
2015-07-19,39,False
2015-07-26,40,False
2015-08-02,41,False
2015-08-09,42,False
2015-08-16,47,False
2015-08-23,64,False
2015-08-30,45,False
2015-09-06,38,False
2015-09-13,51,False
2015-09-20,40,False
2015-09-27,36,False
2015-10-04,35,False
2015-10-11,39,False
2015-10-18,41,False
2015-10-25,48,False
2015-11-01,46,False
2015-11-08,43,False
2015-11-15,48,False
2015-11-22,36,False
2015-11-29,66,False
2015-12-06,49,False
2015-12-13,54,False
2015-12-20,41,False
2015-12-27,30,False
2016-01-03,43,False
2016-01-10,37,False
2016-01-17,40,False
2016-01-24,40,False
2016-01-31,45,False
2016-02-07,44,False
2016-02-14,41,False
2016-02-21,36,False
2016-02-28,37,False
