date,BitSend,isPartial
2017-11-22,25,False
2017-11-23,51,False
2017-11-24,25,False
2017-11-25,28,False
2017-11-26,27,False
2017-11-27,36,False
2017-11-28,48,False
2017-11-29,49,False
2017-11-30,25,False
2017-12-01,26,False
2017-12-02,42,False
2017-12-03,42,False
2017-12-04,36,False
2017-12-05,24,False
2017-12-06,37,False
2017-12-07,100,False
2017-12-08,0,False
2017-12-09,57,False
2017-12-10,28,False
2017-12-11,48,False
2017-12-12,49,False
2017-12-13,74,False
2017-12-14,63,False
2017-12-15,65,False
2017-12-16,29,False
2017-12-17,85,False
2017-12-18,0,False
2017-12-19,25,False
2017-12-20,26,False
