date,Ethereum,isPartial
2017-11-22,23,False
2017-11-23,37,False
2017-11-24,42,False
2017-11-25,38,False
2017-11-26,37,False
2017-11-27,48,False
2017-11-28,51,False
2017-11-29,68,False
2017-11-30,52,False
2017-12-01,40,False
2017-12-02,37,False
2017-12-03,38,False
2017-12-04,41,False
2017-12-05,45,False
2017-12-06,60,False
2017-12-07,78,False
2017-12-08,64,False
2017-12-09,61,False
2017-12-10,46,False
2017-12-11,58,False
2017-12-12,95,False
2017-12-13,100,False
2017-12-14,80,False
2017-12-15,62,False
2017-12-16,54,False
2017-12-17,56,False
2017-12-18,60,False
2017-12-19,78,False
