date,SaluS,isPartial
2017-11-22,83,False
2017-11-23,85,False
2017-11-24,46,False
2017-11-25,45,False
2017-11-26,53,False
2017-11-27,100,False
2017-11-28,69,False
2017-11-29,90,False
2017-11-30,76,False
2017-12-01,78,False
2017-12-02,60,False
2017-12-03,57,False
2017-12-04,84,False
2017-12-05,90,False
2017-12-06,67,False
2017-12-07,62,False
2017-12-08,55,False
2017-12-09,62,False
2017-12-10,47,False
2017-12-11,98,False
2017-12-12,83,False
2017-12-13,91,False
2017-12-14,66,False
2017-12-15,85,False
2017-12-16,41,False
2017-12-17,43,False
2017-12-18,57,False
2017-12-19,69,False
