date,Steem Dollars,isPartial
2017-11-22,88,False
2017-11-23,19,False
2017-11-24,13,False
2017-11-25,14,False
2017-11-26,0,False
2017-11-27,24,False
2017-11-28,0,False
2017-11-29,12,False
2017-11-30,13,False
2017-12-01,13,False
2017-12-02,14,False
2017-12-03,21,False
2017-12-04,25,False
2017-12-05,12,False
2017-12-06,38,False
2017-12-07,38,False
2017-12-08,100,False
2017-12-09,37,False
2017-12-10,49,False
2017-12-11,12,False
2017-12-12,12,False
2017-12-13,13,False
2017-12-14,13,False
2017-12-15,20,False
2017-12-16,0,False
2017-12-17,14,False
2017-12-18,25,False
2017-12-19,19,False
2017-12-20,13,False
