date,Diamond,isPartial
2017-11-22,84,False
2017-11-23,82,False
2017-11-24,93,False
2017-11-25,100,False
2017-11-26,97,False
2017-11-27,86,False
2017-11-28,94,False
2017-11-29,91,False
2017-11-30,89,False
2017-12-01,94,False
2017-12-02,99,False
2017-12-03,98,False
2017-12-04,89,False
2017-12-05,89,False
2017-12-06,91,False
2017-12-07,89,False
2017-12-08,89,False
2017-12-09,96,False
2017-12-10,97,False
2017-12-11,91,False
2017-12-12,94,False
2017-12-13,87,False
2017-12-14,92,False
2017-12-15,94,False
2017-12-16,95,False
2017-12-17,97,False
2017-12-18,89,False
2017-12-19,92,False
