date,VeriCoin,isPartial
2017-11-22,8,False
2017-11-23,9,False
2017-11-24,0,False
2017-11-25,29,False
2017-11-26,19,False
2017-11-27,8,False
2017-11-28,0,False
2017-11-29,0,False
2017-11-30,8,False
2017-12-01,9,False
2017-12-02,10,False
2017-12-03,0,False
2017-12-04,24,False
2017-12-05,0,False
2017-12-06,17,False
2017-12-07,17,False
2017-12-08,9,False
2017-12-09,38,False
2017-12-10,38,False
2017-12-11,8,False
2017-12-12,33,False
2017-12-13,100,False
2017-12-14,17,False
2017-12-15,17,False
2017-12-16,10,False
2017-12-17,29,False
2017-12-18,17,False
2017-12-19,42,False
