date,ZenCash,isPartial
2017-11-22,36,False
2017-11-23,46,False
2017-11-24,59,False
2017-11-25,60,False
2017-11-26,59,False
2017-11-27,43,False
2017-11-28,67,False
2017-11-29,32,False
2017-11-30,61,False
2017-12-01,47,False
2017-12-02,42,False
2017-12-03,55,False
2017-12-04,52,False
2017-12-05,84,False
2017-12-06,81,False
2017-12-07,69,False
2017-12-08,77,False
2017-12-09,61,False
2017-12-10,59,False
2017-12-11,67,False
2017-12-12,100,False
2017-12-13,52,False
2017-12-14,74,False
2017-12-15,38,False
2017-12-16,62,False
2017-12-17,75,False
2017-12-18,78,False
2017-12-19,74,False
2017-12-20,94,False
