date,Blocknet,isPartial
2017-11-22,45,False
2017-11-23,46,False
2017-11-24,23,False
2017-11-25,0,False
2017-11-26,25,False
2017-11-27,22,False
2017-11-28,87,False
2017-11-29,0,False
2017-11-30,46,False
2017-12-01,24,False
2017-12-02,52,False
2017-12-03,25,False
2017-12-04,0,False
2017-12-05,55,False
2017-12-06,22,False
2017-12-07,46,False
2017-12-08,24,False
2017-12-09,39,False
2017-12-10,100,False
2017-12-11,66,False
2017-12-12,55,False
2017-12-13,45,False
2017-12-14,45,False
2017-12-15,47,False
2017-12-16,53,False
2017-12-17,52,False
2017-12-18,57,False
2017-12-19,45,False
2017-12-20,71,False
