date,Nxt,isPartial
2017-11-22,66,False
2017-11-23,64,False
2017-11-24,55,False
2017-11-25,53,False
2017-11-26,53,False
2017-11-27,63,False
2017-11-28,55,False
2017-11-29,55,False
2017-11-30,63,False
2017-12-01,58,False
2017-12-02,62,False
2017-12-03,83,False
2017-12-04,66,False
2017-12-05,59,False
2017-12-06,66,False
2017-12-07,100,False
2017-12-08,86,False
2017-12-09,74,False
2017-12-10,64,False
2017-12-11,56,False
2017-12-12,72,False
2017-12-13,64,False
2017-12-14,92,False
2017-12-15,87,False
2017-12-16,84,False
2017-12-17,82,False
2017-12-18,84,False
2017-12-19,71,False
