date,Vertcoin,isPartial
2017-11-22,7,False
2017-11-23,9,False
2017-11-24,12,False
2017-11-25,15,False
2017-11-26,40,False
2017-11-27,22,False
2017-11-28,16,False
2017-11-29,27,False
2017-11-30,22,False
2017-12-01,33,False
2017-12-02,49,False
2017-12-03,56,False
2017-12-04,32,False
2017-12-05,72,False
2017-12-06,64,False
2017-12-07,100,False
2017-12-08,83,False
2017-12-09,66,False
2017-12-10,51,False
2017-12-11,72,False
2017-12-12,81,False
2017-12-13,53,False
2017-12-14,49,False
2017-12-15,43,False
2017-12-16,31,False
2017-12-17,49,False
2017-12-18,49,False
2017-12-19,42,False
