date,Particl,isPartial
2017-11-22,44,False
2017-11-23,34,False
2017-11-24,69,False
2017-11-25,51,False
2017-11-26,74,False
2017-11-27,22,False
2017-11-28,43,False
2017-11-29,22,False
2017-11-30,33,False
2017-12-01,93,False
2017-12-02,26,False
2017-12-03,25,False
2017-12-04,43,False
2017-12-05,0,False
2017-12-06,100,False
2017-12-07,45,False
2017-12-08,0,False
2017-12-09,52,False
2017-12-10,50,False
2017-12-11,43,False
2017-12-12,22,False
2017-12-13,66,False
2017-12-14,45,False
2017-12-15,59,False
2017-12-16,0,False
2017-12-17,39,False
2017-12-18,34,False
2017-12-19,45,False
2017-12-20,23,False
