date,ZCoin,isPartial
2017-11-22,56,False
2017-11-23,62,False
2017-11-24,43,False
2017-11-25,48,False
2017-11-26,16,False
2017-11-27,22,False
2017-11-28,32,False
2017-11-29,28,False
2017-11-30,51,False
2017-12-01,29,False
2017-12-02,27,False
2017-12-03,37,False
2017-12-04,45,False
2017-12-05,27,False
2017-12-06,42,False
2017-12-07,57,False
2017-12-08,34,False
2017-12-09,59,False
2017-12-10,42,False
2017-12-11,68,False
2017-12-12,64,False
2017-12-13,56,False
2017-12-14,100,False
2017-12-15,58,False
2017-12-16,76,False
2017-12-17,32,False
2017-12-18,47,False
2017-12-19,61,False
