date,Burst,isPartial
2017-11-22,75,False
2017-11-23,72,False
2017-11-24,75,False
2017-11-25,96,False
2017-11-26,83,False
2017-11-27,74,False
2017-11-28,77,False
2017-11-29,81,False
2017-11-30,80,False
2017-12-01,81,False
2017-12-02,93,False
2017-12-03,88,False
2017-12-04,77,False
2017-12-05,85,False
2017-12-06,85,False
2017-12-07,86,False
2017-12-08,85,False
2017-12-09,97,False
2017-12-10,93,False
2017-12-11,84,False
2017-12-12,88,False
2017-12-13,92,False
2017-12-14,80,False
2017-12-15,87,False
2017-12-16,100,False
2017-12-17,98,False
2017-12-18,88,False
2017-12-19,83,False
2017-12-20,94,False
