date,Bitzeny,isPartial
2017-11-22,0,False
2017-11-23,0,False
2017-11-24,2,False
2017-11-25,2,False
2017-11-26,0,False
2017-11-27,2,False
2017-11-28,0,False
2017-11-29,3,False
2017-11-30,2,False
2017-12-01,8,False
2017-12-02,11,False
2017-12-03,7,False
2017-12-04,11,False
2017-12-05,54,False
2017-12-06,100,False
2017-12-07,52,False
2017-12-08,56,False
2017-12-09,61,False
2017-12-10,40,False
2017-12-11,44,False
2017-12-12,38,False
2017-12-13,50,False
2017-12-14,38,False
2017-12-15,35,False
2017-12-16,34,False
2017-12-17,24,False
2017-12-18,15,False
2017-12-19,18,False
