date,bitcoin,Cream,Veltor,Pakcoin,LeviarCoin,isPartial
2016-12-18,4,43,0,0,0,False
2016-12-25,5,52,0,0,0,False
2017-01-01,8,35,0,0,0,False
2017-01-08,6,34,0,0,0,False
2017-01-15,5,34,0,0,0,False
2017-01-22,4,33,0,0,0,False
2017-01-29,5,35,0,0,0,False
2017-02-05,5,35,0,0,0,False
2017-02-12,4,34,0,0,0,False
2017-02-19,5,35,0,0,0,False
2017-02-26,6,35,0,0,0,False
2017-03-05,7,36,0,0,0,False
2017-03-12,6,35,0,0,0,False
2017-03-19,6,37,0,0,0,False
2017-03-26,5,38,0,0,0,False
2017-04-02,5,37,0,0,0,False
2017-04-09,5,40,0,0,0,False
2017-04-16,5,37,0,0,0,False
2017-04-23,5,38,0,0,0,False
2017-04-30,8,38,0,0,0,False
2017-05-07,10,37,0,0,0,False
2017-05-14,12,39,0,0,0,False
2017-05-21,21,41,0,0,0,False
2017-05-28,13,42,0,0,0,False
2017-06-04,13,40,0,0,0,False
2017-06-11,14,41,0,0,0,False
2017-06-18,11,42,0,0,0,False
2017-06-25,12,41,0,0,0,False
2017-07-02,10,44,0,0,0,False
2017-07-09,11,43,0,0,0,False
2017-07-16,12,47,0,0,0,False
2017-07-23,12,42,0,0,0,False
2017-07-30,16,41,0,0,0,False
2017-08-06,16,40,0,0,0,False
2017-08-13,21,39,0,0,0,False
2017-08-20,17,38,0,0,0,False
2017-08-27,18,37,0,0,0,False
2017-09-03,19,37,0,0,0,False
2017-09-10,22,35,0,0,0,False
2017-09-17,17,37,0,0,0,False
2017-09-24,13,35,0,0,0,False
2017-10-01,13,36,0,0,0,False
2017-10-08,20,36,0,0,0,False
2017-10-15,21,35,0,0,0,False
2017-10-22,21,36,0,0,0,False
2017-10-29,29,34,0,0,0,False
2017-11-05,30,36,0,0,0,False
2017-11-12,33,36,0,0,0,False
2017-11-19,30,42,0,0,0,False
2017-11-26,68,35,0,0,0,False
2017-12-03,97,37,0,0,0,False
2017-12-10,100,36,0,0,0,True
