date,Ripple,isPartial
2017-11-22,8,False
2017-11-23,8,False
2017-11-24,7,False
2017-11-25,8,False
2017-11-26,9,False
2017-11-27,11,False
2017-11-28,15,False
2017-11-29,18,False
2017-11-30,14,False
2017-12-01,13,False
2017-12-02,11,False
2017-12-03,11,False
2017-12-04,12,False
2017-12-05,13,False
2017-12-06,15,False
2017-12-07,17,False
2017-12-08,18,False
2017-12-09,16,False
2017-12-10,13,False
2017-12-11,16,False
2017-12-12,38,False
2017-12-13,69,False
2017-12-14,100,False
2017-12-15,82,False
2017-12-16,56,False
2017-12-17,47,False
2017-12-18,48,False
2017-12-19,51,False
2017-12-20,46,False
