date,USDCAD,isPartial
2012-12-30,19,False
2013-01-06,12,False
2013-01-13,17,False
2013-01-20,14,False
2013-01-27,25,False
2013-02-03,14,False
2013-02-10,12,False
2013-02-17,25,False
2013-02-24,20,False
2013-03-03,20,False
2013-03-10,28,False
2013-03-17,17,False
2013-03-24,3,False
2013-03-31,17,False
2013-04-07,28,False
2013-04-14,14,False
2013-04-21,8,False
2013-04-28,17,False
2013-05-05,17,False
2013-05-12,11,False
2013-05-19,14,False
2013-05-26,17,False
2013-06-02,17,False
2013-06-09,28,False
2013-06-16,25,False
2013-06-23,28,False
2013-06-30,46,False
2013-07-07,14,False
2013-07-14,9,False
2013-07-21,17,False
2013-07-28,11,False
2013-08-04,23,False
2013-08-11,20,False
2013-08-18,14,False
2013-08-25,11,False
2013-09-01,19,False
2013-09-08,11,False
2013-09-15,8,False
2013-09-22,16,False
2013-09-29,8,False
2013-10-06,3,False
2013-10-13,5,False
2013-10-20,10,False
2013-10-27,18,False
2013-11-03,23,False
2013-11-10,18,False
2013-11-17,13,False
2013-11-24,20,False
2013-12-01,17,False
2013-12-08,36,False
2013-12-15,16,False
2013-12-22,18,False
2013-12-29,16,False
2014-01-05,20,False
2014-01-12,30,False
2014-01-19,29,False
2014-01-26,37,False
2014-02-02,21,False
2014-02-09,19,False
2014-02-16,31,False
2014-02-23,26,False
2014-03-02,34,False
2014-03-09,10,False
2014-03-16,24,False
2014-03-23,27,False
2014-03-30,14,False
2014-04-06,22,False
2014-04-13,18,False
2014-04-20,17,False
2014-04-27,20,False
2014-05-04,17,False
2014-05-11,22,False
2014-05-18,18,False
2014-05-25,22,False
2014-06-01,32,False
2014-06-08,11,False
2014-06-15,14,False
2014-06-22,8,False
2014-06-29,33,False
2014-07-06,16,False
2014-07-13,19,False
2014-07-20,8,False
2014-07-27,19,False
2014-08-03,17,False
2014-08-10,19,False
2014-08-17,25,False
2014-08-24,13,False
2014-08-31,21,False
2014-09-07,18,False
2014-09-14,23,False
2014-09-21,8,False
2014-09-28,18,False
2014-10-05,36,False
2014-10-12,22,False
2014-10-19,10,False
2014-10-26,25,False
2014-11-02,22,False
2014-11-09,32,False
2014-11-16,40,False
2014-11-23,5,False
2014-11-30,17,False
2014-12-07,22,False
2014-12-14,33,False
2014-12-21,27,False
2014-12-28,27,False
2015-01-04,21,False
2015-01-11,23,False
2015-01-18,49,False
2015-01-25,53,False
2015-02-01,65,False
2015-02-08,32,False
2015-02-15,43,False
2015-02-22,39,False
2015-03-01,37,False
2015-03-08,44,False
2015-03-15,25,False
2015-03-22,45,False
2015-03-29,47,False
2015-04-05,44,False
2015-04-12,48,False
2015-04-19,39,False
2015-04-26,26,False
2015-05-03,30,False
2015-05-10,23,False
2015-05-17,28,False
2015-05-24,39,False
2015-05-31,32,False
2015-06-07,25,False
2015-06-14,19,False
2015-06-21,14,False
2015-06-28,26,False
2015-07-05,46,False
2015-07-12,40,False
2015-07-19,42,False
2015-07-26,41,False
2015-08-02,54,False
2015-08-09,53,False
2015-08-16,57,False
2015-08-23,47,False
2015-08-30,31,False
2015-09-06,32,False
2015-09-13,32,False
2015-09-20,42,False
2015-09-27,26,False
2015-10-04,34,False
2015-10-11,24,False
2015-10-18,53,False
2015-10-25,45,False
2015-11-01,21,False
2015-11-08,30,False
2015-11-15,28,False
2015-11-22,43,False
2015-11-29,44,False
2015-12-06,75,False
2015-12-13,63,False
2015-12-20,65,False
2015-12-27,36,False
2016-01-03,63,False
2016-01-10,100,False
2016-01-17,81,False
2016-01-24,56,False
2016-01-31,71,False
2016-02-07,56,False
2016-02-14,57,False
2016-02-21,50,False
2016-02-28,56,False
2016-03-06,53,False
2016-03-13,60,False
2016-03-20,43,False
2016-03-27,54,False
2016-04-03,42,False
2016-04-10,58,False
2016-04-17,44,False
2016-04-24,33,False
2016-05-01,56,False
2016-05-08,40,False
2016-05-15,48,False
2016-05-22,56,False
2016-05-29,27,False
2016-06-05,34,False
2016-06-12,45,False
2016-06-19,76,False
2016-06-26,69,False
2016-07-03,46,False
2016-07-10,38,False
2016-07-17,62,False
2016-07-24,31,False
2016-07-31,29,False
2016-08-07,30,False
2016-08-14,36,False
2016-08-21,27,False
2016-08-28,54,False
2016-09-04,35,False
2016-09-11,58,False
2016-09-18,36,False
2016-09-25,43,False
2016-10-02,45,False
2016-10-09,47,False
2016-10-16,60,False
2016-10-23,50,False
2016-10-30,59,False
2016-11-06,81,False
2016-11-13,60,False
2016-11-20,41,False
2016-11-27,47,False
2016-12-04,38,False
2016-12-11,63,False
2016-12-18,27,False
2016-12-25,38,False
2017-01-01,40,False
2017-01-08,31,False
2017-01-15,50,False
2017-01-22,48,False
2017-01-29,51,False
2017-02-05,35,False
2017-02-12,39,False
2017-02-19,35,False
2017-02-26,62,False
2017-03-05,64,False
2017-03-12,34,False
2017-03-19,31,False
2017-03-26,52,False
2017-04-02,27,False
2017-04-09,23,False
2017-04-16,52,False
2017-04-23,61,False
2017-04-30,50,False
2017-05-07,59,False
2017-05-14,35,False
2017-05-21,45,False
2017-05-28,31,False
2017-06-04,39,False
2017-06-11,69,False
2017-06-18,43,False
2017-06-25,56,False
2017-07-02,61,False
2017-07-09,82,False
2017-07-16,80,False
2017-07-23,57,False
2017-07-30,68,False
2017-08-06,38,False
2017-08-13,35,False
2017-08-20,66,False
2017-08-27,49,False
2017-09-03,70,False
2017-09-10,56,False
2017-09-17,34,False
2017-09-24,52,False
2017-10-01,48,False
2017-10-08,39,False
2017-10-15,43,False
2017-10-22,39,False
2017-10-29,68,False
2017-11-05,35,False
2017-11-12,36,False
2017-11-19,36,False
2017-11-26,55,False
2017-12-03,78,False
2017-12-10,49,False
2017-12-17,55,True
