date,EURJPY,isPartial
2012-12-30,27,False
2013-01-06,86,False
2013-01-13,60,False
2013-01-20,44,False
2013-01-27,96,False
2013-02-03,66,False
2013-02-10,81,False
2013-02-17,43,False
2013-02-24,69,False
2013-03-03,56,False
2013-03-10,55,False
2013-03-17,42,False
2013-03-24,51,False
2013-03-31,69,False
2013-04-07,100,False
2013-04-14,56,False
2013-04-21,43,False
2013-04-28,50,False
2013-05-05,33,False
2013-05-12,48,False
2013-05-19,45,False
2013-05-26,39,False
2013-06-02,29,False
2013-06-09,55,False
2013-06-16,29,False
2013-06-23,26,False
2013-06-30,50,False
2013-07-07,37,False
2013-07-14,71,False
2013-07-21,30,False
2013-07-28,33,False
2013-08-04,44,False
2013-08-11,61,False
2013-08-18,26,False
2013-08-25,25,False
2013-09-01,32,False
2013-09-08,19,False
2013-09-15,40,False
2013-09-22,41,False
2013-09-29,40,False
2013-10-06,28,False
2013-10-13,34,False
2013-10-20,34,False
2013-10-27,31,False
2013-11-03,42,False
2013-11-10,27,False
2013-11-17,27,False
2013-11-24,39,False
2013-12-01,47,False
2013-12-08,75,False
2013-12-15,43,False
2013-12-22,31,False
2013-12-29,45,False
2014-01-05,35,False
2014-01-12,58,False
2014-01-19,34,False
2014-01-26,28,False
2014-02-02,42,False
2014-02-09,28,False
2014-02-16,28,False
2014-02-23,42,False
2014-03-02,43,False
2014-03-09,48,False
2014-03-16,34,False
2014-03-23,37,False
2014-03-30,54,False
2014-04-06,26,False
2014-04-13,39,False
2014-04-20,20,False
2014-04-27,23,False
2014-05-04,34,False
2014-05-11,37,False
2014-05-18,27,False
2014-05-25,38,False
2014-06-01,53,False
2014-06-08,48,False
2014-06-15,42,False
2014-06-22,41,False
2014-06-29,42,False
2014-07-06,13,False
2014-07-13,23,False
2014-07-20,29,False
2014-07-27,26,False
2014-08-03,51,False
2014-08-10,19,False
2014-08-17,26,False
2014-08-24,15,False
2014-08-31,24,False
2014-09-07,57,False
2014-09-14,24,False
2014-09-21,38,False
2014-09-28,24,False
2014-10-05,27,False
2014-10-12,47,False
2014-10-19,29,False
2014-10-26,44,False
2014-11-02,46,False
2014-11-09,29,False
2014-11-16,35,False
2014-11-23,20,False
2014-11-30,28,False
2014-12-07,23,False
2014-12-14,27,False
2014-12-21,26,False
2014-12-28,22,False
2015-01-04,31,False
2015-01-11,52,False
2015-01-18,38,False
2015-01-25,40,False
2015-02-01,16,False
2015-02-08,33,False
2015-02-15,22,False
2015-02-22,27,False
2015-03-01,35,False
2015-03-08,27,False
2015-03-15,35,False
2015-03-22,23,False
2015-03-29,45,False
2015-04-05,25,False
2015-04-12,5,False
2015-04-19,32,False
2015-04-26,14,False
2015-05-03,14,False
2015-05-10,16,False
2015-05-17,27,False
2015-05-24,22,False
2015-05-31,33,False
2015-06-07,32,False
2015-06-14,19,False
2015-06-21,54,False
2015-06-28,71,False
2015-07-05,51,False
2015-07-12,52,False
2015-07-19,22,False
2015-07-26,38,False
2015-08-02,22,False
2015-08-09,27,False
2015-08-16,27,False
2015-08-23,31,False
2015-08-30,29,False
2015-09-06,37,False
2015-09-13,28,False
2015-09-20,31,False
2015-09-27,18,False
2015-10-04,18,False
2015-10-11,25,False
2015-10-18,15,False
2015-10-25,25,False
2015-11-01,35,False
2015-11-08,25,False
2015-11-15,27,False
2015-11-22,25,False
2015-11-29,15,False
2015-12-06,38,False
2015-12-13,15,False
2015-12-20,31,False
2015-12-27,17,False
2016-01-03,21,False
2016-01-10,36,False
2016-01-17,24,False
2016-01-24,26,False
2016-01-31,31,False
2016-02-07,42,False
2016-02-14,36,False
2016-02-21,38,False
2016-02-28,33,False
2016-03-06,18,False
2016-03-13,28,False
2016-03-20,29,False
2016-03-27,42,False
2016-04-03,34,False
2016-04-10,21,False
2016-04-17,34,False
2016-04-24,39,False
2016-05-01,35,False
2016-05-08,39,False
2016-05-15,26,False
2016-05-22,13,False
2016-05-29,24,False
2016-06-05,32,False
2016-06-12,70,False
2016-06-19,67,False
2016-06-26,59,False
2016-07-03,28,False
2016-07-10,39,False
2016-07-17,36,False
2016-07-24,31,False
2016-07-31,26,False
2016-08-07,38,False
2016-08-14,21,False
2016-08-21,43,False
2016-08-28,36,False
2016-09-04,22,False
2016-09-11,27,False
