date,OKCash,isPartial
2017-11-22,44,False
2017-11-23,75,False
2017-11-24,60,False
2017-11-25,100,False
2017-11-26,16,False
2017-11-27,56,False
2017-11-28,43,False
2017-11-29,43,False
2017-11-30,0,False
2017-12-01,0,False
2017-12-02,50,False
2017-12-03,99,False
2017-12-04,43,False
2017-12-05,57,False
2017-12-06,44,False
2017-12-07,89,False
2017-12-08,61,False
2017-12-09,17,False
2017-12-10,49,False
2017-12-11,86,False
2017-12-12,29,False
2017-12-13,0,False
2017-12-14,90,False
2017-12-15,15,False
2017-12-16,34,False
2017-12-17,67,False
2017-12-18,29,False
2017-12-19,15,False
