date,GameCredits,isPartial
2017-11-22,18,False
2017-11-23,37,False
2017-11-24,37,False
2017-11-25,61,False
2017-11-26,0,False
2017-11-27,61,False
2017-11-28,17,False
2017-11-29,36,False
2017-11-30,36,False
2017-12-01,19,False
2017-12-02,21,False
2017-12-03,20,False
2017-12-04,62,False
2017-12-05,26,False
2017-12-06,18,False
2017-12-07,36,False
2017-12-08,57,False
2017-12-09,73,False
2017-12-10,40,False
2017-12-11,17,False
2017-12-12,53,False
2017-12-13,71,False
2017-12-14,100,False
2017-12-15,57,False
2017-12-16,42,False
2017-12-17,83,False
2017-12-18,72,False
2017-12-19,54,False
2017-12-20,37,False
