date,GBPAUD,isPartial
2012-12-30,11,False
2013-01-06,14,False
2013-01-13,0,False
2013-01-20,9,False
2013-01-27,18,False
2013-02-03,0,False
2013-02-10,19,False
2013-02-17,23,False
2013-02-24,27,False
2013-03-03,18,False
2013-03-10,27,False
2013-03-17,22,False
2013-03-24,14,False
2013-03-31,9,False
2013-04-07,22,False
2013-04-14,9,False
2013-04-21,32,False
2013-04-28,14,False
2013-05-05,37,False
2013-05-12,27,False
2013-05-19,36,False
2013-05-26,18,False
2013-06-02,31,False
2013-06-09,27,False
2013-06-16,50,False
2013-06-23,27,False
2013-06-30,23,False
2013-07-07,23,False
2013-07-14,19,False
2013-07-21,46,False
2013-07-28,32,False
2013-08-04,42,False
2013-08-11,28,False
2013-08-18,63,False
2013-08-25,44,False
2013-09-01,18,False
2013-09-08,30,False
2013-09-15,39,False
2013-09-22,17,False
2013-09-29,13,False
2013-10-06,17,False
2013-10-13,26,False
2013-10-20,38,False
2013-10-27,34,False
2013-11-03,42,False
2013-11-10,29,False
2013-11-17,37,False
2013-11-24,41,False
2013-12-01,61,False
2013-12-08,54,False
2013-12-15,60,False
2013-12-22,52,False
2013-12-29,67,False
2014-01-05,32,False
2014-01-12,36,False
2014-01-19,43,False
2014-01-26,24,False
2014-02-02,37,False
2014-02-09,43,False
2014-02-16,31,False
2014-02-23,27,False
2014-03-02,28,False
2014-03-09,28,False
2014-03-16,8,False
2014-03-23,27,False
2014-03-30,31,False
2014-04-06,43,False
2014-04-13,29,False
2014-04-20,24,False
2014-04-27,12,False
2014-05-04,24,False
2014-05-11,35,False
2014-05-18,29,False
2014-05-25,30,False
2014-06-01,26,False
2014-06-08,27,False
2014-06-15,31,False
2014-06-22,26,False
2014-06-29,27,False
2014-07-06,35,False
2014-07-13,45,False
2014-07-20,27,False
2014-07-27,18,False
2014-08-03,37,False
2014-08-10,13,False
2014-08-17,18,False
2014-08-24,21,False
2014-08-31,21,False
2014-09-07,46,False
2014-09-14,33,False
2014-09-21,37,False
2014-09-28,38,False
2014-10-05,33,False
2014-10-12,37,False
2014-10-19,20,False
2014-10-26,33,False
2014-11-02,24,False
2014-11-09,40,False
2014-11-16,16,False
2014-11-23,40,False
2014-11-30,24,False
2014-12-07,44,False
2014-12-14,29,False
2014-12-21,36,False
2014-12-28,9,False
2015-01-04,27,False
2015-01-11,34,False
2015-01-18,23,False
2015-01-25,52,False
2015-02-01,26,False
2015-02-08,26,False
2015-02-15,42,False
2015-02-22,22,False
2015-03-01,30,False
2015-03-08,33,False
2015-03-15,22,False
2015-03-22,48,False
2015-03-29,39,False
2015-04-05,30,False
2015-04-12,34,False
2015-04-19,26,False
2015-04-26,38,False
2015-05-03,38,False
2015-05-10,26,False
2015-05-17,22,False
2015-05-24,41,False
2015-05-31,49,False
2015-06-07,26,False
2015-06-14,30,False
2015-06-21,45,False
2015-06-28,30,False
2015-07-05,41,False
2015-07-12,34,False
2015-07-19,65,False
2015-07-26,19,False
2015-08-02,45,False
2015-08-09,49,False
2015-08-16,33,False
2015-08-23,62,False
2015-08-30,72,False
2015-09-06,69,False
2015-09-13,39,False
2015-09-20,32,False
2015-09-27,39,False
2015-10-04,42,False
2015-10-11,24,False
2015-10-18,24,False
2015-10-25,24,False
2015-11-01,31,False
2015-11-08,31,False
2015-11-15,52,False
2015-11-22,38,False
2015-11-29,41,False
2015-12-06,28,False
2015-12-13,32,False
2015-12-20,39,False
2015-12-27,19,False
2016-01-03,40,False
2016-01-10,39,False
2016-01-17,44,False
2016-01-24,22,False
2016-01-31,43,False
2016-02-07,29,False
2016-02-14,46,False
2016-02-21,46,False
2016-02-28,35,False
2016-03-06,36,False
2016-03-13,71,False
2016-03-20,41,False
2016-03-27,51,False
2016-04-03,29,False
2016-04-10,29,False
2016-04-17,36,False
2016-04-24,46,False
2016-05-01,44,False
2016-05-08,50,False
2016-05-15,58,False
2016-05-22,44,False
2016-05-29,37,False
2016-06-05,37,False
2016-06-12,36,False
2016-06-19,67,False
2016-06-26,100,False
2016-07-03,55,False
2016-07-10,69,False
2016-07-17,66,False
2016-07-24,27,False
2016-07-31,20,False
2016-08-07,52,False
2016-08-14,45,False
2016-08-21,31,False
2016-08-28,38,False
2016-09-04,34,False
2016-09-11,23,False
2016-09-18,67,False
2016-09-25,33,False
2016-10-02,70,False
2016-10-09,33,False
2016-10-16,47,False
2016-10-23,47,False
2016-10-30,40,False
2016-11-06,43,False
2016-11-13,47,False
2016-11-20,35,False
2016-11-27,48,False
2016-12-04,41,False
2016-12-11,42,False
2016-12-18,33,False
2016-12-25,30,False
2017-01-01,21,False
2017-01-08,44,False
2017-01-15,60,False
2017-01-22,13,False
2017-01-29,30,False
2017-02-05,47,False
2017-02-12,23,False
2017-02-19,30,False
2017-02-26,69,False
